,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,-0.666220523385604,5.13672917061932,-1.04296827142234,0.320489674835781,0.676901547742586,-5.7122224062968385
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1,1.88397329657034,3.86055345273829,1.93209895639604,0.0808939000837623,0.3925650678456501,-4.07250037523566
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1,0.335446507828299,5.6572459740923895,1.31338501680432,0.217157895623496,0.5777277134545029,-5.47124050633509
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2,-0.283471559925265,5.1733545181572005,-0.633348579595119,0.540118719521139,0.8091181188198822,-6.014837398031942
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1,-0.167932402167156,7.75742171274078,-1.0147841578803498,0.333127267790068,0.6840583464107889,-6.17077578370487
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1,-0.434736899065701,5.661691439778839,-1.76105991445585,0.107411901068644,0.434209499686758,-4.95312746111627
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1,-0.0584394872361038,3.98471600714973,-0.12491656016852,0.9029600120388492,0.97098017061427,-5.87789087427575
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5,0.294083726043969,4.80742630725153,0.7721943894497909,0.4571070807555779,0.766512293975721,-5.79644179544919
Tpr_TRINITY_DN13550_c0_g1|Tdu_TRINITY_DN10834_c0_g2,-0.790718110733081,3.64783199301723,-1.43175311931647,0.181436320433367,0.5391467066959761,-4.883289432993
Tpr_TRINITY_DN12213_c3_g2|Tdu_TRINITY_DN20464_c3_g1,0.5733978310024029,3.50581819843876,1.00623122049796,0.33703458234884703,0.6890411671354509,-5.17106406138187
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6,-0.00339943535140641,5.93332619581086,-0.0108958562226458,0.991511748308064,0.99638901065727,-6.4127448903962
Tpr_TRINITY_DN13112_c3_g9|Tdu_TRINITY_DN25069_c2_g1,-0.272700342038402,8.34110094317408,-1.6201208097002802,0.134957850288782,0.4759918886751149,-5.480741325818441
Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4,0.3558729764852829,4.87842085353362,0.8726600774399179,0.40245416425752295,0.734089126513363,-5.72269543547762
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5,-0.531143693730099,8.0907097016057,-2.9341208650880897,0.0142911363013573,0.19432233386391,-3.3558555053473103
