,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,-0.423259222332618,6.8609328240221705,-2.42190164398381,0.0349681430763654,0.280168611250106,-4.11915853081435
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,-0.210834279935268,7.8810736703513,-1.22703884880255,0.24673328697935,0.6098076014613399,-5.954604367297431
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,-0.1459132485629,5.0485334514106786,-0.39219575998782,0.7027935335709891,0.894982237481741,-6.14369031129352
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,0.342606572043815,6.9216710581660985,1.47362000664502,0.170056394250102,0.527419171193651,-5.50935833518677
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,0.146813061777644,9.717372075864132,0.927408906552602,0.374637218062218,0.7174146265568321,-6.34219395197601
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,-0.0374372078663043,5.81562651642015,-0.0691852053399592,0.946148215298422,0.98158475051618,-6.39128783690246
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,0.6626829888933929,5.656124784415881,2.1639170701298003,0.0545999376441851,0.33380740363140005,-4.24510069206307
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,-0.0383228962463349,6.047567922358309,-0.147954288259983,0.8851947863376801,0.9662448554574252,-6.429167798169612
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,0.610002299751131,3.93121710662394,1.06979233137955,0.30879939124363104,0.66765712469196,-5.21516621467238
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,-0.996597714956543,5.11590058265003,-2.37451641164942,0.0379677552061713,0.288328481214803,-3.95374251509256
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,0.83375534617164,4.91815446689369,0.845953821438699,0.41652825445459296,0.743111249927189,-5.66573151009118
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,-0.6318173723778691,4.99496400052472,-1.42372783706772,0.18369034548838895,0.542903229277604,-5.288317873073259
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,0.7614248429174391,8.75229387371702,4.46146797640925,0.0010887989466719804,0.0807060174984468,-0.7819569093050791
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,0.371142460470957,6.04483737936823,0.9735849938249892,0.3522592043111961,0.701574267938478,-5.912314028608152
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1,0.23274836857757106,4.5538011537373215,0.540332914349952,0.600293045007206,0.8401093642406608,-5.885449478340981
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,0.296842846004076,4.2176676294969315,0.4933351820936121,0.6319784496228249,0.857448924031869,-5.79170946349138
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,0.0493041004089427,5.51288305783958,0.17955962662114802,0.860932287136108,0.958844593809043,-6.30314006976334
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,0.421252331207553,4.10444422883058,0.982512396746809,0.348046917417833,0.6976311217188,-5.3774983586582
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1,-0.921148261111158,3.64682943552829,-1.9434077833700296,0.0793743274290162,0.388114049355189,-4.2840179250505095
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,-0.0674293192178625,6.88333192553384,-0.199888527207434,0.8454040228397399,0.9529140217071272,-6.5698081663582695
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1,0.2327800109329489,2.7703135346153505,0.223264399226489,0.827633670848087,0.945115138994994,-5.45685814248583
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2,-0.5992103814853841,3.42178536295176,-0.9529048293659572,0.3621588466870589,0.709139387427092,-5.366314656026621
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,-0.5036647011111249,3.54794764644342,-0.885610324460614,0.39574855440748297,0.7293267088486421,-5.42566242455463
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,-0.777775107473065,4.97409384904606,-2.5411497418149103,0.0284089780804661,0.255315021890541,-3.6389982543531096
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1,-0.0018659557571751894,4.1984350972711,-0.0025975321284940397,0.997976390576586,0.999914774167266,-5.94071348147532
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,0.192707149723573,4.60515643703616,0.503037320785581,0.6253704190014301,0.855479769648209,-5.92358588257096
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,0.23506159652856495,4.62391575730326,0.610561492965768,0.554535753832908,0.8179125799118281,-5.85120420106584
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,-0.35132117975494503,3.86795953058832,-0.7388494514427109,0.476265416984603,0.777291204269958,-5.61565768019468
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5,0.132975553887872,4.6833824899896115,0.264757392025756,0.79634526222487,0.9321666199165908,-6.0494597808967185
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4,-0.3963205520131671,3.39960575536211,-0.29162759897511503,0.7762784218605709,0.923332584706638,-5.70068500511552
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1,-0.17071960103350595,4.321630461060209,-0.486853730275902,0.6364118483666329,0.858549347094402,-5.904331106277291
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1,0.17919303503049105,5.445852854533482,0.5983087524300029,0.562376520254808,0.8227887744374279,-6.103680648872322
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1,-0.5268076853015179,5.39086556847556,-1.6328188050028798,0.13223990607932198,0.4720996122139411,-5.09220588940188
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,0.208210013897382,5.2649929410302585,0.4384350898511189,0.669996006737536,0.876886244298779,-6.14039590050725
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,1.11801297268997,6.0107879215805315,2.05158622433574,0.0661284492552065,0.361600920700084,-4.439977401817661
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,0.134097620058022,7.73568485331858,0.7166551069923,0.489293583037976,0.783889537345416,-6.41304241656412
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1,-0.035828362738882014,3.91818418618932,-0.0985084577609145,0.9233925556785127,0.97715246111539,-5.85240527815928
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,0.811525608966626,6.1482089566764415,1.8143243433759,0.098403266729951,0.422734417528614,-4.857690558602339
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,-0.697117829309913,3.81087323338747,-0.839332178427236,0.420068920753796,0.743758511040872,-5.55997617550118
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,1.94951356811682,5.795321492956378,3.16684222829638,0.00952625038251863,0.16529813359592402,-2.5176633111157902
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1,-0.0217037078769087,5.96921657320436,-0.0493604394313887,0.961562765477402,0.987149511253528,-6.418808406698849
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4,-1.65525464128605,3.2371548543655497,-3.40005408112902,0.00636451932854115,0.146821703380301,-2.0776284389186297
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1,0.8501102467143891,5.40863388860374,2.52722495587096,0.0291076225143737,0.258143003500722,-3.60393013907673
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1,-0.21226181595491606,6.859800700189671,-0.9786509979468192,0.349864340898752,0.699861914990395,-6.10676128366907
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3,-0.0880496733459983,5.2090450318206205,-0.284523938103826,0.781567508586005,0.92482395852811,-6.21898584834167
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1,0.7372066098366429,3.2142703953122505,0.886325748673177,0.395380380007403,0.729060156979997,-5.16192486567104
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5,-0.5762800461986279,6.11939383394216,-1.5685275396177,0.146516281294253,0.493454110221416,-5.3194873103635185
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1,0.23006153891098605,8.359440954984901,1.4657670799110702,0.17214302795357,0.530879971332511,-5.67835555453421
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1,-0.581344269154077,4.31449180291788,-1.30090761544738,0.221242677705746,0.5837131771729029,-5.26864298394776
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2,0.0765013478546841,4.5646088888003,0.221795853381911,0.8287471948316659,0.9456952292831,-6.02886025260715
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1,-0.154650114318493,6.01602356945163,-0.479899052770455,0.6411856338974721,0.8606684085777601,-6.318364350890219
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1,-0.0731138851375048,7.84365872378063,-0.334040876893498,0.744955601335314,0.911706134461955,-6.6445950877704
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1,0.872841973720037,4.09322991218353,1.04623494128912,0.31904846394381603,0.6767156074938969,-5.25056976415191
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8,-0.68510411284659,3.31492107116002,-1.3982960671387898,0.190990947124818,0.5520152426216259,-4.88972780129462
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1,1.00072438067254,5.48374427830545,3.13407464496306,0.0100845533339531,0.168374455340133,-2.61444023413362
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1,0.125160549728426,4.403867544689481,0.261693566560403,0.798643522548819,0.9330009873910842,-5.96882988062871
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1,0.3945474298699629,6.55867563213832,1.5888492793180298,0.141863412105698,0.48599097742222,-5.29044243396544
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1,-0.0100941175357137,3.63660605072205,-0.0226487342284835,0.982357116948148,0.9927875496570572,-5.763647593137491
Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1,0.0905743716605412,3.1714084936229106,0.156037572824854,0.8789766215109499,0.9650521613683952,-5.6122546004000915
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2,0.872449872849385,8.67494885169515,3.20813515037301,0.00886728711507268,0.16006982085312196,-2.8827465305124504
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1,0.361906429462389,7.87826947597061,2.19095310611032,0.0521261591165851,0.32680292571895,-4.56283323261433
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2,-0.19574983781325106,6.38681854540361,-0.834891528202047,0.42245473511191495,0.7441020997589991,-6.15836237858214
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1,-0.15351214368367902,9.05802539627643,-0.7838335801688829,0.45053826794551,0.762320425212905,-6.45239312302608
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5,-4.15179896825656,3.42474959982332,-1.8946850388858405,0.0861161733964229,0.398252338225291,-4.3425498151921
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1,0.4530298970060721,3.2832580790199195,0.845937052814723,0.416537195220325,0.743111249927189,-5.25629958956809
