logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	7.14318350491803	6.86093282402217	48.7369835295348	1.14613906040413e-13	2.11051738164191e-12	20.8641691775165
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.02196841014853	7.8810736703513	56.0924181735107	2.65173666208529e-14	1.01419846034824e-12	22.2214576210364
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.12141733550331	5.04853345141068	15.8723607766497	1.18893545100623e-08	2.30095271202129e-08	10.5207427903466
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.6890304019179	6.9216710581661	33.3164177674805	5.96001031658061e-12	3.5708903012646e-11	17.6745406792357
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.61918161620103	9.71737207586413	73.9180169488186	1.49288297721385e-15	3.93417037338903e-13	24.3616526292933
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	5.85609135499204	5.81562651642015	12.4455965715261	1.34128261580063e-07	2.12414127244207e-07	8.13832856408408
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	5.20922695648701	5.65612478441588	18.8945742674634	2.03577474025871e-09	4.74447669015219e-09	12.1648613617577
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.06858341939479	6.04756792235831	27.035178451894	5.1680517132215e-11	2.02657308754416e-10	15.6434120097751
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	3.51367431326612	3.93121710662394	6.59846315901816	4.94477481282291e-05	5.77568453942333e-05	2.39065406751267
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.79754907185244	5.11590058265003	16.9064930053	6.28894852267515e-09	1.29489264567176e-08	11.1898199039366
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.38180914922583	4.91815446689369	4.84834403327761	0.000593149238895472	0.000647493552064183	-0.261370311423956
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	5.62585625634543	5.13672917061932	11.0465749293839	4.29999132730518e-07	6.32094197218466e-07	6.96606814416934
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	5.42307460320987	4.99496400052472	14.5378701687816	2.86969219939512e-08	5.14921633721799e-08	9.69285334431951
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.24449429222081	8.75229387371702	57.7057939755677	1.97338717044102e-14	8.69952154716524e-13	22.4890768114443
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.78756184910514	6.04483737936823	17.214836714952	5.2379961465092e-09	1.09903446200303e-08	11.3648460548198
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.43464093828136	4.55380115373732	11.4493966472726	3.03622854644668e-07	4.56251351005335e-07	7.34764079413138
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.04406346914318	4.21766762949693	7.3896982006069	1.83598788993195e-05	2.2210044145104e-05	3.32594934128971
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.48653367619606	5.51288305783958	22.8047001638298	2.97690326722049e-10	8.85145252617637e-10	13.9477523271319
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	3.79848006787598	4.10444422883058	9.60071562878403	1.64982939705003e-06	2.24224744924404e-06	5.66520137924484
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	4.24123276268807	3.64682943552829	10.6504761046473	6.11995148961396e-07	8.7958432242904e-07	6.6565885664012
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.93344810343766	6.88333192553384	24.2194647660927	1.60420192360288e-10	5.26313956603907e-10	14.7923796339018
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1	2.57480860679	2.77031353461535	2.70792632195981	0.0212263969628082	0.0217350001174183	-3.37713124598158
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	3.853398805097	3.42178536295176	7.13851715834794	2.49402617161764e-05	2.98044845391202e-05	3.03812508963182
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	3.80432296765085	3.54794764644342	7.61983605413174	1.39560194039763e-05	1.70850070926199e-05	3.61353700083139
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.48313202346855	4.97409384904606	21.4319414017454	5.62480136463904e-10	1.52421016597271e-09	13.3856429920872
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.22254294444307	4.1984350972711	6.53052074165702	5.403402215958e-05	6.29207520657086e-05	2.22570767059558
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	2.5526179018917	3.86055345273829	2.72330563469738	0.0206629334209901	0.0211632098721219	-3.32276352699325
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.45595901914897	4.60515643703616	12.9421319858159	9.11854111087982e-08	1.48882846675886e-07	8.49721051024151
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.44184726382222	4.62391575730326	12.8067153336385	1.01171359185566e-07	1.6384595988753e-07	8.39190433265447
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.15236425984956	3.86795953058832	10.1917580233619	9.34113306647312e-07	1.31189353730347e-06	6.24276872492487
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.5973126115733	4.68338248998961	10.2350076761456	8.96998812425318e-07	1.26252092973861e-06	6.29496766630338
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	3.66027584070545	3.39960575536211	3.043736035063	0.0118024975326695	0.0121926146193439	-3.06631579350528
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.44172724392796	4.32163046106021	14.3426086302988	3.28481738078918e-08	5.83657835839842e-08	9.43238653013603
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.33575833531791	5.44585285453348	20.1858828658368	1.03766928760222e-09	2.60849878540102e-09	12.8032496605972
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.73571099540837	5.39086556847556	20.9293217632061	7.17061676660354e-10	1.87808274037121e-09	13.230585903015
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	5.42556624674109	5.65724597409239	23.9719371762716	1.78288827007983e-10	5.75470988446576e-10	14.3624741002865
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.14047502906089	5.26499294103026	12.1917828027671	1.64243929035131e-07	2.5627927526048e-07	7.96832723887178
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	5.2732739654252	6.01078792158053	10.622564005595	6.27669137834496e-07	9.00849331477336e-07	6.61067941696354
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.64643745844181	7.73568485331858	48.6159223522617	1.17619504748833e-13	2.13152546351451e-12	21.0566362183989
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	3.93324394719556	3.91818418618932	12.0619355118577	1.82439189092804e-07	2.82826327566412e-07	7.71895044357132
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	5.34482561118346	5.1733545181572	14.5103546122648	2.92455650910484e-08	5.23756367762713e-08	9.67133700573121
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	5.61805698179116	6.14820895667644	14.0311114719329	4.08921038177298e-08	7.12083703902921e-08	9.34454174722132
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	4.27330695477968	3.81087323338747	6.05964209494861	0.000101589647173908	0.000115944254629876	1.57409867488938
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	4.50473225356607	5.79532149295638	7.76590703050407	1.17625304697523e-05	1.45217496567832e-05	3.71471262206053
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	5.97820057480887	5.96921657320436	15.6727220944388	1.35043581909748e-08	2.58129858985862e-08	10.443866859199
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4	4.22305958776914	3.23715485436555	11.4156968603441	3.12464757646291e-07	4.68445464479207e-07	7.29380526971882
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	4.83673046739609	5.40863388860374	15.7596875079874	1.27731474527338e-08	2.45328784829394e-08	10.4059173259555
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	7.00200122381596	6.85980070018967	38.179504562713	1.45052811296441e-12	1.20531978910614e-11	18.9233793062234
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.25605028884352	5.20904503182062	19.4296607848348	1.53184252285299e-09	3.67853009501624e-09	12.434324892087
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	2.63668441519065	3.21427039531225	3.3591555334707	0.00682899827860968	0.00712946398873672	-2.29989986065662
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.47036552472821	6.11939383394216	20.8941699831588	7.29494144350821e-10	1.90647206024414e-09	13.3120635078722
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.20648543218758	8.3594409549849	62.6582911517638	8.36580272934838e-15	5.85219673585468e-13	23.0293538641567
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	4.70141041354894	4.31449180291788	12.2672951877324	1.54578875565389e-07	2.42055087256627e-07	8.01997177030675
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.49972033571024	4.5646088888003	14.5931064506193	2.7629144351954e-08	4.97596630426991e-08	9.60475987162666
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.12245748937817	6.01602356945163	22.1882531239007	3.9429561082364e-10	1.12487058455681e-09	13.8471599656614
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.89217055830814	7.84365872378063	43.1446825560431	4.07256381646009e-13	4.97982401849192e-12	20.1838608273055
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1	3.53689436847313	4.09322991218353	4.51653305046517	0.000997352000119919	0.00107874746293962	-0.58716476187143
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8	3.79304191303811	3.31492107116002	9.07270894143176	2.81082961099864e-06	3.70705539627217e-06	5.16212169249993
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	4.81940603613067	5.48374427830545	16.4685427815154	8.19841743668654e-09	1.64676125778625e-08	10.8079867316536
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	7.86702726613841	7.75742171274078	56.9518024713703	2.26323822372507e-14	9.52607204116642e-13	22.2710570230474
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.36377528575459	4.40386754468948	10.1751866853166	9.48773482026982e-07	1.33099171346273e-06	6.24035978024173
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.30034558110065	6.55867563213832	29.0342733272	2.47441322123688e-11	1.09370370137626e-10	16.3468245334336
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1	3.6173913191089	3.63660605072205	8.95610256834197	3.17235975255298e-06	4.15767255318163e-06	5.02725252529812
Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1	3.18666773420197	3.17140849362291	6.10627969864644	9.53061571511548e-05	0.000109010565655889	1.76615738098004
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	8.09500475693767	8.67494885169515	35.4178672159623	3.16143999814991e-12	2.15393551569518e-11	18.5054674788052
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	7.63551025523041	7.87826947597061	54.7526939007835	3.41116890845343e-14	1.1383247321596e-12	21.9118676882334
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2	6.52173006446286	6.38681854540361	32.6630505836727	7.3172858340207e-12	4.15241098548492e-11	17.4434861926588
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1	9.16101261425061	9.05802539627643	56.7899072084945	2.33137400568309e-14	9.71521824457789e-13	22.5478101204645
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5	6.3735291294686	3.42474959982332	6.38142348681098	6.57822338162065e-05	7.61564654309362e-05	1.59276843390406
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1	2.97387135895417	3.28325807901992	6.0303795741232	0.000105757920466329	0.000120471690714806	1.67027481629262
Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1	3.88732768003751	3.69414906276328	5.67007476752239	0.000175194944675538	0.000196706817238915	1.09067518970197
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3	7.61376447827554	6.45133180977977	19.2807241885063	1.65678454405632e-09	3.94239413097039e-09	12.5233245101629
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4	5.92278331264192	5.96131526641009	23.174465334785	2.52387175403771e-10	7.70687196931092e-10	14.2172923457
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	9.10162317149546	8.9665972724592	47.2331772924319	1.58814853253247e-13	2.60830041342979e-12	21.1099351301557
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1	6.36878900621721	6.50585308669156	24.2720801608781	1.56880242491907e-10	5.16520798393167e-10	14.7362112088384
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5	5.61584715258123	5.44633586495643	18.4208442137194	2.63561072358171e-09	5.99073959856728e-09	12.0035333267022
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3	7.15521441862096	6.6565484380353	29.7642494975162	1.91431898140586e-11	8.8440903410124e-11	16.7786710795717
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1	5.33520053420065	5.52332913185348	21.0028063099786	6.91813534252689e-10	1.82221074305048e-09	13.1606368694865
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	8.64285945417	9.06593710418069	28.5713676521152	2.92132844605092e-11	1.25489666062263e-10	16.5042848984478
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3	7.33650396529375	7.06485614892154	38.1386992729496	1.46672134940591e-12	1.21323145962141e-11	19.0194992715607
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2	6.81029302584665	6.94592815065905	16.9829249928384	6.00852148354003e-09	1.24265125792917e-08	11.2416248441127
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2	4.91742320741202	4.34049341249812	15.5509832423695	1.46058257548218e-08	2.76721095956542e-08	10.2927261188568
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	8.12074197821034	8.43289958613834	49.294557999091	1.01815678367618e-13	1.97007391898327e-12	21.2999737898506
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1	5.94119218301467	5.66169143977884	28.3574753867812	3.1570783704858e-11	1.33553981975702e-10	16.0149244084264
Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4	6.34689935661567	6.46764230048017	30.4298864030658	1.52295674307923e-11	7.39494822030819e-11	16.7767319692884
Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4	7.49185021655434	6.97226262411962	30.5095797527304	1.48230842821136e-11	7.23777517136556e-11	17.0577217677815
Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2	5.94988206389049	6.05647814179555	15.4961761032308	1.51334163666233e-08	2.8587617385394e-08	10.3308595914008
Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1	7.13680496986429	7.61309613049196	23.9950240474925	1.76533433543034e-10	5.70464521356656e-10	14.7170965407792
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1	6.88896464650539	6.89202533339003	27.5666944865696	4.2275447028693e-11	1.71227826069793e-10	16.0193022677566
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2	5.29881217450859	4.70054567396616	10.4457750660784	7.3767367450601e-07	1.05111110414838e-06	6.44539946337561
Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1	5.78181868037976	5.76216097417641	14.5153662843534	2.91447888601901e-08	5.22286588560018e-08	9.68000062112321
Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1	4.89687452576033	5.24099569540863	12.9810138892437	8.85206238898466e-08	1.44701160363262e-07	8.57264010711454
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1	7.11133030173949	6.80725975202078	35.9611957327129	2.69964844695495e-12	1.91954629810651e-11	18.4536101589277
Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1	5.44840071810089	5.88436945818099	13.5582293390861	5.75146932754841e-08	9.7223626816439e-08	9.00709943748128
Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1	5.86490080544077	5.8501916008819	25.971610952831	7.81668791402965e-11	2.86156372237379e-10	15.2279893692122
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1	4.0746523321789	3.98471600714973	9.85513458621102	1.28708180003624e-06	1.77487605484089e-06	5.92906157559377
Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2	4.30677547133005	4.00987403727751	7.16987823110386	2.39946816300285e-05	2.8723660616424e-05	3.02933082885798
Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1	4.94649745936421	4.76711416114474	14.5765516552336	2.7944543312139e-08	5.02465033646618e-08	9.68647103251911
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	6.6149611366884	6.85668647322376	17.7362004108854	3.87147183474365e-09	8.38351811991024e-09	11.6848888017178
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1	4.38569223895042	4.8519122806149	9.54353544664727	1.74580098969807e-06	2.3611866768466e-06	5.64120922292125
Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1	8.08876439917699	7.75039593918698	45.4966083503096	2.34499750546928e-13	3.30840089893446e-12	20.6594913729967
Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5	5.62216669657376	5.40171204940985	25.3544037405177	1.00141311570363e-10	3.54082744929163e-10	14.9266272755167
Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3	7.54108998480629	7.39956060387114	33.9026907639069	4.97443685613825e-12	3.09553366322541e-11	18.0340038138834
Tpr_TRINITY_DN8046_c0_g1|Tdu_TRINITY_DN12539_c0_g1	3.91064228583395	4.00281976599879	9.73756212972573	1.4426181359384e-06	1.97505222403074e-06	5.80831787570201
