Tdu1	Tdu2	Tdu3	Tpr1	Tpr2	Tpr3	Tml1	Tml2	Tml3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.582447261907	6.47528096999254	6.5145168345607	7.02939920570617	6.91256575565043	6.80616743883149	7.24570179076452	6.90812222094499	7.27419393784168
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.35027381977796	7.47198337989197	7.70314071505626	8.0118692811486	8.12661887607415	8.19454127362154	8.16797949534	8.14104530977361	7.76221088247763
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.2408903602707	5.71172116581462	5.43651432255943	4.76217700290895	4.14619924504366	4.72100005556881	5.81375090854933	5.39530950597967	4.20923849600091
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.64352283865877	6.8349202306123	6.72096771202813	7.48057049103873	7.12123232952709	7.41241349792061	7.24570179076452	6.30454404205649	6.53116659088827
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.64632328283972	9.80312579924634	9.49762583686282	9.88954154212322	9.79739166636375	9.96378793037068	9.85896966070582	9.43650119329978	9.56308177096504
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	5.70927728414248	5.2396527214994	5.74605869299096	5.48565936771153	6.36251715197043	6.30596255628997	3.99272104959465	6.66711412144119	6.83167570214073
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	6.01685008605277	5.7985259933519	6.40535339107297	6.05015776587297	5.43955818773426	5.57763588039763	4.8407179561496	5.52961059769126	5.24671320141957
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	5.99358030672993	5.68917859716354	5.93247181722184	6.32459693497902	6.00515536358848	6.30596255628997	5.51209520868823	6.10384669181936	6.56122382474445
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	4.72349114336218	3.98589612925362	3.61054372233448	4.09079975037032	4.14619924504366	4.36952768506743	2.89318537604374	2.84511242341919	4.71619848472079
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.55886044158938	4.72286172341982	4.83293614367093	4.76217700290895	4.98156854327086	3.75947420338345	5.81375090854933	6.69596898411338	4.9155072929442
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	7.27506747558879	5.04034391327599	5.66418168593655	4.29010855859373	4.81362390595679	4.15540287971458	1.67079295470729	6.63767034354871	4.71619848472079
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	1.37299389627805	4.53338392455611	4.0580026993057	6.9725368687505	5.61332525547096	6.86027484417094	4.60939241004315	5.71018284333308	6.50046979366536
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	4.26051916701964	5.59531167369931	5.59957260451348	3.58383976165044	4.35641695243401	5.29290640346452	5.64041930566377	4.99195381174846	5.63373632452882
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.95645280640882	8.89401927089258	9.20005301232455	8.77678141581772	9.06716502586391	9.13908057441265	8.43897727948422	8.21268318386226	8.08543229438651
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	6.34568655028231	6.20033979747458	6.8376126308804	5.63969299638395	5.550589500123	6.50023137671203	4.8407179561496	6.37760750424621	6.11105810206201
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.93370885075253	4.42841436495457	5.07394424317472	4.76217700290895	4.9167173989209	3.5990095311902	3.99272104959465	4.5613194574186	4.71619848472079
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	3.13852864264102	4.63123124795426	3.85155182183828	3.72822967098561	5.13198538582396	5.29290640346452	4.47814787676489	4.28568501480517	3.42074260119462
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.42610523273761	5.52067287280656	5.53193388763811	5.99412373095864	5.61332525547096	5.0661355416175	5.70054029810134	5.24721086699053	5.51589983423496
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.33646802025293	3.74488802974982	3.85155182183828	4.6213144670691	4.25513361659683	4.72100005556881	4.33375796742972	3.2076825028039	3.86820157816584
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	4.33646802025293	2.94842142383496	2.95846702575479	3.58383976165044	3.33175489819974	2.97097830857716	3.54526207262343	4.79264500352505	4.35362840533609
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.75842493347157	8.04700764355701	6.57177415216991	6.7196165406809	6.69777557727027	6.35703674088423	6.80007597165226	7.07118050289904	6.92709526721941
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1	3.13852864264102	3.22405586644838	0.88807769786339	2.50583724964916	3.51816802243062	3.75947420338345	3.99272104959465	3.9446480969701	-0.0386890174426747
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	2.75150551953178	3.90994727602032	2.47304019858455	3.58383976165044	3.75917612193442	2.68147169138217	5.37123267284838	2.84511242341919	3.42074260119462
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	3.13852864264102	3.65469022077825	2.65361244422637	3.58383976165044	2.86609132585093	4.55594080929831	4.60939241004315	3.73819721950268	3.13123598399964
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.0283457248906	5.3004067525785	4.6322387934338	4.76217700290895	4.25513361659683	4.36952768506743	5.04002676437301	5.39530950597967	5.98367879558578
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.66577564550589	3.82977692733634	4.29407005753923	3.72822967098561	4.40451124063506	4.36952768506743	1.67079295470729	5.24721086699053	5.57602082667253
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	5.11715499184846	5.81943498311488	5.86077035186765	3.72822967098561	2.56123674432251	4.15540287971458	0.0858304539861338	3.2076825028039	4.20923849600091
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.77898625595388	5.07553334173829	4.29407005753923	4.6213144670691	4.45105382657209	4.79694890880211	5.13022457334459	4.43007492414034	3.86820157816584
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.07343361441914	5.10988484652907	4.97554053911373	4.69346425282493	3.90003865777427	4.55594080929831	3.78627017212723	5.16704051830655	4.35362840533609
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.66577564550589	3.98589612925362	4.6746740597542	3.24280284381537	3.51816802243062	2.31890161199746	3.99272104959465	3.49718911999888	4.9155072929442
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.60565465306832	4.48185362391603	5.36056546932613	4.46519526515182	4.49614171610062	5.00339978626953	3.25575545542845	5.76567795592478	4.71619848472079
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	5.6804224214703	2.15992552902867	2.02558122161332	3.58383976165044	3.96562699940184	2.31890161199746	0.0858304539861338	7.11457309841242	3.66175070069842
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	3.90904679651826	3.98589612925362	4.34750931650069	3.97976843798157	4.53986309352994	4.79694890880211	4.33375796742972	4.79264500352505	4.20923849600091
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.31785234208559	5.49490977674148	5.86077035186765	5.11727196173151	5.59271497579568	5.62007114671803	5.70054029810134	4.79264500352505	5.51589983423496
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	4.93370885075253	4.92931260088725	5.70570095537482	5.06383270277005	5.0129327141802	5.66129380944454	6.15191964444391	5.16704051830655	5.89204832012021
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	5.59022461249872	5.04034391327599	4.97554053911373	6.20627696779025	6.35029084963717	6.47733097460195	5.51209520868823	5.24721086699053	5.51589983423496
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.20081292089537	5.20828855059007	5.50866410831527	4.95062209232206	5.50719690460962	5.66129380944454	3.54526207262343	5.81911721488624	5.98367879558578
