"","Tdu_1","Tdu_2","Tdu_3","Tpr_1","Tpr_2","Tpr_3","Tml_1","Tml_2","Tml_3"
"Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1",92,109,123,103,173,78,71,58,79
"Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5",157,218,281,204,402,205,135,137,111
"Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1",36,64,58,21,25,18,26,20,9
"Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1",96,140,142,141,200,119,71,38,47
"Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3",773,1099,976,751,1281,700,437,337,388
"Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3",50,46,72,35,118,55,7,49,58
"Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2",0,0,9,0,0,0,3,0,0
"Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1",62,68,114,52,62,33,13,22,19
"Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1",2,1,1,0,0,0,11,0,6
"Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1",61,63,82,63,92,55,21,33,48
"Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1",25,19,16,13,25,14,3,3,13
"Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7",45,32,38,21,45,9,26,50,15
"Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1",149,40,68,15,40,12,1,48,13
"Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1",5,3,3,2,4,1,3,9,7
"Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2",1,1,2,2,4,3,1,1,1
"Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2",2,28,22,99,70,81,11,25,46
"Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1",18,59,65,9,29,27,23,15,25
"Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1",479,585,794,347,772,395,163,144,139
