logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	0.0541361995081022	6.87084269089067	0.237010275390241	0.816383372706387	0.904862681683185	-6.96928716138361
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	0.497402177685254	7.95255961782445	2.25750834773294	0.0420339812843669	0.166601207849921	-4.77991555324588
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	-0.939375652906349	5.02972390990704	-2.48600857576799	0.0274774069333284	0.127396641165827	-3.99719475459135
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	0.608210839112354	6.81859203661888	2.69830451847875	0.0184007124362035	0.0993729117447977	-3.93233700739927
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	-0.0143287330935902	9.77272548243002	-0.0744423856606576	0.94180415833869	0.969035367167462	-7.08933343101076
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	0.796463756612316	6.08147752820174	2.52874787847814	0.0253563533994191	0.121415960182267	-4.0559975204203
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	0.354793450237585	5.33058969428485	0.956782723140425	0.356322974572188	0.581221027509428	-6.31537392991733
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	0.366781218541575	6.25907276287509	1.42833747996561	0.177035016198369	0.386596798854077	-5.87185339007723
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	0.62278012518841	4.00923183893859	1.57468470225565	0.139606099621522	0.337641589180485	-5.18344612343917
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	-0.730650962887564	4.91914607107446	-2.09049517835643	0.0570152754184084	0.199817423572848	-4.66143876066162
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	-1.61374500517415	5.23314879126064	-5.18297290517213	0.000182642157367579	0.00522610215671942	0.912575429971094
