logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	0.101729856330395	6.87084269089067	0.476551792697758	0.641678523654951	0.778298875629005	-6.62532639206548
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	-0.256347514234345	7.95255961782445	-1.31612885084235	0.211113777752836	0.386276516666197	-6.00842359084752
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	-0.0908450626766513	5.02972390990704	-0.251852391080408	0.805136155503792	0.890827633122519	-6.35827663151831
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	0.617754144411339	6.81859203661888	2.75598251937821	0.0164897876029567	0.0765387187122743	-3.5393328669019
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	0.360011167327608	9.77272548243002	2.17044996238407	0.0493084968868285	0.154049070784026	-4.7792513654418
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	-1.25355471865733	6.08147752820174	-4.87917730692129	0.000310775082202382	0.00961251417849301	0.376765313678017
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	0.570598764714136	5.33058969428485	1.43627429781221	0.174808179893699	0.342904055117745	-5.39864233648748
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	-0.698010085493468	6.25907276287509	-3.1236990295191	0.00816513153509105	0.0509583411149347	-2.86310875925526
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	-0.355767914520022	4.00923183893859	-0.959508311613495	0.355000362527074	0.53953057469665	-5.66089240025166
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	0.11480445411544	4.91914607107446	0.332698424106094	0.744724231441537	0.852576501318151	-6.28777382103177
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	0.0859099916223149	5.23314879126064	0.288135316370395	0.777835662522637	0.872798485625387	-6.3651462519722
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	-2.64525223680406	5.42571563400822	-4.64814260116569	0.000469389807160476	0.0113622352448409	0.124217697886277
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	1.54332944632871	4.97943627551988	2.5929623500436	0.0224644306111972	0.0934372196300895	-3.39050856893662
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	0.653030176335884	8.89502992087779	2.05165002266822	0.0611516829962587	0.176171064744683	-4.95918594452526
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	-0.187171810490287	6.14482481972968	-0.604573975801287	0.555981705806775	0.71247455590228	-6.45573317924759
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	-0.813538443303436	4.49831934129138	-2.24804845820033	0.0427723957639448	0.141672927417012	-4.11324076393602
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	0.981803225182201	4.32440307470241	1.83263611064503	0.0901095246236214	0.224990108408065	-4.52574384865472
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	-0.474924656078773	5.80430357504705	-1.71319457825809	0.11066925330589	0.256902078559703	-5.2104942363781
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	0.364025208820378	4.29372480665918	0.915807768710242	0.376625344110401	0.56002843578702	-5.70050041722473
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	-0.232138404595385	6.89291525468021	-1.04640898675591	0.314647002556792	0.498490409111568	-6.20696130487895
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	1.06698390437976	3.38322649444509	1.11481289441545	0.285336115221144	0.467939911968648	-5.1590058345165
