,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,0.0859099916223149,5.233148791260639,0.288135316370395,0.7778356625226371,0.8727984856253871,-6.3651462519722
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,1.54332944632871,4.97943627551988,2.5929623500436003,0.0224644306111972,0.0934372196300895,-3.390508568936621
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1,0.5755196683905289,4.21304188112485,0.8521963989108391,0.409699146810959,0.5904404284345551,-5.665101756143769
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1,0.6666528387720569,5.363311290614161,1.8797482224093405,0.0829925269809382,0.213757739613446,-4.74221935896824
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,-0.293231064077244,7.93104592190642,-1.71450632336524,0.110422524057214,0.256840323414643,-5.4623682397947695
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2,1.10244198298069,5.16172659512109,2.27165669149577,0.0409520722079786,0.13763142433787698,-4.00883725202164
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1,-0.520113013488906,6.22142812469484,-2.60799692225067,0.021835076553572,0.0917756996402086,-3.7902190338707102
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1,-0.139670911333893,7.77236486834458,-0.758675204473432,0.4617293311429551,0.6324757592412211,-6.5559658460684505
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1,-0.381639327156519,7.81674338670185,-2.01753131760371,0.0650123598852281,0.183511159581117,-4.98517126502418
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1,-0.910884297345812,3.6050738687552406,-2.39725269498848,0.0324413392613102,0.119345408098624,-3.63118373380976
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1,0.13323926955759802,5.52866915074064,0.451999722703469,0.6588005226184941,0.791258058886213,-6.38635658354094
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1,-0.36469966505819895,9.292144646968461,-1.77946649138753,0.09879772728919804,0.239432094044573,-5.41010100100147
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2,-0.9543292314886972,4.71744089912855,-3.05837643062707,0.00925350493708669,0.0545321554218831,-2.7263266225608795
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5,0.786435355127898,4.58568583492879,1.72474354832381,0.108513630086047,0.25396093246950896,-4.71870148557906
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6,0.723290096885124,5.76539666244344,2.31250251569217,0.0379748135262329,0.131811701639409,-4.1424756302851815
Tpr_TRINITY_DN13112_c3_g9|Tdu_TRINITY_DN25069_c2_g1,-0.36882183163152704,8.3492815808203,-2.0381601439593102,0.0626520499923775,0.178849372741353,-4.97946377854815
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1,0.0850244679373926,10.380928455532802,0.470394961972837,0.645952645851883,0.781626870330929,-6.79562806223405
Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4,0.30080505405949104,4.98250549391014,0.7479629017317181,0.467944030049321,0.638886692608739,-6.01319200312385
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5,0.132577090469795,7.9314829265584885,0.4890838468673421,0.63301976683227,0.772196835112588,-6.724091605663871
Tpr_TRINITY_DN12896_c9_g2|Tdu_TRINITY_DN20213_c4_g1,-0.632778907141105,3.66205081458323,-1.5230874583283305,0.151948266586928,0.31494654662217103,-4.897262510984151
Tpr_TRINITY_DN15775_c2_g6|Tdu_TRINITY_DN19323_c3_g1,-0.295101459680891,7.1846525322418895,-1.66713478197368,0.11964677792516802,0.269561341932596,-5.464088689794589
Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5,0.193797777861151,8.33949286238082,1.2479312454799298,0.234306303741023,0.4130119795197921,-6.0990404045717295
Tpr_TRINITY_DN11460_c3_g5|Tdu_TRINITY_DN16979_c0_g2,0.00470956184714399,6.50189434310151,0.0229355008199615,0.982053864038069,0.99096919559005,-6.6890105031763305
Tpr_TRINITY_DN10325_c1_g2|Tdu_TRINITY_DN17573_c2_g3,0.196541192777404,7.16822651192294,0.90500278070575,0.38210995268422093,0.565357067519813,-6.34562405641507
Tpr_TRINITY_DN11273_c5_g1|Tdu_TRINITY_DN14692_c0_g1,0.619932576245665,4.990178789261241,1.27929129806114,0.223400697613794,0.40031791079315504,-5.467617904523832
Tpr_TRINITY_DN14494_c6_g4|Tdu_TRINITY_DN18357_c3_g1,-0.7360191769200569,5.46564894884416,-2.49052900381006,0.0272452152899309,0.105816654719801,-3.82446716077776
Tpr_TRINITY_DN12124_c1_g1|Tdu_TRINITY_DN20551_c2_g1,-0.7408703461058259,7.11621366192801,-2.83191082010962,0.0142685545775233,0.0699730588734017,-3.47250968962696
Tpr_TRINITY_DN11269_c3_g3|Tdu_TRINITY_DN24648_c1_g2,-0.679220964460455,7.24405433144271,-2.930171301127221,0.0118268686597683,0.062370066706707,-3.33004017009542
Tpr_TRINITY_DN11723_c0_g1|Tdu_TRINITY_DN20632_c0_g2,-0.44995865660005,5.3237921574079,-1.7444295838557602,0.104924828693286,0.248919956845867,-5.05408730533531
Tpr_TRINITY_DN7906_c0_g1|Tdu_TRINITY_DN16252_c0_g1,0.98803406778705,4.055355371452371,1.97675317445717,0.06992105552249299,0.19203852823037695,-4.19420833251491
Tpr_TRINITY_DN9882_c0_g1|Tdu_TRINITY_DN13766_c0_g1,-0.11709865615160002,6.90286458683253,-0.579463872805453,0.5722903085736409,0.7244544541642909,-6.5822692616292215
Tpr_TRINITY_DN15377_c1_g7|Tdu_TRINITY_DN20722_c1_g1,0.193960963655318,7.74830901458712,0.766914636030824,0.456984547840041,0.6280771143788361,-6.526653162693112
Tpr_TRINITY_DN10352_c4_g1|Tdu_TRINITY_DN17460_c6_g1,-0.0851568625832932,6.3566922281706,-0.413420745362387,0.6861109053814721,0.8114252959965229,-6.580342144787822
Tpr_TRINITY_DN14996_c3_g1|Tdu_TRINITY_DN20072_c4_g1,-0.4625770120141189,8.307631127951009,-1.70498398175776,0.11222469714847097,0.258576384381659,-5.49878138741004
Tpr_TRINITY_DN13850_c2_g2|Tdu_TRINITY_DN20614_c3_g3,-0.493117508358253,7.14718124528777,-1.4892424022723,0.160539860608114,0.32613208569987,-5.71879328509966
Tpr_TRINITY_DN15403_c4_g2|Tdu_TRINITY_DN16791_c0_g3,0.23640336328162,5.145712368929081,0.3722568309394129,0.7157654910638059,0.831288404846147,-6.2348487847596505
Tpr_TRINITY_DN11372_c5_g3|Tdu_TRINITY_DN18421_c10_g1,-0.101464586639643,6.63855239241438,-0.35589524086164004,0.727690586702692,0.840310569334811,-6.645892802697659
Tpr_TRINITY_DN13435_c7_g5|Tdu_TRINITY_DN13665_c0_g1,0.7663885411583079,5.24251014768296,2.11505867032535,0.0545355440338787,0.164594952943135,-4.33738793795617
Tpr_TRINITY_DN8416_c0_g1|Tdu_TRINITY_DN18640_c0_g1,-0.13851685425740198,8.26487252026069,-0.8225269768727909,0.425769585506073,0.604175585865988,-6.53747215211123
Tpr_TRINITY_DN14185_c1_g5|Tdu_TRINITY_DN22570_c3_g1,-0.142377648745222,6.52844024101542,-0.6348619056223,0.536653196307315,0.6962778382129959,-6.48431508992463
Tpr_TRINITY_DN15001_c3_g1|Tdu_TRINITY_DN20603_c3_g1,-0.39521495861456896,5.7202164803382,-1.73639325584984,0.106376947603343,0.25085977243066104,-5.14445043875996
Tpr_TRINITY_DN11621_c3_g1|Tdu_TRINITY_DN15535_c0_g1,0.0736533401766493,3.28055124727526,0.0978964622085461,0.923524241553382,0.961614840472919,-5.75916127902423
Tpr_TRINITY_DN12128_c2_g2|Tdu_TRINITY_DN19326_c5_g1,-0.62755855795092,6.7543590297508,-2.5352898506403903,0.0250459830417873,0.099740746431833,-3.98325140553428
Tpr_TRINITY_DN1078_c0_g1|Tdu_TRINITY_DN9793_c0_g1,0.0370507607509767,6.99482863839085,0.160972335441975,0.8746170394108921,0.930051896268509,-6.72831348722324
Tpr_TRINITY_DN9447_c0_g2|Tdu_TRINITY_DN23603_c4_g1,0.0909832947675966,5.5130759662274516,0.305438872763161,0.764920802798582,0.865185482872017,-6.43750381021135
Tpr_TRINITY_DN13496_c4_g2|Tdu_TRINITY_DN20284_c3_g1,-1.01617749174271,3.7872712069562,-2.41814718178932,0.0312005831384828,0.115886475897639,-3.6044953528006
Tpr_TRINITY_DN11021_c5_g11|Tdu_TRINITY_DN19306_c4_g1,0.0151571362508296,6.76188618119527,0.0737561670946359,0.942339562156975,0.9716272330462028,-6.72490491507172
Tpr_TRINITY_DN10560_c1_g3|Tdu_TRINITY_DN22971_c5_g1,0.427275365934398,6.308217012225351,1.7577733363677202,0.10255255498642303,0.24553051333293505,-5.15708001744815
