,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,0.101729856330395,6.87084269089067,0.476551792697758,0.641678523654951,0.778298875629005,-6.625326392065481
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,-0.256347514234345,7.952559617824451,-1.31612885084235,0.211113777752836,0.38627651666619706,-6.00842359084752
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,-0.0908450626766513,5.02972390990704,-0.251852391080408,0.805136155503792,0.8908276331225191,-6.358276631518309
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,0.617754144411339,6.81859203661888,2.7559825193782097,0.0164897876029567,0.0765387187122743,-3.5393328669019
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,0.360011167327608,9.772725482430019,2.1704499623840703,0.0493084968868285,0.154049070784026,-4.7792513654418
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,0.570598764714136,5.33058969428485,1.43627429781221,0.17480817989369898,0.342904055117745,-5.39864233648748
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,-0.698010085493468,6.25907276287509,-3.1236990295191003,0.00816513153509105,0.0509583411149347,-2.8631087592552595
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,-0.35576791452002204,4.0092318389385895,-0.959508311613495,0.355000362527074,0.5395305746966501,-5.660892400251662
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,0.11480445411544,4.919146071074461,0.332698424106094,0.744724231441537,0.8525765013181509,-6.287773821031768
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,0.653030176335884,8.89502992087779,2.05165002266822,0.0611516829962587,0.17617106474468305,-4.95918594452526
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,-0.18717181049028694,6.14482481972968,-0.604573975801287,0.555981705806775,0.71247455590228,-6.455733179247591
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1,-0.8135384433034359,4.49831934129138,-2.24804845820033,0.0427723957639448,0.14167292741701198,-4.1132407639360204
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,0.981803225182201,4.32440307470241,1.8326361106450304,0.0901095246236214,0.224990108408065,-4.525743848654719
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,-0.4749246560787729,5.804303575047048,-1.71319457825809,0.11066925330589,0.256902078559703,-5.210494236378099
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,0.364025208820378,4.29372480665918,0.915807768710242,0.376625344110401,0.56002843578702,-5.70050041722473
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,-0.232138404595385,6.892915254680211,-1.04640898675591,0.31464700255679195,0.498490409111568,-6.20696130487895
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,1.06698390437976,3.38322649444509,1.1148128944154498,0.285336115221144,0.4679399119686479,-5.1590058345165
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,-0.6965899690170521,5.0886255592225,-2.05878415903655,0.0603717310278186,0.17547797701281,-4.53659320646509
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,0.4029051154329129,5.0671854064960895,0.7509286409732411,0.4662182882894871,0.63736655501339,-6.0577906641129005
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,-0.134159553335502,4.7090401804693,-0.324106797669469,0.7510693935525171,0.856264353794059,-6.224850042868298
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,-0.940593148619377,4.0261784872996005,-2.2263629469265296,0.0445116294384184,0.144632229556161,-4.0232803285529
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1,-0.094815754083311,4.42313507391656,-0.251495315012851,0.805406225957091,0.891008056801475,-6.200905962464841
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1,-0.475994951351904,5.55125947364898,-1.66824198302389,0.119423685740006,0.269297544187827,-5.2262105532789205
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1,-0.3724955097088871,5.20345857491493,-1.14315561491805,0.273814229122878,0.456466683865106,-5.811775932409461
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,-0.7296887663034979,5.47796705977939,-2.51085135610869,0.0262245358369686,0.103151492637902,-3.86078683539623
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,0.536371227023735,6.21515341871419,1.9905889492518896,0.068218599529193,0.18903703104146105,-4.77130660726858
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1,-0.0397605862565165,3.90345657065101,-0.0793713991538183,0.937959308649173,0.96915090744778,-6.061836340257161
