logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.78967696542796	6.87084269089067	37.6469256176291	1.5361181849997e-14	8.38221240268186e-14	23.4065586456927
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.11945278587966	7.95255961782445	50.5492378075378	3.55938989837573e-16	5.65630528316311e-15	26.8545666145652
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.03569138917436	5.02972390990704	16.3885246605947	5.39449778004438e-10	8.29394073383116e-10	13.4486453266768
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.40727155509258	6.81859203661888	33.068716266186	8.00764118361371e-14	3.17219924528789e-13	21.8567862282932
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.53267994717591	9.77272548243002	70.5632331294358	4.95707186704751e-18	8.476278071764e-16	30.1855857834897
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	6.93187606837831	6.08147752820174	34.1480075850885	5.3218065328843e-14	2.2686010063594e-13	22.3506998342618
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	4.91798526972522	5.33058969428485	13.9970861468806	3.70603736619042e-09	5.13053585174857e-09	11.5589525004969
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.70793190431366	6.25907276287509	36.6780645415546	2.1416681160555e-14	1.09074436711891e-13	23.0931535360501
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	4.2319503409645	4.00923183893859	13.4926921408461	5.77624362136947e-09	7.84773709171865e-09	11.0635914288769
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	4.85283837496022	4.91914607107446	16.3094810496812	5.7252035616405e-10	8.75712161237701e-10	13.3689198110958
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	5.21581374165144	5.23314879126064	20.5113472997105	3.32946345363126e-11	6.23721983765748e-11	16.0957039157281
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	7.11947737857801	5.42571563400822	22.2361681205056	1.21081748786881e-11	2.46817067845375e-11	17.2468131916669
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	3.85106738655372	4.97943627551988	7.03053253236452	9.4778248457525e-06	1.03368497040709e-05	3.76648442048173
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.45038159624128	8.89502992087779	32.1732837886462	1.13521176455452e-13	4.24583630758519e-13	21.8220145552153
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	6.24405712750952	6.14482481972968	23.996171980664	4.64611069499819e-12	1.04084379223164e-11	18.1317218734871
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	5.06243495844565	4.49831934129138	17.3232982462268	2.7210974171592e-10	4.36581468067142e-10	14.1004125832356
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	3.63815182446533	4.32440307470241	7.37209423864512	5.76802171387279e-06	6.34566214974484e-06	4.31318659828171
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	6.11481838317248	5.80430357504705	26.643803723978	1.24008764691278e-12	3.24315635547823e-12	19.3462159973191
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.00374620959513	4.29372480665918	11.2844312007966	4.86140012265829e-08	6.07000732064411e-08	9.00489686832837
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	7.05135641068113	6.89291525468021	38.1444681229121	1.2993334249421e-14	7.34026419911321e-14	23.6134269063165
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	2.52551168789298	3.38322649444509	2.84015049208463	0.0140459934435353	0.0143229227778984	-3.19227191080907
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.56681651209422	5.0886255592225	20.0787276246197	4.34552051349644e-11	7.97732568692347e-11	15.9100626508892
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	5.33863437637738	4.60786393172308	23.9201096335564	4.83564478740818e-12	1.07837209814537e-11	17.9037117247317
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	3.691282542745	4.21304188112485	6.12075320834624	3.83590960841776e-05	4.10349682801833e-05	2.40437730377296
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.74227842107414	5.06718540649609	10.0977001397156	1.7716952704368e-07	2.12119432306646e-07	7.6881809687796
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.80779956131989	4.7090401804693	13.3548210752677	6.53777503545289e-09	8.83336893075065e-09	10.9912000102169
