Tdu4	Tdu5	Tdu6	Tpr1	Tpr2	Tpr3	Tms1	Tms2	Tms3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.90143574838859	6.73185278759943	6.96581842291161	7.03076373035287	6.91389771246544	6.80656854599606	6.90729597034303	7.22413039917458	6.35582090078444
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.6384013425548	7.27280810608149	7.93885137531134	8.0132338057953	8.12795083288916	8.19494238078612	7.94651728014075	8.4621704255415	7.97816101131963
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.60966962401148	5.05749120182517	5.61086152763677	4.76354152755565	4.14753120185868	4.72140116273338	4.44217323962788	6.12144473520001	4.79340096871438
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.49764300627737	6.85066021763946	6.8025571517503	7.48193501568543	7.1225642863421	7.41281460508518	5.94097909659932	6.63365089348586	6.62452405670493
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.82761339846532	9.98855248573294	9.88414183041717	9.89090606676991	9.79872362317876	9.96418903753525	9.42044846847316	9.8542655018544	9.32568892944329
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	4.9996161423275	5.46757948513228	5.34478666748293	5.48702389235823	6.36384910878544	6.30636366345454	7.31949071985305	6.53055740052175	6.91403067389991
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	4.452128347025	5.8788938983684	5.51673935027222	6.05152229051967	5.44089014454927	5.57803698756221	4.96300540292932	5.6825604939668	4.41153033337073
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.2001491297002	5.6091336293463	5.69921740205762	6.32596145962571	6.00648732040349	6.30636366345454	6.48846689190181	7.10957063491172	6.58630473447444
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	3.92161363032622	3.82186295333203	2.94789651491434	4.09216427501702	4.14753120185868	4.36992879223201	4.67349878573433	4.09759799324565	4.010992403787
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.27525058494092	5.09648533344103	5.64091876149295	4.76354152755565	4.98290050008588	3.75987531054802	4.77659227869844	5.40016076326608	4.57658957964123
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	5.7365817364937	6.28551915783105	6.2794106586309	4.29147308324042	4.8149558627718	4.15580398687916	4.87280759395774	5.144903708024	5.51688333351696
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	3.07361672377127	1.18959473783251	3.56456787536284	6.9739013933972	5.61465721228597	6.86067595133551	7.58394720075604	7.78316443490521	6.18731517642747
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	6.63433167824575	5.9010896444826	6.73449287680515	3.58520428629713	4.35774890924902	5.29330751062909	3.37804290220816	5.86313273960862	3.06757593215337
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.80153717833447	9.45356809263592	9.38196868355752	8.77814594046442	9.06849698267892	9.13948168157723	8.31521606475272	9.48762360451642	7.62923105938246
