"","Tdu_4","Tdu_5","Tdu_6","Tpr_1","Tpr_2","Tpr_3","Tms_1","Tms_2","Tms_3"
"Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1",106,116,121,103,173,78,63,65,63
"Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5",177,169,238,204,402,205,130,154,195
"Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1",43,36,47,21,25,18,11,30,21
"Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1",80,126,108,141,200,119,32,43,76
"Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3",809,1113,918,751,1281,700,362,405,497
"Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3",28,48,39,35,118,55,84,40,93
"Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2",0,7,2,0,0,0,1,0,0
"Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1",19,64,44,52,62,33,16,22,16
"Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1",0,0,0,0,0,0,0,2,6
"Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1",65,53,50,63,92,55,47,60,74
"Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1",13,15,7,13,25,14,13,7,12
"Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7",34,37,48,21,45,9,14,18,18
"Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1",47,85,75,15,40,12,15,15,35
"Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1",2,4,2,2,4,1,6,0,17
"Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2",0,2,1,2,4,3,0,2,2
"Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2",7,2,11,99,70,81,101,96,56
"Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1",88,65,103,9,29,27,5,25,6
"Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1",397,768,648,347,772,395,168,314,153
"Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1",48,121,70,39,67,63,45,43,43
"Tpr_TRINITY_DN15747_c5_g5|Tdu_TRINITY_DN13769_c0_g1",1,5,0,0,6,1,0,2,1
"Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1",20,11,16,21,43,8,15,16,26
"Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4",23,25,17,10,50,27,7,9,6
"Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2",35,63,58,50,70,23,45,36,39
"Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2",16,28,13,19,27,18,8,11,9
"Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1",0,0,4,6,14,11,6,2,16
