FUSION_ID,Tdu_1,Tdu_2,Tdu_3,Tdu_4,Tdu_5,Tdu_6,Tpr_1,Tpr_2,Tpr_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,92,109,123,106,116,121,103,173,78
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,157,218,281,177,169,238,204,402,205
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,36,64,58,43,36,47,21,25,18
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,96,140,142,80,126,108,141,200,119
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,773,1099,976,809,1113,918,751,1281,700
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,50,46,72,28,48,39,35,118,55
Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2,0,0,9,0,7,2,0,0,0
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,62,68,114,19,64,44,52,62,33
Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1,2,1,1,0,0,0,0,0,0
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,61,63,82,65,53,50,63,92,55
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,25,19,16,13,15,7,13,25,14
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,45,32,38,34,37,48,21,45,9
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,149,40,68,47,85,75,15,40,12
Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1,5,3,3,2,4,2,2,4,1
Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2,1,1,2,0,2,1,2,4,3
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,2,28,22,7,2,11,99,70,81
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,18,59,65,88,65,103,9,29,27
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,479,585,794,397,768,648,347,772,395
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,78,90,154,48,121,70,39,67,63
Tpr_TRINITY_DN15747_c5_g5|Tdu_TRINITY_DN13769_c0_g1,1,6,3,1,5,0,0,6,1
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1,29,26,45,20,11,16,21,43,8
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4,8,30,19,23,25,17,10,50,27
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2,41,56,62,35,63,58,50,70,23
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2,19,16,19,16,28,13,19,27,18
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1,1,0,5,0,0,4,6,14,11
Tpr_TRINITY_DN10912_c0_g1|Tdu_TRINITY_DN18326_c0_g1,4,5,5,2,5,0,0,8,5
Tpr_TRINITY_DN11422_c2_g1|Tdu_TRINITY_DN19448_c0_g2,1,2,24,4,12,8,1,11,2
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1,19,9,10,3,10,10,9,14,5
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4,104,325,128,96,202,107,83,149,57
Tpr_TRINITY_DN11701_c6_g1|Tdu_TRINITY_DN12468_c0_g1,2,7,4,6,11,7,4,16,2
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1,8,11,2,2,6,2,4,16,9
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2,6,18,7,2,2,2,9,19,4
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1,8,15,8,17,26,4,9,10,16
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1,31,48,33,27,69,29,21,27,14
Tpr_TRINITY_DN1754_c0_g1|Tdu_TRINITY_DN28020_c0_g1,6,13,3,3,3,6,4,8,2
Tpr_TRINITY_DN9404_c0_g1|Tdu_TRINITY_DN9708_c0_g1,0,1,1,0,0,2,2,5,4
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1,24,17,26,19,25,14,10,30,14
Tpr_TRINITY_DN1379_c0_g1|Tdu_TRINITY_DN10898_c0_g1,11,10,6,16,6,1,1,1,3
Tpr_TRINITY_DN16433_c0_g1|Tdu_TRINITY_DN15338_c0_g1,0,3,2,3,1,0,6,1,0
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1,33,69,78,49,20,59,10,8,12
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2,26,41,26,90,69,21,19,31,19
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1,32,42,42,44,31,25,20,21,16
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1,24,19,34,16,34,15,7,16,3
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5,23,27,55,22,24,19,17,32,22
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4,49,5,5,4,13,23,9,22,3
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1,14,19,27,16,19,20,12,33,19
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1,38,55,78,29,34,59,27,69,34
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1,29,37,70,15,36,44,26,46,35
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1,46,40,42,20,22,48,58,117,62
Tpr_TRINITY_DN37142_c0_g1|Tdu_TRINITY_DN45271_c0_g1,1,2,6,2,4,3,0,0,0
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2,35,45,61,36,36,26,24,65,35
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3,120,49,146,72,115,65,62,152,52
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1,220,389,380,272,324,272,154,235,122
Tpr_TRINITY_DN9937_c0_g1|Tdu_TRINITY_DN32303_c0_g1,0,0,0,0,0,0,0,4,0
Tpr_TRINITY_DN6712_c0_g1|Tdu_TRINITY_DN15013_c0_g2,0,5,9,2,0,3,9,1,0
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1,20,21,21,23,14,11,10,17,8
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2,14,22,5,7,37,20,75,209,71
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,32,80,119,57,135,65,88,187,93
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,21,15,24,6,27,10,2,12,16
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,92,75,106,69,102,108,115,179,35
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1,63,43,49,35,60,45,99,115,50
Tpr_TRINITY_DN13277_c0_g1|Tdu_TRINITY_DN14226_c0_g1,1,0,2,0,3,0,0,1,0
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4,12,10,13,9,11,7,3,2,7
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1,35,74,57,54,51,34,56,73,38
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1,96,174,136,108,155,188,106,150,63
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3,32,33,40,25,28,33,33,56,35
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1,10,16,13,24,15,10,16,7,9
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5,70,61,68,93,80,43,84,51,54
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1,295,374,459,280,304,336,275,547,289
Tpr_TRINITY_DN15806_c0_g1|Tdu_TRINITY_DN17874_c1_g4,1,6,5,2,1,3,2,9,2
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1,12,19,27,8,10,8,22,21,11
Tpr_TRINITY_DN15890_c1_g3|Tdu_TRINITY_DN25023_c2_g1,3,2,3,1,1,1,0,3,0
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2,31,27,36,26,37,27,13,28,21
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1,65,118,138,87,100,99,30,61,38
Tpr_TRINITY_DN12422_c3_g4|Tdu_TRINITY_DN23379_c3_g1,1,5,2,0,1,3,0,1,0
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1,158,222,284,124,174,184,237,385,184
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1,39,22,20,9,35,41,18,41,7
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8,7,9,14,7,16,15,3,14,8
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1,43,62,85,35,52,59,40,90,47
Tpr_TRINITY_DN15316_c5_g4|Tdu_TRINITY_DN19520_c4_g1,4,2,2,0,2,0,1,2,0
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1,156,187,212,157,163,133,227,341,216
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1,15,35,39,15,32,27,9,40,15
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1,90,118,148,85,81,124,99,151,65
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1,13,12,14,8,14,27,8,17,13
Tpr_TRINITY_DN12493_c7_g1|Tdu_TRINITY_DN18655_c4_g1,9,16,14,7,11,10,4,18,3
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2,449,602,708,398,380,503,328,774,413
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1,287,327,379,262,323,275,204,314,156
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2,97,97,147,63,124,84,47,102,49
Tpr_TRINITY_DN12870_c3_g1|Tdu_TRINITY_DN17260_c2_g1,0,3,2,2,0,0,7,7,5
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1,389,532,768,358,526,564,353,895,471
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5,4,13,0,2,1,0,6,46,0
Tpr_TRINITY_DN11191_c5_g12|Tdu_TRINITY_DN17180_c6_g3,10,10,12,3,7,8,17,8,2
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1,5,8,9,4,6,5,13,22,15
Tpr_TRINITY_DN6697_c0_g1|Tdu_TRINITY_DN24609_c6_g3,0,2,0,0,0,0,0,3,3
Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1,3,2,45,14,18,28,19,37,14
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3,173,80,77,77,203,61,24,64,30
Tpr_TRINITY_DN4810_c0_g2|Tdu_TRINITY_DN13227_c0_g1,0,1,0,0,0,0,0,0,0
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4,105,91,112,70,95,74,34,70,30
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3,335,590,486,373,483,425,379,895,463
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1,101,129,174,93,121,125,49,141,61
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5,42,109,48,42,57,40,25,40,26
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3,76,95,102,86,81,141,53,142,83
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1,30,46,56,23,34,43,54,117,35
Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1,0,4,4,2,1,2,11,11,8
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1,393,444,691,302,401,373,551,1285,861
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3,105,136,161,116,129,87,111,170,94
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2,133,162,232,116,147,102,58,175,119
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2,15,32,27,25,47,29,18,16,6
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3,324,559,665,299,451,461,234,588,250
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1,30,42,31,25,50,46,54,91,59
Tpr_TRINITY_DN15172_c2_g3|Tdu_TRINITY_DN22547_c4_g1,0,12,1,0,2,34,8,12,5
Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4,126,104,117,42,116,96,64,131,59
Tpr_TRINITY_DN5032_c0_g1|Tdu_TRINITY_DN11374_c0_g1,0,1,0,0,0,0,0,1,1
Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4,82,217,230,268,79,151,57,110,64
Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2,74,74,124,38,97,67,33,104,59
Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1,226,303,404,198,240,225,120,338,175
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1,135,189,185,108,151,136,67,152,75
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2,22,20,41,14,29,17,13,37,12
Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1,17,100,87,18,60,60,50,87,46
Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1,45,53,48,24,44,33,33,60,33
Tpr_TRINITY_DN14456_c0_g1|Tdu_TRINITY_DN18272_c4_g4,1,0,0,4,3,2,3,3,1
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1,100,130,142,80,137,109,77,148,63
Tpr_TRINITY_DN13502_c4_g7|Tdu_TRINITY_DN24579_c0_g2,10,7,12,14,10,15,8,22,9
Tpr_TRINITY_DN13532_c5_g2|Tdu_TRINITY_DN17433_c0_g1,9,12,17,14,10,13,10,11,2
Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1,162,73,82,64,102,63,51,84,31
Tpr_TRINITY_DN19971_c0_g1|Tdu_TRINITY_DN31287_c0_g1,0,0,3,0,4,0,1,0,0
Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1,54,69,77,37,75,54,50,88,34
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1,5,12,15,21,8,6,18,53,16
Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2,21,9,23,9,17,11,7,19,18
Tpr_TRINITY_DN12056_c4_g1|Tdu_TRINITY_DN21708_c3_g1,38,30,49,28,39,18,8,34,21
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2,124,157,151,77,126,124,85,210,94
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1,20,41,83,34,60,32,25,46,22
Tpr_TRINITY_DN10216_c4_g1|Tdu_TRINITY_DN22573_c1_g1,260,309,271,283,131,163,110,215,121
Tpr_TRINITY_DN14380_c1_g11|Tdu_TRINITY_DN22947_c0_g5,37,53,45,15,57,25,29,76,22
Tpr_TRINITY_DN13142_c6_g2|Tdu_TRINITY_DN25031_c3_g3,141,296,242,125,134,197,107,214,93
Tpr_TRINITY_DN8046_c0_g1|Tdu_TRINITY_DN12539_c0_g1,17,20,25,7,14,14,16,17,9
Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1,126,100,103,91,94,79,87,99,65
Tpr_TRINITY_DN12353_c4_g2|Tdu_TRINITY_DN22438_c1_g2,338,438,520,311,386,404,282,349,177
Tpr_TRINITY_DN12610_c3_g3|Tdu_TRINITY_DN19249_c1_g1,1,8,0,2,8,2,6,13,8
Tpr_TRINITY_DN10603_c5_g6|Tdu_TRINITY_DN18338_c3_g1,6,14,5,5,8,10,13,25,10
Tpr_TRINITY_DN12429_c1_g2|Tdu_TRINITY_DN21784_c3_g2,15,19,28,13,17,22,9,13,7
