baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	439.879994237293	-1.03607525237414	0.206875926510959	-5.00819631287185	5.494248049435e-07	3.47264652355315e-05
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	27.7876101225206	-1.65901812469597	0.485748943281106	-3.41538185032321	0.000636926542325883	0.00855598870208884
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	73.1864848641924	-1.16266562236947	0.409213229782881	-2.84122197854246	0.00449410186281423	0.0347816674782954
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	223.962673035852	-0.680501430797255	0.170122160427827	-4.00007517589662	6.3322365076842e-05	0.0014616304006215
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	330.402389876027	-0.663992539938586	0.218822198906298	-3.03439296039116	0.00241020266483207	0.0222723507734248
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	98.0265406020256	-0.811998202823668	0.293260258653594	-2.76886546629839	0.00562518575519006	0.0410542794568276
Tpr_TRINITY_DN12619_c0_g1|Tdu_TRINITY_DN22380_c3_g1	29.3978250640166	-1.27589448553904	0.426131408815668	-2.99413387312869	0.00275225154583872	0.0245363474158859
Tpr_TRINITY_DN13095_c0_g1|Tdu_TRINITY_DN20734_c1_g6	171.32965382266	-0.640574807494076	0.230971058234818	-2.77339859110328	0.00554741271927844	0.0406672783732977
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5	314.385405381811	-0.619874444019706	0.186891657270063	-3.31675823883337	0.000910683828399767	0.0110856080839774
Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5	334.79143174248	-0.675166625594129	0.197643476248246	-3.41608353794638	0.000635287548928907	0.00854561423252254
Tpr_TRINITY_DN11460_c3_g5|Tdu_TRINITY_DN16979_c0_g2	81.2688382028162	-0.831435101137984	0.259033977266023	-3.20975305986256	0.00132849049000293	0.0148177785423404
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	136.183716665292	-0.907347854047472	0.255382503177944	-3.5528974881073	0.000381012910806878	0.00586998015711846
Tpr_TRINITY_DN15563_c2_g9|Tdu_TRINITY_DN24709_c4_g1	29.2696760107046	-1.23155463562609	0.434854318031006	-2.83210855810858	0.0046242146267852	0.0355653324649782
Tpr_TRINITY_DN14305_c2_g3|Tdu_TRINITY_DN23093_c0_g1	92.960464653904	-0.962357046984626	0.251321410476102	-3.82918846890737	0.000128566520820989	0.00252021052742536
Tpr_TRINITY_DN11273_c5_g1|Tdu_TRINITY_DN14692_c0_g1	42.4113785005907	-1.45080332164468	0.541372721005572	-2.67986040920179	0.00736528673501085	0.0494533932117651
Tpr_TRINITY_DN13359_c1_g5|Tdu_TRINITY_DN5025_c0_g1	11.2760720747765	-1.40620498674201	0.525693012631103	-2.67495468449149	0.00747393517595673	0.0497925681317117
Tpr_TRINITY_DN8430_c0_g1|Tdu_TRINITY_DN16985_c0_g1	3.81370708663262	-1.86761736085566	0.617773122923491	-3.02314440618187	0.00250162837702833	0.0228670302033297
Tpr_TRINITY_DN13912_c1_g1|Tdu_TRINITY_DN19491_c1_g1	77.0055119278635	-1.24073397773471	0.276529897704939	-4.48679867179709	7.23013366089865e-06	0.000267000441559778
Tpr_TRINITY_DN12403_c2_g9|Tdu_TRINITY_DN17638_c2_g2	160.742182076756	-1.74303871179632	0.327507323366363	-5.32213659798529	1.02555514492073e-07	8.08957898313472e-06
Tpr_TRINITY_DN11904_c1_g6|Tdu_TRINITY_DN23467_c8_g1	144.493904712481	-1.05293676153681	0.342288857580288	-3.07616429287309	0.00209682273673703	0.020409350626088
Tpr_TRINITY_DN12060_c2_g5|Tdu_TRINITY_DN17839_c6_g2	187.628380309187	-0.885029939715653	0.245402610278559	-3.60644061084374	0.000310425864625318	0.004960776377967
Tpr_TRINITY_DN10265_c13_g1|Tdu_TRINITY_DN19455_c6_g1	236.328750470358	-1.04404675586173	0.198103131703153	-5.27021832964348	1.36261579931226e-07	1.05790486466291e-05
Tpr_TRINITY_DN13152_c2_g2|Tdu_TRINITY_DN19342_c6_g1	119.957389647471	-0.996086322228483	0.267111565159201	-3.72910218857355	0.000192163217277991	0.00342627363898913
Tpr_TRINITY_DN11723_c0_g1|Tdu_TRINITY_DN20632_c0_g2	37.7454365799314	-0.987053731165164	0.324685061047999	-3.04003432735467	0.00236551185522498	0.0220151564983443
Tpr_TRINITY_DN7906_c0_g1|Tdu_TRINITY_DN16252_c0_g1	23.8293363756829	-1.62151796112818	0.520979822096018	-3.11243908565297	0.00185548301048975	0.0189932302718736
Tpr_TRINITY_DN13604_c0_g1|Tdu_TRINITY_DN20967_c0_g4	791.688841749792	-1.5007293830064	0.279034645012044	-5.37829050920049	7.51964116552733e-08	6.12757536298342e-06
Tpr_TRINITY_DN15925_c0_g1|Tdu_TRINITY_DN24795_c1_g1	105.776871110777	-0.719275905200424	0.246114973294387	-2.92251989211592	0.00347211441585053	0.0293359452787371
Tpr_TRINITY_DN12905_c3_g4|Tdu_TRINITY_DN25040_c9_g3	1328.34716312054	-0.677181897647966	0.210204584938528	-3.22153723643088	0.00127504892718015	0.0143043744216976
Tpr_TRINITY_DN15403_c4_g2|Tdu_TRINITY_DN16791_c0_g3	68.9847622786939	-1.22426523782789	0.436929877218682	-2.80197189906322	0.00507912975881617	0.0381911576098655
Tpr_TRINITY_DN12056_c1_g1|Tdu_TRINITY_DN23604_c3_g1	183.467189429814	-1.75300712147946	0.246436004906381	-7.1134375114765	1.13187745632655e-12	2.65721707604281e-10
Tpr_TRINITY_DN8416_c0_g1|Tdu_TRINITY_DN18640_c0_g1	288.403753237971	-0.663451670286654	0.194111776273612	-3.41788470036707	0.00063109835900405	0.00850086040953543
Tpr_TRINITY_DN38007_c0_g1|Tdu_TRINITY_DN18224_c0_g2	3.35102475112051	-2.1302795164176	0.615883048463008	-3.45890266298756	0.000542380876514587	0.00761763443233387
Tpr_TRINITY_DN14140_c1_g7|Tdu_TRINITY_DN22246_c5_g4	19.8462463607412	-1.31292415408261	0.479908080853046	-2.73578255183548	0.00622321340488083	0.0444157393514847
Tpr_TRINITY_DN9246_c0_g1|Tdu_TRINITY_DN16565_c1_g1	11.862378885623	-2.12136471262312	0.615337044307212	-3.44748415888319	0.000565833587932617	0.00785791433382479
Tpr_TRINITY_DN12831_c0_g1|Tdu_TRINITY_DN17006_c5_g1	1298.71669010218	-0.544452560523607	0.176902693634339	-3.07769514040867	0.002086082060629	0.020376577166121
Tpr_TRINITY_DN10834_c2_g2|Tdu_TRINITY_DN23821_c3_g2	16.2286299369293	-1.30705061311831	0.481324967311423	-2.71552631150471	0.00661705181875226	0.046141535313223
