baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	198.144582139687	-0.537055092480181	0.18580474966024	-2.89042714711131	0.00384718691145251	0.0258198049263007
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	103.88369859838	-0.61175485836827	0.173466154512366	-3.52665256278947	0.000420848624369048	0.00426193362307884
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	53.6875903823621	-0.670813367843109	0.251836506787102	-2.66368596198089	0.00772896788539779	0.0441860537898604
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	39.5441521309575	-2.67596884846087	0.480604631507069	-5.56792147439284	2.57795946024372e-08	8.37013075123322e-07
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1	5.06726087095007	-1.9073863008375	0.602229876617343	-3.16720636902154	0.00153911053696903	0.0123923148320655
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	42.507986677491	-1.20097887824159	0.294397188647374	-4.07945090698577	4.51422015333918e-05	0.000654045490588106
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	42.9150501401604	-2.5009078160045	0.411571362459522	-6.07648647140862	1.22844362822345e-09	5.00916502190359e-08
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	59.7062981980107	-0.979476557148936	0.27771024748269	-3.52697304484592	0.000420339554137053	0.0042612433155199
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	188.478440686678	-0.670857297183737	0.203450060946194	-3.2974052406952	0.000975825960022665	0.00852896010583791
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	177.176486974897	-0.833653183314153	0.158306233801272	-5.26607931536461	1.39368090077437e-07	3.87673769944084e-06
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1	8.39661249668524	-1.4533028808784	0.415561382133667	-3.49720388698424	0.000470162348614193	0.00468060631197709
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	414.866729968877	-0.506574272917585	0.179181998833903	-2.82714935771627	0.00469644174711651	0.0301834002434085
