baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	103.88369859838	-0.984886163844527	0.2496087500985	-3.94571970516207	7.95606413491163e-05	0.00233159023624635
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	439.879994237293	-0.921553333373047	0.228271583515837	-4.03709177979707	5.41179009446413e-05	0.0017295637590174
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	71.441804932957	-1.61345996620164	0.418261993865707	-3.85753424854488	0.000114536634427022	0.00313703115402898
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	73.1864848641924	-1.45838174745182	0.441681691549909	-3.30188408383919	0.00096037749683348	0.0148189704519219
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	40.6125711885712	-1.27265106928744	0.393037260640377	-3.23799088975409	0.00120374653362957	0.0174800306650774
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	43.8671280554481	-0.99767049954511	0.358559630408387	-2.78243955798593	0.00539519136575873	0.0488939217521885
Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1	3.62653018358304	-2.10768990004496	0.620100591086851	-3.39894838085998	0.000676454820156124	0.0115630150276666
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	509.824921555419	-0.741793834930175	0.244602275771197	-3.03265303886238	0.00242414143363322	0.0284209685322515
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	98.0265406020256	-0.973110571632523	0.318910542792476	-3.05135905232758	0.00227807976549888	0.0271606608075199
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	23.9023608195837	-1.45659205582444	0.41930050082517	-3.47386195093474	0.000513024908601073	0.00949047954747952
Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3	798.285844464465	-0.624410066592676	0.203228174071244	-3.07245818374465	0.00212303576481163	0.0257797200012841
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1	1094.13142319143	-0.870510389734948	0.301325863453191	-2.88893352783896	0.00386550777691677	0.0390511338938517
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	136.183716665292	-1.30663718115338	0.276462819031595	-4.72626729963298	2.28684579947123e-06	0.000141813204923185
Tpr_TRINITY_DN13559_c0_g1|Tdu_TRINITY_DN14654_c0_g1	319.171070354162	-0.906369450231228	0.319095789270602	-2.84043061897818	0.00450526720168189	0.0433384727888619
