baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	16.5323049970822	1.90510209750303	0.421608774553478	4.46816563290492	7.88932102735662e-06	0.00616299414437049
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5	114.182419567549	2.10115352183151	0.428333810151278	4.85228116446361	1.22049424378085e-06	0.00218263025324507
Tpr_TRINITY_DN12563_c2_g5|Tdu_TRINITY_DN14402_c0_g1	16.0385895390701	1.76674953490647	0.41563228365108	4.31689163926489	1.58241792295909e-05	0.00971265515141964
Tpr_TRINITY_DN12330_c1_g6|Tdu_TRINITY_DN22079_c1_g1	53.945656306292	1.99449780311929	0.428538471519381	4.59281694980369	4.37302620502572e-06	0.00423511075333087
Tpr_TRINITY_DN11715_c3_g3|Tdu_TRINITY_DN17458_c2_g1	34.0207551560748	2.01669044598291	0.428131064016163	4.84439121079317	1.27000480230715e-06	0.00218263025324507
Tpr_TRINITY_DN14330_c1_g6|Tdu_TRINITY_DN18647_c0_g2	23.4433285092118	1.69951031912065	0.431664026842844	3.91427731158787	9.06753774764441e-05	0.0299682122559648
Tpr_TRINITY_DN10274_c0_g15|Tdu_TRINITY_DN17180_c3_g1	8.69526607135435	1.46537858400024	0.407239631293569	3.67979747638616	0.00023341925677051	0.0489212603275364
Tpr_TRINITY_DN10825_c1_g4|Tdu_TRINITY_DN14723_c0_g1	44.7672861795379	2.29514221611529	0.431597340047749	5.22403904841148	1.75061837234371e-07	0.000752153183677473
Tpr_TRINITY_DN11165_c1_g6|Tdu_TRINITY_DN22103_c1_g1	39.2291381911106	1.94710834188423	0.431278328278894	4.58505862922303	4.53859062826468e-06	0.00423511075333087
Tpr_TRINITY_DN11650_c4_g7|Tdu_TRINITY_DN21988_c4_g2	149.8010198647	1.57457567297239	0.37854909527201	4.13070328231556	3.61655130714078e-05	0.0182806031660357
Tpr_TRINITY_DN14962_c1_g1|Tdu_TRINITY_DN21180_c0_g2	22.8556457691986	1.8869760733218	0.431091761082203	4.34075680426889	1.41992810896719e-05	0.00938572480027311
Tpr_TRINITY_DN14326_c3_g1|Tdu_TRINITY_DN20239_c7_g1	14.256482581669	1.74935624931947	0.428531347795666	3.98368942216545	6.78535394003529e-05	0.0277650220984396
Tpr_TRINITY_DN11579_c1_g6|Tdu_TRINITY_DN16108_c0_g1	18.2322951078606	1.64767827119802	0.426684846316173	3.83774318632728	0.000124170242101764	0.0356504911746446
