logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	7.17543699578544	7.01566794841511	32.5251681073549	4.57453317501798e-10	3.19058625905003e-09	13.448855824659
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.0544095263499	8.10613781253843	41.9708697279613	5.54568620848036e-11	1.0528766971358e-09	15.1689769514167
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.15206393685139	5.15901005411827	12.2794333173359	1.27642606812053e-06	1.74516723990898e-06	6.12059873636162
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.72257270672332	6.57655149018947	26.3890415533605	2.56658367620466e-09	1.0113544377214e-08	11.9711661862114
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.65163857618759	9.60628299922982	52.3806306241629	8.8294443831842e-12	7.47557340178538e-10	16.4128814543774
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	5.87931639266552	6.40572202301479	11.4519724586524	2.21510463030544e-06	2.89790579152844e-06	5.54828673811249
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	5.23972826883332	5.14214674269412	16.7042439872526	1.08020173718026e-07	1.95532704673913e-07	8.46314636927465
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.09708555341136	6.42337507619624	22.4396766469678	9.72569573013121e-09	2.74617265817159e-08	10.7381262086944
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.82980195207014	5.39288537964168	16.829372432391	1.01679402089712e-07	1.8566604880254e-07	8.58897537447777
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.4089713212827	4.78966648151882	5.58253953560218	0.000452616162316645	0.000474464696419641	0.289673550884706
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	5.65373437429436	6.42553572162796	11.918280858988	1.61674205358636e-06	2.16825487958085e-06	5.87800369098318
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	5.45624080053765	4.79226724775811	15.3005335525461	2.1963118805868e-07	3.60158685824556e-07	7.8323822282083
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.27705039291871	8.39131765950367	26.1326856062713	2.78136120630222e-09	1.07687798336246e-08	12.0777059013262
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.81510415006887	6.06304376003528	16.9035774261519	9.81161109557888e-08	1.80163058900947e-07	8.62010764298773
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.46960042376418	4.77532454031671	12.6617669904536	1.00061902092993e-06	1.40048396717649e-06	6.22164903003207
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.51946978887682	5.85337471874006	20.28197237147	2.22523277392864e-08	5.23709484298282e-08	9.91448128145239
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.96495410564737	7.02632973033752	37.3255149437018	1.46511282992065e-10	1.56258772663798e-09	14.211892042379
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	5.51351428547792	5.52451819172586	18.318522835149	5.10598095553025e-08	1.04054389869361e-07	9.18315519616462
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.26818656853788	4.79116151213768	5.93480055655767	0.000298423359787763	0.000315664783155956	0.75493510978674
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.47991313817875	4.70317450146015	9.83802913588427	7.2471658755719e-06	8.78228374012074e-06	4.40439129151175
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.46959617878397	4.58561074920928	9.45212798240371	9.86387045850452e-06	1.17438402345806e-05	4.10457339718269
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.19647805499515	4.42571377917744	8.26184558871061	2.74171237353978e-05	3.10989421312372e-05	3.10259254752043
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.62665734508172	5.13598675744242	9.78448660175372	7.55914469025158e-06	9.1293249206477e-06	4.36869717869809
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.46903859772099	4.5400290901083	10.5458160286761	4.22614803852065e-06	5.28960056312294e-06	4.91349320502869
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.36961455107	5.64243720610107	18.5478762697861	4.61402896210737e-08	9.5412962977312e-08	9.24740911849274
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.76964859947919	5.6307613870124	21.896538376382	1.18889722535762e-08	3.20202210460167e-08	10.5056390331062
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	5.45797489483983	5.1936728303124	21.1621060071532	1.57211082835611e-08	3.97590409346195e-08	10.1929751716771
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.17095016909488	5.587220905668	10.3426832487877	4.91739225812919e-06	6.0982396514072e-06	4.77529141023165
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	5.30071385761254	5.58434480729948	13.1657287897407	7.33277744598668e-07	1.05936705011904e-06	6.66545254144299
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.67815096729439	7.91351887065611	39.7596195212118	8.68349137419987e-11	1.24795729895599e-09	14.7826465225194
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	5.376093886288	4.93918486558059	16.9315638065979	9.680862034929e-08	1.78428525430927e-07	8.58358347281108
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	5.65485531632584	5.61908314819677	14.8569625484509	2.78373250893337e-07	4.43901195077539e-07	7.61764852730257
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	4.31552953550418	4.9111584337653	5.94807265933376	0.000293869886924136	0.000311039406762877	0.75963826822951
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.00362309183954	6.04725252241055	15.0206586976179	2.54864814998569e-07	4.11272711310396e-07	7.7129604603012
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	4.86728138363587	5.13882966321928	15.3983340424816	2.08629386222956e-07	3.44992720336015e-07	7.78448712997661
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	7.03383764528589	6.7970254469654	24.3815965903473	4.92053102255465e-09	1.63400557449427e-08	11.4675347791451
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.28534879727268	5.10351925847768	17.1946451450028	8.54255154872713e-08	1.60630769902861e-07	8.68459119888403
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.50215835030288	6.9100310359942	22.0287887359406	1.13165562275967e-08	3.08527418102082e-08	10.6588212455195
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.23795242857808	8.28663698141628	47.7208475104968	1.91273456838455e-11	7.74544986397603e-10	15.8875977807367
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	4.73699142357362	5.00074099051887	9.83835469300173	7.24531323177943e-06	8.78228374012074e-06	4.41026522979536
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.53464279314329	4.76102854274582	13.719558040749	5.27561265268726e-07	7.83883390915155e-07	6.81525319738411
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.14914818079407	6.37037730574766	20.9180339111732	1.72866544299132e-08	4.29452649207948e-08	10.2423572086534
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.92439436036478	7.9119567404172	34.2999671634335	2.94854068662875e-10	2.42216635880099e-09	13.9323883149104
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	4.84498784163834	5.07924951619393	14.1968272946552	4.01104950774978e-07	6.1359390458783e-07	7.18806387516568
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	7.89925059599003	8.00250770237761	41.8187928718862	5.7150351208172e-11	1.06618703988362e-09	15.1185406217359
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.39654277716659	4.59298942202921	9.94560951265372	6.66264942949968e-06	8.11494668660223e-06	4.46862042851901
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.32845877872495	6.54251365208412	24.6767087498744	4.45722277110309e-09	1.52730321335359e-08	11.435824988406
