Tms_1	Tms_2	Tms_3	Tml_1	Tml_2	Tml_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.93247297772973	7.2576391798581	6.37986598383231	7.27037598849513	6.95672197847743	7.29693158209799
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.97169428752745	8.49567920622502	8.0022060943675	8.19265369307061	8.18964506730605	7.78494852673394
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	4.46735024701458	6.15495351588353	4.81744605176224	5.83842510627994	5.44390926351211	4.23197614025722
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	5.96615610398602	6.66715967416938	6.64856913975279	7.27037598849513	6.35314379958893	6.55390423514458
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.44562547585986	9.88777428253792	9.34973401249115	9.88364385843643	9.48510095083222	9.58581941522134
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	7.34466772723975	6.56406618120527	6.93807575694778	4.01739524732525	6.71571387897364	6.85441334639704
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	4.98818241031602	5.71606927465032	4.4355754164186	4.86539215388021	5.5782103552237	5.26945084567588
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.51364389928851	7.14307941559524	6.61034981752231	5.53676940641884	6.1524464493518	6.58396146900076
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	4.80176928608514	5.4336695439496	4.60063466268909	5.83842510627994	6.74456874164582	4.93824493720051
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.89798460134444	5.17841248870752	5.54092841656483	1.69546715243789	6.68627010108116	4.7389361289771
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	7.60912420814274	7.81667321558873	6.21136025947533	4.63406660777375	5.75878260086552	6.52320743792167
