baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	750.334395177448	-0.42079510101362	0.144512499515801	-2.91182494540972	0.00359323948201135	0.0232295341161015
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	44.6715874133424	-1.1015259945	0.391076533689481	-2.81665070544638	0.0048527270035163	0.0290750504972313
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	38.1141359756989	-1.36479544560363	0.491075455086609	-2.77919702861738	0.00544934609904615	0.0316092015206759
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	26.4787078400153	-1.7405498570359	0.428154987214751	-4.06523317259153	4.79844641243772e-05	0.000785326278280038
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	9.73847938015173	-2.18741513703856	0.612590137578464	-3.57076453382892	0.000355940770391502	0.00393885399687955
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	64.3501251497812	-2.78724196733181	0.384381019278928	-7.25124766191755	4.12949793679636e-13	7.38900164724731e-11
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1	17.1673502549186	-1.94546497629569	0.5011445778485	-3.88204335093859	0.000103582405605137	0.00143884138943872
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	387.25237381925	-0.644125575693251	0.226052170873384	-2.84945538547399	0.00437941473932617	0.026817564618948
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	228.157445189256	-0.378898146782349	0.132253558891565	-2.86493724598373	0.00417091889232525	0.0259247756041187
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1	84.3250530545494	-0.686551027896957	0.206054924537169	-3.33188362005449	0.000862603211458822	0.00773377432665959
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	323.588493847289	-0.651468104476458	0.183444319758669	-3.55131249271441	0.000383315010718782	0.00414297628950115
Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1	186.485445388981	-0.40156195149702	0.155196447075731	-2.58744294127475	0.00966912081761936	0.0484235808688841
Tpr_TRINITY_DN13277_c0_g2|Tdu_TRINITY_DN14770_c0_g1	24.2184316792269	-1.41691649175895	0.402690953800974	-3.51862011893926	0.000433797384281368	0.00454090198296195
Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3	784.747295766255	-0.437142224908054	0.153639772029801	-2.84524130134262	0.00443777908422977	0.02708071317469
Tpr_TRINITY_DN13767_c0_g1|Tdu_TRINITY_DN21451_c4_g5	291.142845277209	-1.10491644884803	0.236793729595637	-4.66615585951051	3.06886953361221e-06	7.82561731071114e-05
Tpr_TRINITY_DN11161_c2_g1|Tdu_TRINITY_DN19799_c7_g5	321.772212876588	-0.847847442372823	0.157071566504992	-5.39784164147797	6.74473574738383e-08	3.13674780991767e-06
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	131.383011197651	-0.898324647111629	0.199364689581697	-4.50593657781865	6.60808238742416e-06	0.000146866370029551
Tpr_TRINITY_DN14305_c2_g3|Tdu_TRINITY_DN23093_c0_g1	95.0890160432027	-0.558536412874075	0.188014247140709	-2.97071323779027	0.00297109063501715	0.0201450249414747
Tpr_TRINITY_DN11273_c5_g1|Tdu_TRINITY_DN14692_c0_g1	40.5169513397887	-1.50078151072827	0.493333194031146	-3.04212554291151	0.00234913895821499	0.0168439986852432
Tpr_TRINITY_DN190_c0_g1|Tdu_TRINITY_DN43875_c0_g1	11.891496619489	-1.36251582120391	0.514841670255471	-2.64647541161112	0.00813354179886889	0.0425710464901631
Tpr_TRINITY_DN12563_c2_g5|Tdu_TRINITY_DN14402_c0_g1	23.1523168923139	-2.63979137469852	0.548846285456087	-4.8097098306949	1.51149553277041e-06	4.3010399836812e-05
Tpr_TRINITY_DN13912_c1_g1|Tdu_TRINITY_DN19491_c1_g1	74.6347011655455	-1.09929037623079	0.246920357128564	-4.45200383238722	8.50726473340517e-06	0.000177492477846953
Tpr_TRINITY_DN14182_c0_g1|Tdu_TRINITY_DN22760_c0_g4	66.2182177411726	-0.851675866913396	0.240310737562595	-3.54406080873334	0.000394014358043692	0.00423946135338263
Tpr_TRINITY_DN12330_c1_g6|Tdu_TRINITY_DN22079_c1_g1	66.5820728356887	-2.28575585185445	0.365188669639703	-6.25910944638449	3.87182083487778e-10	3.14421635029267e-08
