baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	202.290779410504	-0.538667970107899	0.17974516563148	-2.99684260333486	0.00272791518804648	0.0198789372174585
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	100.236818818284	-0.612050001004056	0.179749675736397	-3.40501310223016	0.000661608793736398	0.00625856909607515
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	57.3678024204461	-2.7126891785131	0.473074196374526	-5.73417277734063	9.79894043539754e-09	3.56092848627598e-07
Tpr_TRINITY_DN7892_c0_g1|Tdu_TRINITY_DN10927_c0_g1	5.56779695160442	-1.99428617578104	0.587454969931637	-3.39478986110733	0.000686812940534835	0.00644425923354177
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	39.2696036728052	-1.19319369716544	0.300651703114593	-3.96869096301331	7.22685312400405e-05	0.000978780808713512
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	37.4968572911804	-2.47676625011745	0.422214679777318	-5.86613011992792	4.46083775359352e-09	1.74178313846873e-07
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	54.9644778003499	-0.974197953421313	0.28254209655243	-3.44797453302869	0.000564807289476909	0.00545534479335986
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	185.441584632332	-0.675739760497546	0.166326187622654	-4.06273822634957	4.85004093095363e-05	0.000698088897918044
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	184.681966898014	-0.834588115051411	0.158151312600672	-5.27714946735044	1.31208863964533e-07	3.81003402180742e-06
Tpr_TRINITY_DN12870_c3_g1|Tdu_TRINITY_DN17260_c2_g1	3.24230649996807	-1.81297142099567	0.599072730150734	-3.0262960234219	0.00247569795589518	0.0182952417398402
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1	9.84909665034355	-1.47920273034159	0.392279430563906	-3.77078841022896	0.000162732609363095	0.0019540335460164
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	419.440589901448	-0.508955385895386	0.166830185874543	-3.05073918863894	0.00228278774111153	0.0171458225220866
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1	39.4080735478645	-0.908726660964416	0.259840245806031	-3.49725139054392	0.00047007862944302	0.00468419528397927
Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1	3.59513994719425	-1.86096658315092	0.563614123734543	-3.3018451894357	0.00096051067119504	0.00861954604770056
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	532.06805256144	-1.23640185561204	0.187230492875697	-6.60363510570309	4.01196321229969e-11	2.27709932632123e-09
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1	44.7147347808523	-1.01408890778345	0.25823563694196	-3.92699055712195	8.60153567837773e-05	0.00112886185166409
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1	15.2995671530381	-1.25269782285349	0.426562261083274	-2.93672914165499	0.00331693671167733	0.0232273549718961
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	22.8463693966205	-1.48702605250472	0.346188600135958	-4.29542177853551	1.74361510431153e-05	0.000295823511765398
Tpr_TRINITY_DN13550_c0_g1|Tdu_TRINITY_DN10834_c0_g2	16.5815638817134	-2.49879748594892	0.384907241834059	-6.49194718717764	8.47339652174556e-11	4.4684442576773e-09
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6	47.8609800581565	-1.10914273944807	0.269517655848741	-4.11528786845248	3.86696496237911e-05	0.000577736108558431
Tpr_TRINITY_DN12901_c5_g2|Tdu_TRINITY_DN16338_c0_g1	10.558311493769	-1.53939011006982	0.48469833744174	-3.17597563506159	0.00149333493122752	0.0123077177602891
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1	1120.09767545353	-0.696598320944933	0.145081347522361	-4.80143266409605	1.57534482376497e-06	3.61377538634918e-05
Tpr_TRINITY_DN12549_c2_g5|Tdu_TRINITY_DN18027_c1_g4	27.191067222644	-1.29270610374686	0.339506595796256	-3.80760232570749	0.000140320683526509	0.00172440964989999
Tpr_TRINITY_DN13468_c1_g1|Tdu_TRINITY_DN3725_c0_g1	17.750331330151	-0.845679429497646	0.304254074248219	-2.77951718999074	0.00544397721074945	0.0342535046100355
Tpr_TRINITY_DN10325_c1_g2|Tdu_TRINITY_DN17573_c2_g3	124.777565249732	-1.69592486422197	0.207585937822468	-8.16974830767372	3.09033502619867e-16	4.00325634982041e-14
Tpr_TRINITY_DN15383_c4_g6|Tdu_TRINITY_DN14116_c0_g1	74.7206513552235	-0.658940198877188	0.236689373588842	-2.78398725251538	0.00536951444423239	0.0338623846193831
Tpr_TRINITY_DN14494_c6_g4|Tdu_TRINITY_DN18357_c3_g1	44.0557742304684	-2.84938388186956	0.32534390924866	-8.75806738921239	1.98626414258735e-18	3.2642917125417e-16
Tpr_TRINITY_DN12963_c5_g1|Tdu_TRINITY_DN23188_c4_g1	73.8151764530825	-5.19253686065329	0.444217780270956	-11.6891693472649	1.4479582064353e-31	9.37851047709356e-29
Tpr_TRINITY_DN12124_c1_g1|Tdu_TRINITY_DN20551_c2_g1	142.326972156932	-3.34927231830144	0.252479293175428	-13.2655326944943	3.66805040958676e-40	5.76984329427997e-37
Tpr_TRINITY_DN11295_c2_g1|Tdu_TRINITY_DN21433_c2_g1	52.462788948764	-0.896103883596338	0.265632486741158	-3.37347247917584	0.000742264660387191	0.00689711069664418
Tpr_TRINITY_DN13562_c2_g1|Tdu_TRINITY_DN20797_c0_g1	6.04792806858381	-1.99303647817986	0.56300771299035	-3.53998077147839	0.000400156186029618	0.00411786893866553
Tpr_TRINITY_DN10265_c13_g1|Tdu_TRINITY_DN19455_c6_g1	228.049796194283	-0.382289173715457	0.144589470319337	-2.6439627510298	0.00819416730478168	0.0473130446738076
Tpr_TRINITY_DN15377_c1_g7|Tdu_TRINITY_DN20722_c1_g1	192.039553297108	-2.059171856726	0.217789133995867	-9.4548879411269	3.23368148111547e-21	7.41793058095051e-19
