baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	100.236818818284	-1.06971308536496	0.223572412184848	-4.78463811751749	1.71295673992506e-06	6.36047884219543e-05
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	750.334395177448	-0.537567192943777	0.165612170002019	-3.24594015607201	0.00117063444676271	0.0112255887676459
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	39.2696036728052	-1.46748737475761	0.363132838774121	-4.04118608416584	5.31815362086565e-05	0.00102600383336663
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	37.4968572911804	-2.08602662150736	0.478889816683514	-4.35596362427135	1.32482778361018e-05	0.000336383650866781
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	69.5752217044998	-1.49324832826985	0.349063813241207	-4.27786631448389	1.88693280877391e-05	0.000451264778505082
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	64.3501251497812	-3.07616595728767	0.413934869201532	-7.43152168654336	1.07355396187179e-13	3.02956928040219e-11
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	287.554584144353	-0.451616567508127	0.161218406335518	-2.80127175161532	0.00509016349288904	0.0339699627157196
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1	17.1673502549186	-1.62645770834712	0.540115772750585	-3.01131311175056	0.00260120471735529	0.0202865779098327
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	43.6483690171923	-0.797526315788014	0.292522429836447	-2.72637662771338	0.00640338858291123	0.0398025607510473
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	387.25237381925	-0.790224659125802	0.257566344915183	-3.06804314587772	0.00215465506212573	0.0177968798960537
Tpr_TRINITY_DN11993_c0_g3|Tdu_TRINITY_DN21939_c1_g1	3.59513994719425	-2.01610926742774	0.621321081170083	-3.24487503889448	0.00117502174656656	0.0112567311259339
Tpr_TRINITY_DN15115_c0_g2|Tdu_TRINITY_DN22684_c1_g2	97.7918356713899	-0.752524155691521	0.269852881264885	-2.78864599171298	0.00529288857512543	0.0348827363957273
Tpr_TRINITY_DN15427_c0_g1|Tdu_TRINITY_DN20342_c1_g1	186.485445388981	-0.514277787091044	0.176152729560124	-2.91949939336882	0.00350594076599973	0.0254431865876409
Tpr_TRINITY_DN15652_c2_g2|Tdu_TRINITY_DN19326_c5_g5	22.8463693966205	-1.51232427259366	0.414546499503601	-3.64814146158415	0.000264144195640531	0.00362858445110087
Tpr_TRINITY_DN15533_c2_g1|Tdu_TRINITY_DN18838_c2_g6	47.8609800581565	-1.26940873503301	0.325459202484463	-3.90036208944994	9.60489274671688e-05	0.00167314860069352
Tpr_TRINITY_DN11038_c4_g8|Tdu_TRINITY_DN22686_c1_g3	784.747295766255	-0.597845557045572	0.17601117993906	-3.39663399366201	0.000682201479756165	0.00754129519193756
Tpr_TRINITY_DN10529_c1_g1|Tdu_TRINITY_DN18426_c5_g1	1120.09767545353	-0.617836427569644	0.168028516520928	-3.67697364924775	0.000236017410324963	0.00330190362858309
Tpr_TRINITY_DN15525_c1_g1|Tdu_TRINITY_DN21784_c0_g1	212.698755713249	-0.569669418944274	0.213699259526155	-2.66575289127078	0.00768161327080037	0.045733149051052
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2	131.383011197651	-1.30191087394657	0.222035836193472	-5.86351688207728	4.5316474995673e-09	3.96098073922356e-07
Tpr_TRINITY_DN10325_c1_g2|Tdu_TRINITY_DN17573_c2_g3	124.777565249732	-1.20568289690021	0.243286073635158	-4.95582373000232	7.20244913859372e-07	3.04011068982437e-05
Tpr_TRINITY_DN14494_c6_g4|Tdu_TRINITY_DN18357_c3_g1	44.0557742304684	-1.0072087932986	0.356937123839092	-2.82181013413628	0.00477534398115484	0.0323276713515191
Tpr_TRINITY_DN190_c0_g1|Tdu_TRINITY_DN43875_c0_g1	11.891496619489	-2.05290668390428	0.544691828108841	-3.76893240905033	0.000163947271957274	0.00249893087210184
Tpr_TRINITY_DN12563_c2_g5|Tdu_TRINITY_DN14402_c0_g1	23.1523168923139	-3.77830528497927	0.573390955655972	-6.58940509561544	4.41592397174074e-11	6.81501266701302e-09
Tpr_TRINITY_DN13912_c1_g1|Tdu_TRINITY_DN19491_c1_g1	74.6347011655455	-0.791218389545213	0.278722096409106	-2.83873578642961	0.00452926428593988	0.0311745946705423
Tpr_TRINITY_DN11161_c4_g4|Tdu_TRINITY_DN17730_c5_g1	27.0732117782978	-0.922831875438764	0.345571977358149	-2.67044765172712	0.00757501821747906	0.0452896216307752
Tpr_TRINITY_DN12330_c1_g6|Tdu_TRINITY_DN22079_c1_g1	66.5820728356887	-1.72992866655643	0.404138168826317	-4.28053769724455	1.86442301299133e-05	0.000446963740274644
Tpr_TRINITY_DN15867_c1_g5|Tdu_TRINITY_DN20151_c3_g1	229.067289891742	-1.07348169132943	0.279307047460089	-3.84337488470579	0.000121353879185331	0.00197790802758006
Tpr_TRINITY_DN12124_c1_g1|Tdu_TRINITY_DN20551_c2_g1	142.326972156932	-1.11910831841148	0.279066721532323	-4.01018191014172	6.06719862673495e-05	0.0011349568340201
Tpr_TRINITY_DN12060_c2_g5|Tdu_TRINITY_DN17839_c6_g2	178.04431620274	-0.908765888850974	0.251064759709654	-3.61964733681431	0.000295004800263475	0.00393751677324641
Tpr_TRINITY_DN10265_c13_g1|Tdu_TRINITY_DN19455_c6_g1	228.049796194283	-1.36208043878479	0.181247913129349	-7.51501308493812	5.69052423873929e-14	1.65309729135376e-11
Tpr_TRINITY_DN10790_c1_g3|Tdu_TRINITY_DN21835_c0_g1	42.7065180687469	-2.48233599725252	0.532748482917142	-4.65948956562039	3.16994463857883e-06	0.000109092485000847
Tpr_TRINITY_DN13604_c0_g1|Tdu_TRINITY_DN20967_c0_g4	764.552253637474	-0.916477015980862	0.303669922368137	-3.01800391963029	0.00254445613610505	0.0199774191226626
Tpr_TRINITY_DN15377_c1_g7|Tdu_TRINITY_DN20722_c1_g1	192.039553297108	-1.399357525849	0.252196641946533	-5.54867628311112	2.87840565927166e-08	1.98811277598785e-06
Tpr_TRINITY_DN15925_c0_g1|Tdu_TRINITY_DN24795_c1_g1	105.433394034658	-0.726259073848316	0.253928663206796	-2.86009095891967	0.00423519515070238	0.0294792265704633
Tpr_TRINITY_DN12905_c3_g4|Tdu_TRINITY_DN25040_c9_g3	1299.74005309252	-1.33184603993926	0.23754471967331	-5.60671709213708	2.06200294323837e-08	1.5086224496567e-06
Tpr_TRINITY_DN13589_c3_g1|Tdu_TRINITY_DN25319_c1_g1	57.623344866054	-1.13406397276539	0.282034487175914	-4.02101170009764	5.79487263710192e-05	0.00109437776360718
Tpr_TRINITY_DN11715_c3_g3|Tdu_TRINITY_DN17458_c2_g1	59.9431668262936	-3.18828856021377	0.543662126088051	-5.86446693124509	4.50577880175601e-09	3.96098073922356e-07
Tpr_TRINITY_DN12831_c0_g1|Tdu_TRINITY_DN17006_c5_g1	1282.64435069919	-0.755811299961372	0.168217653707913	-4.49305577209951	7.02083879525316e-06	0.000203357257421453
Tpr_TRINITY_DN14091_c2_g1|Tdu_TRINITY_DN21890_c1_g1	1259.67665773077	-0.713467503546047	0.180169623130271	-3.9599766661563	7.49570870769399e-05	0.00136093961224069
Tpr_TRINITY_DN11475_c5_g5|Tdu_TRINITY_DN51102_c0_g1	14.8629951067492	-1.53980489655143	0.457855100297761	-3.36308341995105	0.000770770687211426	0.00830196518820856
Tpr_TRINITY_DN12036_c3_g1|Tdu_TRINITY_DN20543_c0_g1	58.2757228363466	-0.93667351017368	0.319879331178486	-2.92820891779043	0.00340920884880134	0.0249243196148119
Tpr_TRINITY_DN1078_c0_g1|Tdu_TRINITY_DN9793_c0_g1	123.57962608638	-1.49185389520578	0.307553646650627	-4.85071112455542	1.23019607970618e-06	4.7837191650622e-05
Tpr_TRINITY_DN14404_c2_g2|Tdu_TRINITY_DN19771_c3_g1	155.417541303006	-0.789887879297208	0.213714532861883	-3.69599516102018	0.000219027143772539	0.00313968797502163
Tpr_TRINITY_DN15625_c1_g1|Tdu_TRINITY_DN23043_c3_g5	98.3677987305439	-0.86305000264007	0.288483930572892	-2.99167444414032	0.00277451969758737	0.0213592603687221
Tpr_TRINITY_DN10982_c0_g3|Tdu_TRINITY_DN21045_c2_g1	66.9461732112432	-1.6458064301564	0.274893262295567	-5.98707446087499	2.136489896115e-09	2.06883438273802e-07
Tpr_TRINITY_DN13333_c1_g3|Tdu_TRINITY_DN21036_c1_g3	7.097816722124	-1.66830329287155	0.575715717906583	-2.89779007413213	0.00375802037574325	0.0267810626892215
Tpr_TRINITY_DN14330_c1_g6|Tdu_TRINITY_DN18647_c0_g2	36.2631498703139	-2.90825291454453	0.498107848803001	-5.8386008603023	5.26410116303127e-09	4.44389121258631e-07
Tpr_TRINITY_DN12454_c4_g6|Tdu_TRINITY_DN17806_c5_g4	34.5042389616624	-1.78863583440018	0.398015689381061	-4.49388273407417	6.99361503248544e-06	0.000203357257421453
Tpr_TRINITY_DN13503_c2_g4|Tdu_TRINITY_DN14437_c1_g1	57.4984946779562	-1.22607899422085	0.416973857341766	-2.94042173779713	0.00327765790005867	0.0241855701924621
Tpr_TRINITY_DN11521_c3_g1|Tdu_TRINITY_DN17771_c1_g1	259.528525811646	-1.18871741548203	0.237578039707188	-5.00348187461732	5.63039622664136e-07	2.49378580854425e-05
Tpr_TRINITY_DN12525_c1_g1|Tdu_TRINITY_DN23691_c2_g2	253.923084457935	-0.807748035180076	0.245495375631083	-3.29027800667788	0.00100088442454082	0.0100159427165042
Tpr_TRINITY_DN12220_c0_g1|Tdu_TRINITY_DN22564_c1_g3	289.287480711582	-1.26978678334104	0.340372292825678	-3.73058210114463	0.000191037875373863	0.00283315479739886
Tpr_TRINITY_DN8881_c0_g1|Tdu_TRINITY_DN17879_c2_g1	94.460484855671	-0.676118306748059	0.214513550902569	-3.1518675808744	0.00162229826426635	0.0143322360967431
Tpr_TRINITY_DN15010_c1_g3|Tdu_TRINITY_DN15197_c0_g1	48.8867930779846	-0.927645561599624	0.288198539890127	-3.21877259320357	0.00128740539538708	0.0120072739284591
Tpr_TRINITY_DN10486_c1_g1|Tdu_TRINITY_DN18606_c3_g1	5.86201990120757	-2.06954001695877	0.635589387433385	-3.25609592903354	0.00112955580994393	0.0109271525316515
Tpr_TRINITY_DN1657_c0_g1|Tdu_TRINITY_DN18565_c4_g4	28.5599930831521	-1.29327870870657	0.358935674013722	-3.60309326249117	0.000314452639144615	0.00413693078745697
Tpr_TRINITY_DN13822_c2_g1|Tdu_TRINITY_DN19442_c0_g6	37.3067580777729	-1.44790947808025	0.316824699083971	-4.57006503049341	4.87572895510956e-06	0.000152397388891193
Tpr_TRINITY_DN14208_c2_g2|Tdu_TRINITY_DN25285_c1_g1	74.6139993108039	-0.831061600424266	0.281936790627231	-2.94768766635736	0.00320160357792269	0.0238298707906122
Tpr_TRINITY_DN15206_c0_g1|Tdu_TRINITY_DN21477_c4_g1	338.949914505755	-0.759918798124554	0.20082060702158	-3.78406782747596	0.000154285746755343	0.00236995384246115
Tpr_TRINITY_DN13065_c3_g4|Tdu_TRINITY_DN16155_c0_g2	8.18520715431775	-1.80344500283041	0.562287757769305	-3.20733463944688	0.00133971055822114	0.0124014256640583
Tpr_TRINITY_DN11146_c0_g4|Tdu_TRINITY_DN22380_c2_g1	34.9457986304162	-0.823945270956079	0.311825773390299	-2.64232575132519	0.00823388210606157	0.047843292708998
Tpr_TRINITY_DN12991_c2_g2|Tdu_TRINITY_DN18243_c0_g1	356.621474812179	-0.923239827170493	0.184838090901446	-4.9948569727587	5.88793873330148e-07	2.57391543503731e-05
Tpr_TRINITY_DN7529_c0_g1|Tdu_TRINITY_DN13262_c0_g1	68.2374814803082	-0.893072938804557	0.285782160129595	-3.12501290633247	0.00177797258725605	0.015329371998359
Tpr_TRINITY_DN14311_c3_g1|Tdu_TRINITY_DN19184_c2_g2	373.266090026048	-0.546277779524595	0.184814248048713	-2.95582069722572	0.00311838318181911	0.0233512287239024
Tpr_TRINITY_DN8247_c0_g1|Tdu_TRINITY_DN11775_c0_g1	4.80581274682911	-1.63964508812686	0.61906188198157	-2.6485964260608	0.00808267876954414	0.0471543535814022
Tpr_TRINITY_DN15988_c1_g1|Tdu_TRINITY_DN15160_c0_g1	147.100647998152	-1.39041859897322	0.482747725926456	-2.88021781211878	0.00397400520846115	0.0280767163404655
Tpr_TRINITY_DN13274_c3_g8|Tdu_TRINITY_DN22646_c2_g2	190.367660316659	-0.544131599275244	0.202208224298916	-2.69094692444792	0.00712495292393644	0.0431208088417403
Tpr_TRINITY_DN15651_c4_g1|Tdu_TRINITY_DN14707_c0_g1	3.88153626720072	-1.74886231532695	0.637803357793573	-2.74200863629346	0.00610647360481657	0.0384898786182344
Tpr_TRINITY_DN11319_c2_g1|Tdu_TRINITY_DN17943_c1_g1	721.924594201779	-0.732745404175274	0.216262027128074	-3.38822961157823	0.000703453486635464	0.00772859854004281
Tpr_TRINITY_DN14311_c5_g4|Tdu_TRINITY_DN24419_c1_g7	18.4846510335706	-1.3951829766378	0.437500449995742	-3.18898638081716	0.00142772603903144	0.0129969125230539
Tpr_TRINITY_DN15800_c7_g1|Tdu_TRINITY_DN16846_c0_g1	47.5026129568591	-0.861245932359344	0.317687667029774	-2.71098321320301	0.00670840224229045	0.0412827968517774
Tpr_TRINITY_DN10874_c7_g4|Tdu_TRINITY_DN17349_c0_g1	103.709226971088	-1.22355576330656	0.324391049812961	-3.77185426050456	0.000162038894937453	0.00247748941996474
Tpr_TRINITY_DN11140_c0_g1|Tdu_TRINITY_DN19310_c0_g1	177.113087239947	-0.876277063222295	0.326245160640821	-2.685946548605	0.0072324657943475	0.0436145111269906
Tpr_TRINITY_DN15266_c2_g1|Tdu_TRINITY_DN22627_c4_g1	7.29546966450741	-2.15896943850149	0.594069150162728	-3.63420561042448	0.000278838434407882	0.0037778974165249
Tpr_TRINITY_DN13524_c1_g3|Tdu_TRINITY_DN23852_c8_g2	563.927040825327	-1.31555814356474	0.250865131924104	-5.24408527193308	1.57059554810369e-07	8.41341589179894e-06
Tpr_TRINITY_DN10626_c1_g5|Tdu_TRINITY_DN18624_c6_g1	18.2798921447506	-1.16840304132829	0.405858430426811	-2.87884383749172	0.00399135921391328	0.0281791672307516
Tpr_TRINITY_DN15090_c0_g8|Tdu_TRINITY_DN23103_c0_g3	23.0502404247622	-3.27439408106201	0.583253220258533	-5.61401800681119	1.97681629633091e-08	1.45709063872092e-06
Tpr_TRINITY_DN12712_c2_g1|Tdu_TRINITY_DN15578_c0_g1	15.5308729478557	-1.77144494599146	0.547045570793142	-3.23820361697309	0.00120284928077086	0.0114504694793586
Tpr_TRINITY_DN10734_c0_g1|Tdu_TRINITY_DN23311_c1_g1	345.356181256514	-2.35994336412392	0.310131604730995	-7.60949006203645	2.75179469261424e-14	8.76757296095187e-12
Tpr_TRINITY_DN11849_c5_g5|Tdu_TRINITY_DN24281_c8_g1	5149.75720700383	-0.965186336685829	0.198845775003466	-4.85394440323916	1.21029680356487e-06	4.74369108286121e-05
Tpr_TRINITY_DN15904_c3_g4|Tdu_TRINITY_DN24277_c3_g2	265.864235956627	-2.54644020110849	0.394322321349058	-6.45776326431787	1.06261794039143e-10	1.52108368076031e-08
Tpr_TRINITY_DN10419_c5_g3|Tdu_TRINITY_DN17636_c2_g3	562.858795120591	-1.34983182408477	0.158835616162747	-8.49829437940229	1.92396686184381e-17	1.26686804629542e-14
Tpr_TRINITY_DN12384_c1_g3|Tdu_TRINITY_DN16479_c0_g1	148.998541683285	-0.760145267623869	0.272539383301598	-2.78912081775233	0.00528513447391033	0.0348705899791665
Tpr_TRINITY_DN3044_c0_g1|Tdu_TRINITY_DN2058_c0_g1	38.0214587429716	-2.44546102300183	0.443871157004599	-5.50939385091987	3.60071448854232e-08	2.3868628861297e-06
Tpr_TRINITY_DN10857_c2_g3|Tdu_TRINITY_DN19391_c1_g1	242.3303223478	-0.853869239100126	0.18777567109686	-4.54728365028542	5.43427362614798e-06	0.000168258058324337
Tpr_TRINITY_DN11892_c3_g1|Tdu_TRINITY_DN20048_c1_g4	147.767978996349	-1.26896110242668	0.250410192282684	-5.06752976330203	4.030115029294e-07	1.8514160997366e-05
Tpr_TRINITY_DN11928_c4_g3|Tdu_TRINITY_DN20996_c3_g2	2715.44721132434	-0.722360743203493	0.253490709953339	-2.84965371447522	0.00437668513853955	0.0302720722082319
Tpr_TRINITY_DN12502_c1_g3|Tdu_TRINITY_DN18121_c9_g1	169.373738446601	-0.744831031186226	0.226163472032635	-3.29333037069199	0.000990080637621186	0.00996842656247141
Tpr_TRINITY_DN10478_c3_g1|Tdu_TRINITY_DN18788_c6_g1	974.483946666169	-0.793061906387873	0.25746006578346	-3.0803297745402	0.00206771512915481	0.0172055554313544
Tpr_TRINITY_DN13009_c1_g8|Tdu_TRINITY_DN17212_c2_g1	260.400706588829	-1.53231195704792	0.292232560476183	-5.24346758126838	1.57586508047262e-07	8.41341589179894e-06
Tpr_TRINITY_DN10557_c1_g1|Tdu_TRINITY_DN22572_c2_g1	105.067876228276	-1.42891592357856	0.389293456616116	-3.67053671027309	0.000242041702870385	0.00337661850176665
Tpr_TRINITY_DN12542_c1_g2|Tdu_TRINITY_DN12730_c0_g1	64.3316893262569	-1.77845027492731	0.355187623913095	-5.00707275589774	5.52640418493731e-07	2.46987756265275e-05
Tpr_TRINITY_DN13272_c2_g8|Tdu_TRINITY_DN16971_c1_g4	144.505548275925	-1.08425223899522	0.385640003829915	-2.81156578214698	0.00493010084224364	0.0330805747410601
Tpr_TRINITY_DN12985_c1_g4|Tdu_TRINITY_DN17416_c6_g3	150.580913073003	-0.716586617577443	0.19317185991954	-3.70958077370025	0.000207602718296044	0.00302432455547201
Tpr_TRINITY_DN12403_c2_g4|Tdu_TRINITY_DN17638_c2_g3	167.513852826989	-0.935704794013958	0.259822029887897	-3.60132970409661	0.000316593772461376	0.00415824028005453
Tpr_TRINITY_DN13156_c3_g1|Tdu_TRINITY_DN18799_c12_g1	495.223139281603	-0.79855273584002	0.204964394613599	-3.89605588495241	9.77718381704735e-05	0.00169374654605094
Tpr_TRINITY_DN16087_c4_g6|Tdu_TRINITY_DN25483_c1_g1	15.4360181067552	-1.58714806299448	0.526746692481279	-3.01311443555174	0.00258581390165425	0.0202217608128575
Tpr_TRINITY_DN13698_c1_g1|Tdu_TRINITY_DN21720_c3_g1	64.0648741286826	-0.764847491240455	0.236871494136586	-3.22895540482142	0.0012424326733103	0.0117206375494612
