logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	-0.423259222332618	6.86093282402217	-2.42190164398381	0.0349681430763654	0.280168611250106	-4.11915853081435
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	-0.210834279935268	7.8810736703513	-1.22703884880255	0.24673328697935	0.60980760146134	-5.95460436729743
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	-0.1459132485629	5.04853345141068	-0.39219575998782	0.702793533570989	0.894982237481741	-6.14369031129352
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	0.342606572043815	6.9216710581661	1.47362000664502	0.170056394250102	0.527419171193651	-5.50935833518677
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	0.146813061777644	9.71737207586413	0.927408906552602	0.374637218062218	0.717414626556832	-6.34219395197601
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	-0.0374372078663043	5.81562651642015	-0.0691852053399592	0.946148215298422	0.98158475051618	-6.39128783690246
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	0.662682988893393	5.65612478441588	2.1639170701298	0.0545999376441851	0.3338074036314	-4.24510069206307
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	-0.0383228962463349	6.04756792235831	-0.147954288259983	0.88519478633768	0.966244855457425	-6.42916779816961
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	0.610002299751131	3.93121710662394	1.06979233137955	0.308799391243631	0.66765712469196	-5.21516621467238
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	-0.996597714956543	5.11590058265003	-2.37451641164942	0.0379677552061713	0.288328481214803	-3.95374251509256
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	0.83375534617164	4.91815446689369	0.845953821438699	0.416528254454593	0.743111249927189	-5.66573151009118
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	-0.666220523385604	5.13672917061932	-1.04296827142234	0.320489674835781	0.676901547742586	-5.71222240629684
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	-0.631817372377869	4.99496400052472	-1.42372783706772	0.183690345488389	0.542903229277604	-5.28831787307326
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	0.761424842917439	8.75229387371702	4.46146797640925	0.00108879894667198	0.0807060174984468	-0.781956909305079
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	0.371142460470957	6.04483737936823	0.973584993824989	0.352259204311196	0.701574267938478	-5.91231402860815
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	0.232748368577571	4.55380115373732	0.540332914349952	0.600293045007206	0.840109364240661	-5.88544947834098
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	0.296842846004076	4.21766762949693	0.493335182093612	0.631978449622825	0.857448924031869	-5.79170946349138
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	0.0493041004089427	5.51288305783958	0.179559626621148	0.860932287136108	0.958844593809043	-6.30314006976334
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	0.421252331207553	4.10444422883058	0.982512396746809	0.348046917417833	0.6976311217188	-5.3774983586582
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	-0.921148261111158	3.64682943552829	-1.94340778337003	0.0793743274290162	0.388114049355189	-4.28401792505051
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	-0.0674293192178625	6.88333192553384	-0.199888527207434	0.84540402283974	0.952914021707127	-6.56980816635827
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1	0.232780010932949	2.77031353461535	0.223264399226489	0.827633670848087	0.945115138994994	-5.45685814248583
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	-0.599210381485384	3.42178536295176	-0.952904829365957	0.362158846687059	0.709139387427092	-5.36631465602662
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	-0.503664701111125	3.54794764644342	-0.885610324460614	0.395748554407483	0.729326708848642	-5.42566242455463
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	-0.777775107473065	4.97409384904606	-2.54114974181491	0.0284089780804661	0.255315021890541	-3.63899825435311
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	-0.00186595575717519	4.1984350972711	-0.00259753212849404	0.997976390576586	0.999914774167266	-5.94071348147532
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	1.88397329657034	3.86055345273829	1.93209895639604	0.0808939000837623	0.39256506784565	-4.07250037523566
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	0.192707149723573	4.60515643703616	0.503037320785581	0.62537041900143	0.855479769648209	-5.92358588257096
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	0.235061596528565	4.62391575730326	0.610561492965768	0.554535753832908	0.817912579911828	-5.85120420106584
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	-0.351321179754945	3.86795953058832	-0.738849451442711	0.476265416984603	0.777291204269958	-5.61565768019468
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	0.132975553887872	4.68338248998961	0.264757392025756	0.79634526222487	0.932166619916591	-6.04945978089672
