,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,-2.64525223680406,5.42571563400822,-4.6481426011656914,0.00046938980716047595,0.0113622352448409,0.12421769788627697
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3,-1.5473224536578,6.498929680132232,-5.08969273660189,0.00021473749254913798,0.00814638488850707,0.706199171018485
Tpr_TRINITY_DN13550_c0_g1|Tdu_TRINITY_DN10834_c0_g2,-1.52265269990188,4.26431649509488,-4.4970086750604015,0.000616966377695755,0.0127480869158128,-0.0828565176273655
Tpr_TRINITY_DN15101_c2_g1|Tdu_TRINITY_DN20083_c6_g1,-0.939942086083045,7.20277670010867,-4.982968771317942,0.000258805927709937,0.00883228262311738,0.471263805662475
Tpr_TRINITY_DN12963_c5_g1|Tdu_TRINITY_DN23188_c4_g1,-3.93426155207197,4.8115390114497805,-5.6003118216528405,8.98288731236597e-05,0.00555910489481359,1.651118793894
Tpr_TRINITY_DN14293_c0_g7|Tdu_TRINITY_DN24970_c1_g2,-0.5259685132617129,8.52329593574673,-3.177601674234,0.00736402145111585,0.0479212456623792,-2.94484671717117
Tpr_TRINITY_DN12096_c4_g4|Tdu_TRINITY_DN23701_c1_g1,-0.949952528579264,5.98119739949963,-3.5416061913495698,0.0036718546222197397,0.0321171569739746,-2.03229323969018
Tpr_TRINITY_DN11295_c2_g1|Tdu_TRINITY_DN21433_c2_g1,-1.20409376665396,5.900506447200461,-4.77630745394596,0.00037309412912464303,0.010355849377403,0.21860541470191105
Tpr_TRINITY_DN12905_c3_g4|Tdu_TRINITY_DN25040_c9_g3,0.7971078889561221,10.4793934549939,3.75690007345804,0.0024398089434953,0.0257702303918234,-1.85250429249619
Tpr_TRINITY_DN15300_c0_g4|Tdu_TRINITY_DN20225_c0_g2,-2.01097150677297,2.7140788460242904,-3.89665074823831,0.00187446831586577,0.0225854932630942,-1.0857710334056898
Tpr_TRINITY_DN10604_c3_g2|Tdu_TRINITY_DN18035_c0_g1,-1.35723779199555,4.411586103094152,-3.9489592670689904,0.00169906108311447,0.0216001246398384,-1.06919951383206
Tpr_TRINITY_DN14211_c3_g2|Tdu_TRINITY_DN17832_c3_g3,-1.5382394198455602,6.9518456161589,-5.5983362186146,9.012599505221992e-05,0.00555910489481359,1.54414205928045
Tpr_TRINITY_DN15552_c3_g13|Tdu_TRINITY_DN25195_c4_g5,-1.13144062971862,5.50579027027125,-4.42056011512498,0.0007092067320514058,0.0135760102477978,-0.3563403295378421
Tpr_TRINITY_DN13028_c1_g1|Tdu_TRINITY_DN18103_c1_g2,-0.951660731490762,7.1925977037989295,-4.61088765849341,0.0005019810230313139,0.0119428456536621,-0.19511091778206
Tpr_TRINITY_DN13747_c1_g4|Tdu_TRINITY_DN21432_c0_g1,-0.693673435460131,7.56804374835529,-3.85977272583608,0.00200919036147056,0.0233993400558956,-1.61078484855692
Tpr_TRINITY_DN10872_c5_g10|Tdu_TRINITY_DN23727_c2_g3,-2.33846155996983,2.13475153516576,-4.27092967863095,0.000933373892470592,0.0156107532365752,-0.54707038452362
Tpr_TRINITY_DN10283_c6_g2|Tdu_TRINITY_DN19734_c6_g1,-1.14935817397793,6.2662545656090405,-3.5915370071829504,0.00333890379273903,0.0305026387558728,-1.9872865115216003
Tpr_TRINITY_DN13452_c4_g3|Tdu_TRINITY_DN17266_c4_g3,-1.3856738570483702,5.61933403951282,-5.12223567554866,0.00020291837418353302,0.007909838159593079,0.8642908791043771
Tpr_TRINITY_DN10137_c1_g1|Tdu_TRINITY_DN17299_c3_g6,-1.46869844649397,3.8679821120570295,-3.7364765126590096,0.0025359474609978,0.0262320925561847,-1.36949922080672
Tpr_TRINITY_DN14765_c1_g1|Tdu_TRINITY_DN20801_c4_g2,-1.36093045358427,7.51368850532821,-7.67766384914534,3.74522522649588e-06,0.00173258280339062,4.72187450474443
Tpr_TRINITY_DN12985_c1_g4|Tdu_TRINITY_DN17416_c6_g3,1.03163449773587,7.09464909170992,5.20308653316533,0.000176404046542907,0.00749447191613665,0.934985701182993
Tpr_TRINITY_DN13705_c0_g4|Tdu_TRINITY_DN22023_c0_g2,-0.633115775871328,7.83733338305212,-3.22098875096205,0.0067767270816547105,0.045434626738276,-2.83465896855534
Tpr_TRINITY_DN11590_c2_g4|Tdu_TRINITY_DN20390_c4_g4,2.71405016927797,5.14956445304167,4.3325439465306,0.000833307340344119,0.0146700850381511,-0.36534190845035097
Tpr_TRINITY_DN14485_c0_g7|Tdu_TRINITY_DN19444_c4_g1,-1.83325500931088,3.55346638157128,-3.69121174807708,0.00276302660560401,0.0275211992163452,-1.41508147385811
Tpr_TRINITY_DN11103_c2_g2|Tdu_TRINITY_DN25343_c1_g1,-1.97191164920493,4.372897283890819,-3.27211026911106,0.00614472540047382,0.0429659195253183,-2.23717299203743
Tpr_TRINITY_DN12967_c2_g4|Tdu_TRINITY_DN20076_c1_g2,-3.52213833708221,3.82358946984736,-9.09979225783584,5.79078344170469e-07,0.000535776152434166,5.70398340577618
Tpr_TRINITY_DN14071_c2_g2|Tdu_TRINITY_DN20871_c4_g2,-0.9977264794752552,5.869343172742782,-4.36538774973856,0.0007845620092487758,0.0142955095208196,-0.512510012637896
Tpr_TRINITY_DN11742_c3_g1|Tdu_TRINITY_DN17033_c5_g2,-0.951501802966518,5.94909441081083,-4.49734133879694,0.000616593356093643,0.0127480869158128,-0.280726606006972
Tpr_TRINITY_DN10300_c2_g5|Tdu_TRINITY_DN19797_c3_g2,-1.15143577770603,4.48285856490524,-3.91658014062937,0.0018055484841107696,0.0221346913503026,-1.13212604989496
Tpr_TRINITY_DN14003_c0_g1|Tdu_TRINITY_DN19846_c1_g2,-2.22483126723007,2.09328015777756,-3.25414389828489,0.00635979426488371,0.0438757306078597,-2.13472942356554
Tpr_TRINITY_DN14776_c3_g5|Tdu_TRINITY_DN24560_c0_g1,-1.50069305483951,5.696192493348692,-5.69809578976205,7.633594008626009e-05,0.00528098837061817,1.81128111048116
Tpr_TRINITY_DN14946_c3_g3|Tdu_TRINITY_DN23131_c1_g1,-1.31874169188422,4.36324587534792,-3.94749704364942,0.00170372833345849,0.0216264418181537,-1.031372988062
Tpr_TRINITY_DN12816_c2_g1|Tdu_TRINITY_DN16601_c0_g1,1.20674835403099,8.65379136360453,6.43197214682714,2.3479508633598198e-05,0.00369024738548135,2.87305204268965
Tpr_TRINITY_DN12061_c3_g11|Tdu_TRINITY_DN16136_c0_g1,-1.12152586499167,8.089774379999339,-3.67659923870517,0.00284067435901106,0.0280596623813583,-1.9885267600666496
