,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,-1.25355471865733,6.08147752820174,-4.8791773069212905,0.000310775082202382,0.00961251417849301,0.376765313678017
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1,-1.08523659624426,4.60786393172308,-3.82606470049739,0.00214099342510021,0.0241709899298961,-1.33042111394476
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5,-1.06218471417132,4.92608270931246,-4.21914329736256,0.00102704537886151,0.0164782405968782,-0.662057963719142
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1,1.1679421107363,6.28736158537315,3.873338043253221,0.00195851765925065,0.0230347126392375,-1.35083289203393
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3,-2.14653347046354,4.10207387548809,-4.8760175107491515,0.0003125181887132629,0.00961251417849301,0.548669005776182
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1,3.21435912444239,5.4913718213649405,4.57877153491688,0.000531960584549984,0.0122028534092224,0.0312849918906428
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5,-1.22597338390118,6.49528354079092,-3.35022579794967,0.00529147763878696,0.0395886202139973,-2.48767485707191
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1,-1.56851045512995,4.24390770711882,-4.08802501173126,0.00131007245902505,0.0188736563430823,-0.812943773744599
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2,-0.7400430336971758,6.52190311066548,-3.44025697187872,0.00445495947796971,0.0357823415219443,-2.3051712768240296
Tpr_TRINITY_DN12636_c2_g10|Tdu_TRINITY_DN19969_c1_g5,-3.4607280212580096,2.64612024178791,-3.71399709945633,0.00264623927269834,0.0269709111673918,-1.37718327359244
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5,-0.9445234786840668,5.59294069488658,-4.3509697501382405,0.000805587137733116,0.0144295208017675,-0.503654518337439
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1,-0.63299525321424,7.05761125510003,-3.5572561177727207,0.0035640207096646896,0.0315719153716786,-2.1392140465855403
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2,-1.0964528728214302,4.70519268630047,-3.7388234304340298,0.0025247062337935893,0.0262233980195621,-1.5061043607541298
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1,-0.694334775861032,6.91389299894297,-3.4284937370497697,0.00455618178127993,0.0364101014325508,-2.36996669738663
Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2,-1.57096920202813,4.31251021166148,-4.83911756170861,0.000333644787976569,0.00981578778198325,0.476747566911493
Tpr_TRINITY_DN10178_c0_g1|Tdu_TRINITY_DN16896_c1_g1,-0.826759090460714,6.75561984442782,-4.1879597196907214,0.00108807686451945,0.0170629304159199,-0.933735053509278
Tpr_TRINITY_DN10402_c2_g1|Tdu_TRINITY_DN22665_c0_g1,-0.9665382886226892,6.40581109999711,-4.02090478909395,0.0014848919111731,0.0200400242209698,-1.20924967275183
Tpr_TRINITY_DN14398_c0_g2|Tdu_TRINITY_DN17389_c3_g3,-1.46931943150532,4.80321957625012,-4.26862010961933,0.000937357585959841,0.0156107532365752,-0.570235121138778
Tpr_TRINITY_DN14132_c3_g1|Tdu_TRINITY_DN20642_c1_g1,-1.95366682260179,5.69510948453722,-4.62294360360937,0.000491184656094034,0.0117531454922271,-0.0415856171752038
Tpr_TRINITY_DN11948_c3_g2|Tdu_TRINITY_DN22503_c2_g3,-0.5993193390548249,6.82083447289958,-3.28094461285671,0.00604166834449973,0.0424548289490711,-2.63432006902204
Tpr_TRINITY_DN14771_c8_g6|Tdu_TRINITY_DN18489_c3_g2,-1.14517607925786,4.791640484391111,-4.32481651937952,0.000845224287537918,0.0147599603564763,-0.456382203269659
Tpr_TRINITY_DN14647_c0_g2|Tdu_TRINITY_DN20553_c6_g1,-1.4783260616089902,5.11219209861521,-5.58015831076586,9.29087911112402e-05,0.005647091267031361,1.65933922695748
Tpr_TRINITY_DN13493_c0_g1|Tdu_TRINITY_DN16799_c0_g1,-0.90033622268254,7.33610701236303,-3.91884451204551,0.00179788380026237,0.0221137051769346,-1.48938396913283
Tpr_TRINITY_DN13626_c1_g2|Tdu_TRINITY_DN21923_c4_g1,-2.17640591777227,3.23799622702529,-3.53618842460133,0.00370995137558478,0.0322784264701487,-1.68903024752652
Tpr_TRINITY_DN10622_c0_g1|Tdu_TRINITY_DN25400_c4_g11,-1.81033884533508,3.18662409201142,-4.07258509533881,0.00134831790051091,0.0193243427840867,-0.780948734308376
Tpr_TRINITY_DN15959_c2_g2|Tdu_TRINITY_DN25051_c1_g1,-0.9214909994791948,5.639102981978941,-3.85544320799354,0.0020256439342056,0.023492391420794,-1.4198346659791898
Tpr_TRINITY_DN11903_c1_g4|Tdu_TRINITY_DN22646_c1_g2,1.03013090129921,7.200019669711501,5.15922348676681,0.000190306038685667,0.007768031294782091,0.848654537944677
Tpr_TRINITY_DN10902_c0_g1|Tdu_TRINITY_DN23673_c3_g1,-1.17650094220706,5.1672152751713805,-3.61091334518368,0.00321810574350243,0.0299183614632114,-1.81332043543023
Tpr_TRINITY_DN12392_c2_g3|Tdu_TRINITY_DN24619_c1_g4,-0.714046539692353,7.076735050066018,-3.9227048408415897,0.0017848937202171,0.0220980629222136,-1.4564814177114698
Tpr_TRINITY_DN14514_c1_g1|Tdu_TRINITY_DN16198_c0_g1,-1.67761752173321,3.14036460335469,-3.57753166462326,0.0034290767528168896,0.0309695467686619,-1.6084945961759698
Tpr_TRINITY_DN14993_c1_g6|Tdu_TRINITY_DN17642_c0_g1,-0.8128079503287678,7.00883064257873,-3.36800338613147,0.0051145900763086794,0.0388233286831562,-2.49518099294015
Tpr_TRINITY_DN11639_c6_g4|Tdu_TRINITY_DN19840_c1_g1,-0.711435639912419,6.01723016461797,-3.37550091175667,0.00504178841948651,0.0387296791227529,-2.35806250196406
Tpr_TRINITY_DN13699_c1_g5|Tdu_TRINITY_DN19527_c3_g1,-1.3416647652501998,3.91568069797676,-3.77855589980408,0.00234192588371476,0.0250628815375173,-1.3234160948331202
Tpr_TRINITY_DN11648_c0_g7|Tdu_TRINITY_DN17493_c6_g1,-1.9649509074312697,5.85436285332917,-6.318483438261911,2.8038589138036402e-05,0.00369024738548135,2.77994403873629
Tpr_TRINITY_DN12415_c1_g4|Tdu_TRINITY_DN18513_c0_g1,-0.8436091836668679,6.923396850834888,-3.82576331360938,0.00214221094851247,0.0241709899298961,-1.62781639973101
Tpr_TRINITY_DN14542_c2_g3|Tdu_TRINITY_DN19024_c6_g2,-1.10205525239721,3.81720231830076,-3.18111786931517,0.007314583416923659,0.0477714008727242,-2.3609409680189
Tpr_TRINITY_DN13755_c1_g2|Tdu_TRINITY_DN25104_c5_g1,-2.09609879574746,3.38411727745227,-4.411148259424099,0.0007215113905587059,0.0136505516644295,-0.21350998763992604
Tpr_TRINITY_DN13532_c7_g1|Tdu_TRINITY_DN25208_c2_g1,-0.9783377399491108,4.57009947283229,-3.2716180117641604,0.00615051952373957,0.0429659195253183,-2.32665237823339
Tpr_TRINITY_DN13912_c1_g1|Tdu_TRINITY_DN19491_c1_g1,0.851309266035519,6.2418983666836105,3.32207287696631,0.00558430119092014,0.0406952434664362,-2.38187993082149
Tpr_TRINITY_DN12330_c1_g6|Tdu_TRINITY_DN22079_c1_g1,1.95996767410555,5.64237484845212,4.1518963874185,0.00116334245159135,0.0176679772534418,-0.688328730523193
Tpr_TRINITY_DN12403_c2_g9|Tdu_TRINITY_DN17638_c2_g2,1.30244655950273,7.119472122984152,3.45868742423877,0.00430091694160086,0.0350085389762565,-2.2312645566324
Tpr_TRINITY_DN12738_c6_g1|Tdu_TRINITY_DN17821_c2_g1,2.29032748318608,5.39861490411785,3.32931317441578,0.0055074694522398,0.0404415327414469,-2.11453461057483
Tpr_TRINITY_DN10264_c7_g11|Tdu_TRINITY_DN22349_c4_g4,-1.47395694155747,4.98996382377643,-4.16576303376077,0.0011337869973803401,0.0174189009726681,-0.780363244017072
Tpr_TRINITY_DN12060_c2_g5|Tdu_TRINITY_DN17839_c6_g2,0.7918824499485471,7.44401736328579,3.44453437731323,0.00441871871914282,0.0356192359867399,-2.32712812484084
Tpr_TRINITY_DN13562_c2_g1|Tdu_TRINITY_DN20797_c0_g1,-2.49573239581977,2.5640030334381096,-4.27189991491142,0.00093170558234684,0.0156107532365752,-0.50574575520388
Tpr_TRINITY_DN10265_c13_g1|Tdu_TRINITY_DN19455_c6_g1,1.00128728585386,7.91836300940257,5.148565099003862,0.000193854075627911,0.00777903581987071,0.7717736001273909
Tpr_TRINITY_DN11243_c2_g3|Tdu_TRINITY_DN19672_c2_g2,-1.6699428919246495,4.5402713666644905,-3.84915339842646,0.00204979318554708,0.0236080606584378,-1.2941236029967902
Tpr_TRINITY_DN12079_c1_g3|Tdu_TRINITY_DN21811_c1_g1,-1.13666823970951,5.7089022567744685,-4.27492444181299,0.0009265246665621221,0.0156107532365752,-0.662315083810626
Tpr_TRINITY_DN13604_c0_g1|Tdu_TRINITY_DN20967_c0_g4,1.08606034274306,9.50800151498052,3.67405699222723,0.0028544085546261693,0.0280656874024078,-2.00429507734128
Tpr_TRINITY_DN10943_c0_g1|Tdu_TRINITY_DN25296_c2_g3,-2.12615363530809,2.8729399874653305,-3.65701001819966,0.00294826611695388,0.0284475225444669,-1.47126592640608
Tpr_TRINITY_DN15772_c0_g1|Tdu_TRINITY_DN16078_c0_g1,-0.8840950731521009,6.05458258554101,-3.40676615827711,0.00474929893655723,0.0374856988101536,-2.31201730918595
Tpr_TRINITY_DN11712_c1_g5|Tdu_TRINITY_DN12950_c0_g1,-1.33370041592233,6.39425698929774,-3.8821408351885496,0.00192633665511313,0.0229294998771436,-1.47983684511887
Tpr_TRINITY_DN10441_c3_g2|Tdu_TRINITY_DN22151_c3_g1,-0.9573999062882008,5.6300629284615,-3.28718643223388,0.00596990358070623,0.0421998192839905,-2.47285539976333
Tpr_TRINITY_DN11342_c7_g1|Tdu_TRINITY_DN14266_c0_g1,-0.703654048738423,8.28993947502203,-3.4654569627946903,0.00424569932974666,0.0347598663405328,-2.39568936910708
Tpr_TRINITY_DN14054_c3_g5|Tdu_TRINITY_DN24606_c0_g3,-1.6332524786291998,4.39588194012406,-4.664349272589121,0.000455905337202249,0.0111184443700878,0.171057842539661
Tpr_TRINITY_DN15317_c3_g1|Tdu_TRINITY_DN17304_c4_g1,-1.74786346670879,3.42338850906926,-3.73867399315474,0.00252542048863912,0.0262233980195621,-1.3523687597172298
