Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.90518313037811	6.73673643231412	6.96904293144807	7.03362631738177	6.9173571183495	6.81032585076796
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.64214872454432	7.27769175079618	7.9420758838478	8.01609639282419	8.13141023877322	8.19869968555802
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.613417006001	5.06237484653985	5.61408603617324	4.76640411458454	4.15099060774274	4.72515846750528
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.50139038826689	6.85554386235415	6.80578166028677	7.48479760271433	7.12602369222616	7.41657190985708
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.83136078045484	9.99343613044763	9.88736633895364	9.89376865379881	9.80218302906282	9.96794634230715
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	5.00336352431701	5.47246312984696	5.3480111760194	5.48988647938713	6.3673085146695	6.31012096822644
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	4.45587572901452	5.88377754308309	5.51996385880869	6.05438487754857	5.44434955043333	5.5817942923341
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.20389651168972	5.61401727406098	5.70244191059409	6.32882404665461	6.00994672628756	6.31012096822644
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	3.92536101231574	3.82674659804671	2.95112102345081	4.09502686204591	4.15099060774274	4.3736860970039
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.27899796693044	5.10136897815572	5.64414327002942	4.76640411458454	4.98635990596994	3.76363261531992
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	5.74032911848322	6.29040280254573	6.28263516716737	4.29433567026932	4.81841526865587	4.15956129165106
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	3.07736410576079	1.1944783825472	3.56779238389931	6.97676398042609	5.61811661817004	6.86443325610741
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	6.63807906023527	5.90597328919729	6.73771738534162	3.58806687332603	4.36120831513308	5.29706481540099
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.80528456032399	9.45845173735061	9.38519319209399	8.78100852749331	9.07195638856298	9.14323898634913
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.7703863523394	6.79736279126562	6.18378178024109	5.64392010805955	5.55538086282207	6.5043897886485
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.52802551477036	3.39611224371685	4.08862454720075	4.76640411458454	4.92150876161997	3.60316794312667
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.72506236182991	4.54497562963133	4.17351344478726	3.7324567826612	5.13677674852304	5.29706481540099
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.32022062965695	5.861234974432	5.9145951474257	5.99835084263424	5.61811661817004	5.07029395355397
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.21486762951073	4.70544030182458	3.79911793000576	4.62554157874469	4.2599249792959	4.72515846750528
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.76293054742035	7.53432838543182	6.79242327743175	6.7238436523565	6.70256693996935	6.36119515282071
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	4.29975652709724	4.60047074222303	2.21415542928461	3.58806687332603	2.87088268855	4.56009922123479
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.95183322367693	5.99149136038334	4.92687347720413	4.76640411458454	4.2599249792959	4.3736860970039
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.45587572901452	4.54497562963133	3.90221142296986	3.7324567826612	4.40930260333413	4.3736860970039
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	5.79983013023188	4.23010229227792	5.93904819115024	3.7324567826612	2.56602810702158	4.15956129165106
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	6.67031939723548	5.99149136038334	4.47049518254439	4.62554157874469	4.45584518927116	4.80110732073858
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.64620694111867	4.84983021115975	4.71665576981379	4.69769136450053	3.90483002047334	4.56009922123479
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	4.21486762951073	4.98107474443801	3.99842673822917	3.24702995549096	3.5229593851297	2.32306002393394
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.66232660648195	4.48726013177504	4.32963264670454	4.46942237682741	4.5009330787997	5.00755819820601
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	2.34039851159459	3.6274377898233	4.59881927951993	3.58806687332603	3.97041836210092	2.32306002393394
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.21486762951073	4.15795250652208	4.40178243246038	3.98399554965717	4.54465445622902	4.80110732073858
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.05311655951411	4.98107474443801	5.93904819115024	5.1214990734071	5.59750633849475	5.6242295586545
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	4.12466982053915	5.06237484653985	5.51996385880869	5.06805981444564	5.01772407687927	5.66545222138102
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	4.52802551477036	4.36440338398951	5.64414327002942	6.21050407946585	6.35508221233624	6.48148938653842
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.36029806903229	5.06237484653985	4.77215088240549	4.95484920399765	5.51198826730869	5.66545222138102
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.35038260016721	6.72429932907589	6.07765342937974	6.30592364454453	6.73123069822149	6.22995061954246
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	8.26058592981656	8.21462495565897	8.13434284750658	7.61160238778682	7.35814851538403	7.4523430408789
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	4.72506236182991	3.73053128278741	3.56779238389931	3.7324567826612	3.60784828271621	3.60316794312667
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	3.07736410576079	5.10136897815572	4.40178243246038	6.57854409920752	7.1893716994706	6.67557643865472
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	6.01596356109665	6.95469932901371	6.07765342937974	6.80774490996544	7.02931205115449	7.06259956176397
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	2.87091322829336	4.6539100011845	3.43654785062105	1.66206745476981	3.12242145554597	4.56009922123479
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.28941458287578	6.55203038716528	6.80578166028677	7.1918884012985	6.96640529959429	5.66545222138102
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	5.32022062965695	5.79141352493443	5.55202506804099	6.97676398042609	6.3303143071873	6.17391658462813
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.9386578349292	5.55905081484305	5.15275488462046	6.16031832229763	5.67823761060761	5.78249164257123
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.93202474259675	7.15332105779044	7.60265114111096	7.07484898010828	6.71218494253095	6.5043897886485
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	4.84289885212377	4.70544030182458	5.11031961830006	5.40622855034022	5.29874422818643	5.66545222138102
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	4.78518335426748	3.82674659804671	3.43654785062105	4.3845334792409	2.38545586137976	3.76363261531992
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	6.71736797003991	6.20346716577445	5.48717392369102	6.74101879616463	5.16506579295446	6.28388942665326
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.30233047076107	8.12284870556617	8.43869312245261	8.4460478684536	8.57528042025978	8.69312463986557
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	3.25793635140261	3.2648677104386	3.13169326909263	4.83199245621212	3.90483002047334	4.03926705793335
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.89839396471547	5.10136897815572	4.82559014136695	4.09502686204591	4.31145527993599	4.94196985657843
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	6.6216846219846	6.52360197883876	6.68085504838594	5.27087669744533	5.42107977111048	5.78249164257123
Tpr_TRINITY_DN12134_c0_g2|Tdu_TRINITY_DN21624_c3_g1	7.13047544222035	7.31963351386949	7.57170743390269	8.23192306310075	8.06915231568628	8.04318210793673
Tpr_TRINITY_DN8165_c0_g1|Tdu_TRINITY_DN15693_c0_g1	3.41840102359586	5.02229740716452	5.41926985918922	4.54959272551139	4.85360469711817	3.42259569748485
Tpr_TRINITY_DN12409_c3_g1|Tdu_TRINITY_DN22484_c2_g8	3.07736410576079	3.91694440701829	3.99842673822917	2.14749428194005	3.33654626089882	3.60316794312667
Tpr_TRINITY_DN12330_c1_g4|Tdu_TRINITY_DN20630_c0_g1	5.32022062965695	5.58679580532596	5.93904819115024	5.67998936276707	5.97841115285445	6.08556071020728
Tpr_TRINITY_DN11324_c0_g1|Tdu_TRINITY_DN11585_c0_g1	7.46968152853955	7.22569711315792	7.10492635952985	8.1698620949685	7.89430703406133	8.27392831660306
Tpr_TRINITY_DN14194_c1_g7|Tdu_TRINITY_DN8757_c0_g1	4.12466982053915	4.89491810068829	4.82559014136695	3.58806687332603	4.81841526865587	4.46990141226321
Tpr_TRINITY_DN10288_c2_g1|Tdu_TRINITY_DN23604_c4_g1	6.58832602503817	6.22127844189091	7.00423235991037	6.97676398042609	6.72173924924419	6.54912810341378
Tpr_TRINITY_DN14549_c5_g3|Tdu_TRINITY_DN19459_c2_g1	3.25793635140261	3.73053128278741	4.82559014136695	3.42760220113278	3.60784828271621	4.2705926040398
Tpr_TRINITY_DN13630_c0_g7|Tdu_TRINITY_DN24974_c6_g2	8.80890942414274	8.44430293116338	9.02007839584908	8.69988892020477	9.07568669456081	9.20744862104761
Tpr_TRINITY_DN12143_c3_g1|Tdu_TRINITY_DN20625_c4_g1	8.20664712270576	8.21017218965234	8.15013893641345	8.01609639282419	7.77548147265053	7.80572394880895
Tpr_TRINITY_DN11809_c7_g3|Tdu_TRINITY_DN17369_c3_g2	6.15915819692444	6.83255221972792	6.44510986412448	5.90999496821339	6.15804536527669	6.14506172195594
Tpr_TRINITY_DN10769_c4_g1|Tdu_TRINITY_DN17328_c4_g1	8.65630281885418	8.91284000868555	9.18506019861529	8.80570576469184	9.2851148877572	9.39681906255143
Tpr_TRINITY_DN11075_c8_g1|Tdu_TRINITY_DN16663_c7_g1	2.34039851159459	2.57299000580093	2.50366204647959	4.09502686204591	3.97041836210092	4.46990141226321
Tpr_TRINITY_DN12193_c2_g1|Tdu_TRINITY_DN21687_c3_g1	4.02845450527985	4.08200365328879	4.87712044200703	4.62554157874469	4.70738395626712	4.3736860970039
Tpr_TRINITY_DN11366_c0_g1|Tdu_TRINITY_DN17359_c4_g3	6.44659791542651	7.54143527192608	5.98674493318153	4.95484920399765	5.4897925211945	5.44644243943922
Tpr_TRINITY_DN14222_c1_g6|Tdu_TRINITY_DN17376_c1_g4	6.31002486255107	6.44997911569558	6.26339894830445	5.44866381666061	5.61811661817004	5.44644243943922
Tpr_TRINITY_DN15390_c2_g2|Tdu_TRINITY_DN18344_c3_g3	8.71543794294151	8.78992236713668	8.77724574952826	8.90809543529791	9.2851148877572	9.37213063050186
Tpr_TRINITY_DN14752_c6_g5|Tdu_TRINITY_DN21255_c1_g1	6.71736797003991	6.79736279126562	7.01577398179306	5.96949597996205	6.62322350860313	6.45821960721557
Tpr_TRINITY_DN7591_c0_g1|Tdu_TRINITY_DN21133_c2_g5	5.57986444628997	5.71804033860421	5.38408043072692	5.01256470185394	4.81841526865587	5.24362555643953
Tpr_TRINITY_DN10588_c1_g1|Tdu_TRINITY_DN18547_c0_g3	6.605101737789	6.22127844189091	7.18888867067418	6.08160634628359	6.63338337482335	6.89940939435038
Tpr_TRINITY_DN12632_c2_g1|Tdu_TRINITY_DN23203_c1_g1	4.72506236182991	4.98107474443801	5.48717392369102	6.10832368465937	6.35508221233624	5.66545222138102
Tpr_TRINITY_DN13531_c2_g5|Tdu_TRINITY_DN23075_c3_g1	8.41126484231423	8.52180646517715	8.58919486063153	9.44735643547383	9.8066791606049	10.2664120881013
Tpr_TRINITY_DN4033_c0_g1|Tdu_TRINITY_DN17606_c4_g3	7.03465965480655	6.88935857534639	6.49544153967462	7.14103925980275	6.89219319479542	7.07794752609741
Tpr_TRINITY_DN15099_c2_g1|Tdu_TRINITY_DN19880_c1_g2	7.03465965480655	7.07712143190904	6.72371052734774	6.21050407946585	6.9338924860758	7.41657190985708
Tpr_TRINITY_DN11572_c4_g1|Tdu_TRINITY_DN18680_c1_g2	4.84289885212377	5.44240589599078	4.92687347720413	4.54959272551139	3.5229593851297	3.21614482001742
Tpr_TRINITY_DN11070_c2_g1|Tdu_TRINITY_DN18679_c0_g3	8.39688570294106	8.69113246514069	8.89441726548807	8.21358347239782	8.67946387080969	8.48437189507154
Tpr_TRINITY_DN13147_c4_g4|Tdu_TRINITY_DN19998_c2_g1	4.84289885212377	5.53076177041163	5.58338923895032	6.10832368465937	5.99426510405529	6.41052286518428
Tpr_TRINITY_DN14163_c3_g1|Tdu_TRINITY_DN19590_c0_g4	5.57986444628997	6.73673643231412	6.63668746511037	6.3513666153057	6.51748425506355	6.41052286518428
Tpr_TRINITY_DN14623_c0_g3|Tdu_TRINITY_DN21734_c3_g4	8.23925178813769	6.18543324294419	7.28740441131524	6.18562941082682	6.26646782516267	6.52693235729959
Tpr_TRINITY_DN13313_c2_g11|Tdu_TRINITY_DN17059_c4_g2	5.43726005084717	6.47988060140945	6.12104602489312	5.40622855034022	6.18592439785213	6.41052286518428
Tpr_TRINITY_DN11787_c0_g1|Tdu_TRINITY_DN18867_c0_g1	7.80346870729523	7.78244337142988	7.86121405109767	7.25302869611241	7.88157728934624	7.97103232218089
Tpr_TRINITY_DN12013_c2_g2|Tdu_TRINITY_DN16103_c0_g1	6.93202474259675	7.11572427113279	7.13698756876215	6.41695495693327	6.73123069822149	6.75410984120141
Tpr_TRINITY_DN12251_c1_g3|Tdu_TRINITY_DN20923_c1_g2	4.02845450527985	4.75519333702168	4.17351344478726	4.09502686204591	4.70738395626712	4.15956129165106
Tpr_TRINITY_DN12271_c0_g1|Tdu_TRINITY_DN23805_c0_g1	4.37992687578122	5.79141352493443	5.96309366511689	5.99835084263424	5.92977637760357	6.05486391298436
Tpr_TRINITY_DN13225_c1_g4|Tdu_TRINITY_DN22117_c2_g1	4.78518335426748	5.34828371862623	5.11031961830006	5.40622855034022	5.39742850304584	5.5817942923341
Tpr_TRINITY_DN10248_c5_g1|Tdu_TRINITY_DN18223_c3_g1	6.50139038826689	6.97583809607186	6.81901748744347	6.61626376515668	6.69288438657201	6.5043897886485
Tpr_TRINITY_DN13502_c4_g7|Tdu_TRINITY_DN24579_c0_g2	4.02845450527985	3.2648677104386	3.99842673822917	3.42760220113278	3.97041836210092	3.76363261531992
Tpr_TRINITY_DN13532_c5_g2|Tdu_TRINITY_DN17433_c0_g1	4.02845450527985	3.2648677104386	3.79911793000576	3.7324567826612	3.00212722182826	1.83763319676369
Tpr_TRINITY_DN10187_c2_g6|Tdu_TRINITY_DN20971_c8_g1	6.18170076557553	6.55203038716528	6.03291511461446	6.02663988706566	5.87944470205343	5.49298502537625
Tpr_TRINITY_DN8303_c0_g1|Tdu_TRINITY_DN16034_c0_g1	5.39929220064815	6.11095502698491	5.81241475261922	5.99835084263424	5.94617081585424	5.6242295586545
Tpr_TRINITY_DN13700_c1_g3|Tdu_TRINITY_DN5114_c0_g1	4.59673826485437	2.96001312891017	2.74467014598339	4.54959272551139	5.22003225217239	4.56009922123479
Tpr_TRINITY_DN13660_c2_g1|Tdu_TRINITY_DN19486_c2_g2	3.41840102359586	4.0018333046048	3.56779238389931	3.24702995549096	3.76396748463349	4.72515846750528
