logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.9189032969882	6.72150489303683	58.2288313790278	1.39578017587764e-13	1.3624135965253e-12	21.1379669155858
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.11191841770174	7.81117987285719	71.4050705198161	1.97061894631609e-14	4.57589010350473e-13	22.8871792277728
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	4.46586302823565	5.00452567395647	19.2259794517633	5.3654798250507e-09	8.24105728063653e-09	11.3917412805818
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	7.32440152692478	7.03704649855971	59.7467836466483	1.09043128183292e-13	1.1920884389936e-12	21.4563255821531
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.88333665124297	9.76774132489653	94.8588801024151	1.2878106264613e-15	2.21288792646934e-13	24.907013544448
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	6.08478483532416	5.8096299443629	30.772641941247	6.23341752604059e-11	1.51348918913108e-10	15.7807266421251
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	5.65893636922026	5.88278886600919	29.4425149298504	9.49538223730878e-11	2.17549757481452e-10	15.3386575441757
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.18743731791882	6.0432662445909	42.7814654010182	2.6781456196494e-12	1.13117691214954e-11	18.5806415811305
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	4.18692152092859	4.15585159450072	15.6331537163741	3.70688375646951e-08	4.98278637929604e-08	9.50087967265767
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	4.61437418035319	4.77108832496934	15.7453683798681	3.46866196133687e-08	4.67781619638759e-08	9.57596852191884
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.50329065650573	5.20789671843985	8.63319132789486	7.78010019423523e-06	8.44456723280066e-06	4.0236624426057
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	6.3884773588676	4.90319489668415	20.5221671408588	2.90423074400588e-09	4.70518467424092e-09	12.0113549871982
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	4.37381356122919	4.78286974239234	11.3290318984591	7.07554615523624e-07	8.25213584394633e-07	6.52632532473855
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.99631454965754	9.00703399954881	77.0114725857849	9.53672329725201e-15	3.47203575986049e-13	23.5315983620455
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.83949659457985	6.18046745723815	26.772927872871	2.34494756588213e-10	4.85475759551760e-10	14.5158976496664
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.54550841372455	4.62043721391242	15.6537937971701	3.66174911667509e-08	4.92773808359212e-08	9.52156905604679
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.77645726607518	4.29718084404671	14.7208434252272	6.47056455204378e-08	8.46190208106185e-08	8.94524705638725
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.57999151413995	5.526824735467	29.8749169230243	8.2645342524132e-11	1.92504599022604e-10	15.4397808758656
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.47678039054553	4.25650131710807	20.4815322504701	2.95896853221117e-09	4.7872837296347e-09	11.9505907479561
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	3.31357366026074	3.35643022164044	8.85376072494615	6.2573744791261e-06	6.82321849601165e-06	4.42514522345604
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.60758662549883	6.86004791326775	24.1184662219531	6.31523423937661e-10	1.17394753226005e-09	13.5599436677528
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	3.45094741875627	3.19460541011272	9.12673863335231	4.80735696724165e-06	5.27625818573641e-06	4.68704053871389
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	3.46826321340563	3.41022584933633	9.61081757917196	3.05893447536347e-06	3.40670963445826e-06	5.11381154594651
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.42778410547238	4.72608024450812	18.4248305093899	8.00000961936009e-09	1.19083341166724e-08	11.001436857382
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.20915341351706	4.21675718644036	15.7114530580631	3.53883515054513e-08	4.76855290339752e-08	9.54353886282347
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	3.26285627909753	4.54181358557106	7.90624277083098	1.64744224778254e-05	1.76285724697851e-05	3.4146873273339
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.58792000027751	4.67109312487456	20.0157344849158	3.67463530846253e-09	5.82405688397366e-09	11.7611918347422
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.2874773440296	4.71949243525535	18.0752727934986	9.57286477263859e-09	1.40729425071123e-08	10.8207300593773
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	3.14750762703695	3.73581170072163	7.91811741393424	1.62669428378595e-05	1.74133347860695e-05	3.48717265968614
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.61719618022334	4.73691040090085	18.5154325470874	7.64038720101468e-09	1.14266389182174e-08	11.0638342771578
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	3.46199547029045	3.29049157278911	5.17260724946952	0.00047319604902285	0.00048592144077944	-0.0217453487662853
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.44769915684702	4.2612807623598	19.1451333619632	5.58212570158163e-09	8.54358374218691e-09	11.3396953974664
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.46155593907932	5.5020404077521	29.2462584282806	1.0119645864607e-10	2.3057137870519e-10	15.2312153478852
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.19934367267536	5.21923892083034	23.1926904703742	9.1484275541141e-10	1.64392658968046e-09	13.1543506624605
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	6.34341237305198	5.77477662474841	42.579536544226	2.80220989848326e-12	1.17087773621542e-11	18.584941617265
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.38611052782725	5.34092171295826	28.7246804534641	1.20101786036108e-10	2.6823707858809e-10	15.0603918592483
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.4553511834955	6.38621534884331	22.6268223768443	1.15563662104619e-09	2.03277689281061e-09	12.9537777623279
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.4643400328554	7.78285754519868	57.0212138440564	1.7065567920645e-13	1.54677806823605e-12	21.1463787136558
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	3.63713017998026	3.91112314042432	13.5286883299878	1.40866576712132e-07	1.7770993036428e-07	8.16964569039415
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	6.84557466750691	5.09432371124116	33.1488753504506	3.06688192047177e-11	8.3566706574335e-11	16.5247818109004
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	6.96662810548467	6.41116539033788	34.7278524827695	1.96701697764171e-11	5.74502692336716e-11	16.954942128792
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	3.07303889499519	3.60882389346239	6.33976529605285	0.000100567678030572	0.000104679733517941	1.61774796413417
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.65773403140783	6.4402376770601	26.2857774702121	2.79182273057103e-10	5.67585750104754e-10	14.3752312418121
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.4812433893669	5.97586066582693	32.8250918651432	3.36795816851387e-11	9.01327675986449e-11	16.4076336433951
Tpr_TRINITY_DN12935_c0_g1|Tdu_TRINITY_DN23885_c2_g4	1.84287380054804	2.74580479580334	3.30452861906298	0.00837683446493659	0.00847444261827512	-2.67629206721079
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.84710606906005	5.69143959773455	32.3726733747011	3.84467657955442e-11	1.00160746772473e-10	16.1933529988173
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.76101087106198	6.78948423928415	42.3639913823588	2.94168017504193e-12	1.21618937763137e-11	18.6446599751887
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.42470151824444	5.18531938771635	33.0971067081424	3.11295799674994e-11	8.46412587129985e-11	16.2718253568281
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	3.25453831621672	3.50640088671014	8.185336617377	1.2276550446258e-05	1.32051366824121e-05	3.71309229090665
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	5.94575683201673	5.94720937941508	21.8462156022714	1.61028905655914e-09	2.7379229310451e-09	12.6272317177078
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.56751570780178	8.43789908808731	80.8732449438361	5.96102230870905e-15	3.15169948732258e-13	23.7834553461986
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	4.19392474262474	4.13331532946667	15.9310590985054	3.11060452176804e-08	4.22186376428217e-08	9.67456320590306
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.40496751741516	4.60168341908075	18.3397500356249	8.35474925755398e-09	1.24005707893297e-08	10.9580089805178
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	5.47007099008906	5.97059014127192	27.9871582604256	1.53822024411705e-10	3.33786913272229e-10	14.85941960955
