Tdu_1	Tdu_2	Tdu_3	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.58445301520861	6.47671532466718	6.51614325186168	7.03036826797455	6.91403809556384	6.80731140294511
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.35227957307958	7.4734177345666	7.70476713235724	8.01283834341697	8.12809121598756	8.19568523773517
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.24289611357232	5.71315552048926	5.43814073986041	4.76314606517732	4.14767158495707	4.72214401968244
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.64552859196038	6.83635458528693	6.72259412932911	7.48153955330711	7.1227046694405	7.41355746203424
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.64832903614133	9.80456015392097	9.4992522541638	9.89051060439159	9.79886400627715	9.96493189448431
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	5.71128303744409	5.24108707617404	5.74768511029194	5.48662842997991	6.36398949188384	6.30710652040359
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	6.01885583935439	5.79996034802653	6.40697980837395	6.05112682814135	5.44103052764766	5.57877984451126
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	5.99558606003154	5.69061295183817	5.93409823452282	6.32556599724739	6.00662770350189	6.30710652040359
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	4.72549689666379	3.98733048392825	3.61217013963546	4.09176881263869	4.14767158495707	4.37067164918106
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.56086619489099	4.72429607809446	4.83456256097191	4.76314606517732	4.98304088318427	3.76061816749707
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	7.2770732288904	5.04177826795063	5.66580810323753	4.2910776208621	4.8150962458702	4.15654684382821
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	1.37499964957966	4.53481827923075	4.05962911660668	6.97350593101887	5.61479759538437	6.86141880828457
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	4.26252492032125	5.59674602837395	5.60119902181446	3.58480882391881	4.35788929234742	5.29405036757815
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.95845855971043	8.89545362556722	9.20167942962553	8.77775047808609	9.06863736577731	9.14022453852628
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	6.34769230358393	6.20177415214921	6.83923904818138	5.64066205865233	5.55206184003641	6.50137534082565
