logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	-0.0552273991565038	6.87580018246511	-0.279669750673877	0.785038746618302	0.889945494343475	-6.76388566863177
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	-0.499324472056413	7.84844199841581	-2.37714833059998	0.0371756797477081	0.157625122611616	-4.45212340106352
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	0.884417876521566	4.96916006544963	2.9422867811775	0.0136991840755828	0.0840681509729289	-3.16021846472888
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	-0.604099363568918	7.01210640497609	-2.88261068413224	0.0152256745166939	0.0908805567361847	-3.50866948615525
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	0.0131923381594312	9.87643176486267	0.0779782301279062	0.939277879340423	0.967636763877519	-6.94126567607513
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	-0.802871926307445	5.64561385110293	-2.63997959495994	0.0233957838483516	0.118659706355554	-3.74017167689544
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	-0.360983924013406	5.47044586089558	-0.99089235929035	0.343518297514938	0.570857517136567	-6.07995514869492
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	-0.364304457435154	6.00862945861076	-1.44759988711744	0.176256969431216	0.38941377922537	-5.64220413080112
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	0.816868539736069	4.90390602752352	2.33600281235376	0.0399531142440176	0.166029788691987	-4.1762944632484
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	1.68040738870064	5.24470143882062	5.78754736544503	0.000132891664950484	0.00425114899023893	1.39693155318358
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	1.99931755020162	5.40177317546424	4.98341191080178	0.000442874766319462	0.00929679739919016	0.191589223096706
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	0.216605714074957	9.08794378438752	0.999783385536131	0.339388970532578	0.566755589181918	-6.43614483796206
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	0.413480461951182	6.05629183292123	1.23898614923831	0.241721354407524	0.466951927303341	-5.9098798585786
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	-0.261201517686443	4.58206318283081	-0.637327280355049	0.537248968379276	0.735245802982511	-6.28095889789961
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	0.129969602327283	5.61089024667067	0.433200134553553	0.673433444053111	0.826098846155896	-6.50683917897321
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	-0.288305544363788	4.36876336683968	-0.906359051658714	0.38461186561323	0.610336237564885	-6.06342168265246
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	0.428854450631201	6.7933028782636	1.65914034031142	0.125945572802432	0.322118587610698	-5.47116130224656
