logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.90294655615669	6.87580018246511	49.2337409912706	5.23495891223319e-14	3.42783770137913e-13	22.109482632082
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.09597465674264	7.84844199841581	55.2676543085259	1.5175798490023e-14	1.58671977316694e-13	23.3484921738701
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	4.51559665505069	4.96916006544963	20.395591523389	6.13392404454579e-10	7.51537232826656e-10	13.4667656837699
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	7.3097734932082	7.01210640497609	50.981597470322	3.60320483041607e-14	2.70879853958574e-13	22.5213387090058
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.87035849980356	9.87643176486267	82.5741810806648	2.04578037330696e-16	4.8175359996154e-14	26.4031434065265
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	6.06474215009113	5.64561385110293	30.0992040327239	1.00081221609982e-11	2.04083287891271e-11	17.4414423491534
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	5.6499580781898	5.47044586089558	22.6401446774079	2.04434747304015e-10	2.8040156720439e-10	14.5671612607031
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.17453212666858	6.00862945861076	35.6782911651392	1.63599728064906e-12	4.56533180270174e-12	19.080276371764
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	4.5005317378734	4.90390602752352	17.5711521034115	2.91666400715621e-09	3.17795819264741e-09	11.9424579456023
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.41343178368396	5.24470143882062	19.5872742180376	9.37490019399551e-10	1.10710703694521e-09	13.0549027739201
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	4.3951514252875	5.40177317546424	13.8161310003462	3.49181733590959e-08	3.54257384822542e-08	9.4404539364156
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.97905015591382	9.08794378438752	58.4156034769012	8.38162504607907e-15	1.14399868962261e-13	23.8885503872176
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.83508782771201	6.05629183292123	23.9135020353094	1.1473218927961e-10	1.68182602996507e-10	15.13616027476
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.72204843138858	4.58206318283081	16.478396761295	5.68520525455334e-09	6.01836102610593e-09	11.2763580651149
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.55695040320194	5.61089024667067	25.8270569411116	5.08131515713847e-11	8.26649071118606e-11	15.8788802060193
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.50903059259296	4.36876336683968	20.1948055051769	6.80523239734173e-10	8.26024239736273e-10	13.3664719709154
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.59046081938165	6.7933028782636	34.7973206853917	2.13590484999924e-12	5.64622965682981e-12	18.9220770842998
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.44257089968535	4.85879042771665	17.4318116702604	3.16879359639409e-09	3.4380374967413e-09	11.8602072055835
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.15510175226605	4.21683959646102	18.4237983795274	1.77920280194772e-09	1.99668620675368e-09	12.4289294593005
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.60134312016928	5.14955489051146	12.5456039294327	9.31376877567441e-08	9.38558947008897e-08	8.42672342083843
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.35951342115483	4.709640473742	17.4980221886457	3.04614583254117e-09	3.31112021732677e-09	11.8992356391077
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.6328573863081	4.55661039215763	23.0542852178892	1.68850459727466e-10	2.36182993314985e-10	14.6950362778713
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.42633835738251	4.33114820154485	20.6994576302201	5.25142319779114e-10	6.52919863984477e-10	13.6138702578329
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.44117947680758	5.36650062996831	24.210400241747	1.00704255240466e-10	1.50164004779544e-10	15.2261567503141
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.20582410809095	5.05679565879079	20.2879589702149	6.48431441546833e-10	7.9068213499715e-10	13.4282608902957
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	6.32800184943321	5.57769619354682	31.0222003021073	7.25808098051822e-12	1.55816614408748e-11	17.7767079842787
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.36793763299003	5.20160713413602	26.2079081441832	4.35131295958975e-11	7.21537910307783e-11	16.0000064454404
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.43614894121946	6.38366160584708	35.7804058514643	1.58687437010565e-12	4.44035643789927e-12	19.1519585086305
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.44896806618134	7.8190294985305	56.9329658174298	1.10406065634539e-14	1.32924310128517e-13	23.4576428689855
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	3.62881530797998	3.80823139186198	14.9026554975631	1.60625297364874e-08	1.64893962295681e-08	10.2332996598521
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	6.95025163284524	6.63841702608752	37.8013949803049	8.82860427412899e-13	2.76096168287679e-12	19.7676360253514
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.63757314805387	6.55891697779213	26.6226407673423	3.6842208502702e-11	6.21490921789606e-11	16.2703927998931
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.46598859081586	6.00453056817084	35.4329031584861	1.76097170188927e-12	4.8523500192929e-12	19.0748023947411
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.83544998134424	5.69234007067006	30.2522755524881	9.48255295023981e-12	1.95770891497052e-11	17.4616021874461
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.74522828033954	6.97699166115617	37.8201628465571	8.78194474979637e-13	2.74916945225532e-12	19.7370173697651
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.41855464436589	5.15193551438454	29.845405132334	1.0951008861785e-11	2.20167255087017e-11	17.2551824903525
