logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.92193990087745	6.89537863010659	50.9225861297198	1.3877085166965e-13	1.25535253221308e-12	21.1594304412744
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	8.11515968208938	7.86802044605729	56.3879118393012	4.93699059902042e-14	6.65539522600719e-13	22.2301189232783
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	4.47185425948022	4.98873851309111	17.7709839011001	5.44300052532284e-09	7.96393783539118e-09	11.3394244771494
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	7.32841520887471	7.03168485261756	52.1085894895622	1.09891188374638e-13	1.07888946622733e-12	21.4544867344134
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.88813966469954	9.89601021250415	87.0414568279413	6.02143977041938e-16	1.9525155332212e-13	25.3558878864781
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	6.08324917778665	5.66519229874441	30.4117199158847	2.54033204514725e-11	6.71146354878989e-11	16.5680226395599
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	5.66659265875448	5.49002430853705	22.6904825742703	4.79781711307513e-10	8.66155549493038e-10	13.7676509701552
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.19415626913843	6.02820790625223	36.4898881511714	4.04428136235566e-12	1.47719402584038e-11	18.2238998306808
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	4.190027040174	3.88715536676764	16.1571159631922	1.39037074790689e-08	1.90309961927665e-08	10.4038151101288
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	4.61466212699436	4.923484475165	16.5490823697996	1.09854856110734e-08	1.5284402443438e-08	10.6588888563202
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	4.50496457974578	5.26427988646209	17.0383648071331	8.24590463006156e-09	1.17000532527373e-08	10.9285266970202
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	6.4042408802005	4.54982478781847	23.7791057576586	3.00314231431738e-10	5.71758948567285e-10	14.2516209686831
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	4.37677753682336	5.42135162310571	12.6243314547333	1.53104372070691e-07	1.84447306755634e-07	8.04570945209424
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.99859080281972	9.107522232029	59.16039801761	3.03425869296242e-14	5.19410595523992e-13	22.6974809301718
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.85036520730518	6.0758702805627	23.8101113923924	2.9642420773919e-10	5.65157730039469e-10	14.2448552952095
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	4.54701851039142	4.21730718750319	14.870013235117	3.13406833656542e-08	4.08488172369048e-08	9.63004657964413
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.77556600572877	4.60164163047229	16.1431645182811	1.40221538886941e-08	1.91800300718307e-08	10.4282253425551
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.58095917948718	5.63046869431215	25.9892494321848	1.23271023449465e-10	2.61023463328448e-10	15.0432919959915
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.48187145933526	4.38834181448116	18.2528830760531	4.17790153583766e-09	6.24056871142151e-09	11.5905998393431
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.60888842814991	6.81288132590508	35.0695422343452	6.03855665596178e-12	2.03253306493787e-11	17.9490884232656
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	3.46615182351409	3.68890524695262	7.11837659076802	2.95061051012311e-05	3.08604080084723e-05	2.75545445697147
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.43228738653149	4.87836887535813	14.7753958907081	3.33547322658613e-08	4.33400789736713e-08	9.56893611594072
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.21208027914091	4.23641804410249	15.6037490514344	1.9569315813488e-08	2.62571900535275e-08	10.0729296175808
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	3.25862785483188	4.40450446583231	5.76139607618933	0.000170857306939295	0.000176036796269761	0.979605546260648
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	4.59272950114552	5.16913333815294	10.7171969879694	7.27358665617966e-07	8.23682600158366e-07	6.42760354776318
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	4.29234773515408	4.72921892138348	14.7168894572339	3.46707211586819e-08	4.49408297371991e-08	9.52975389298835
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	3.15514524706969	3.71456974612208	7.29132566540177	2.39806616830232e-05	2.51699669405298e-05	3.06810289040716
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.62204696130144	4.57618883979911	21.1771730779148	9.55216258564694e-10	1.61948628407259e-09	12.9922054185355
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	3.47124607875518	3.40803347338312	7.17798553432625	2.7460163297336e-05	2.87543041524716e-05	2.89509108384787
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.45012119884	4.35072664918633	18.6581170595036	3.36165231336309e-09	5.11744414604011e-09	11.7820688229659
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.462447802912	5.38607907760978	24.2093621485162	2.50976720079329e-10	4.88494120785318e-10	14.3637920467265
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	5.20716208860808	5.07637410643227	20.3232567678923	1.43892872290263e-09	2.34681726035014e-09	12.6770604346778
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	6.34691421899915	5.5972746411883	32.3441214330015	1.36567455558261e-11	4.0051464754399e-11	17.1769888189625
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.38744932140467	5.2211855817775	26.373119954209	1.06406438474987e-10	2.29062276706353e-10	15.1462132174753
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	6.4536253829048	6.40324005348855	36.277165343982	4.29027384518125e-12	1.55010299604499e-11	18.2192267979265
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	7.46782780747606	7.83860794617198	58.7186064776819	3.27394860996702e-14	5.32518941133524e-13	22.3956167629821
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	3.64014258197949	3.82780983950345	11.0074387636063	5.6536440979287e-07	6.4524586382308e-07	6.77046318281725
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	6.84535330149627	5.50400129228495	31.5412771975778	1.75938706570762e-11	4.92327205737164e-11	16.998591813714
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	6.96957234748518	6.657995473729	37.9837788787802	2.69651054469744e-12	1.06755730893475e-11	18.7216254050362
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	3.07525383008218	3.38432653527491	5.63342439673409	0.000204196339236934	0.000209928074470578	0.878425675293014
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	6.65414296977212	6.57849542543361	26.4089004099687	1.04968416071177e-10	2.26331092824439e-10	15.2840429268445
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	6.48556339967444	6.02410901581232	35.8745473466423	4.80207434387956e-12	1.69456393806678e-11	18.1345314592293
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	5.85373169008742	5.71191851831153	30.6695738751687	2.33328379152736e-11	6.24466776504536e-11	16.6135997134038
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	6.76410351746119	6.99657010879765	38.2995742253267	2.48007561773884e-12	9.95629956450612e-12	18.7617934089262
Tpr_TRINITY_DN13468_c0_g1|Tdu_TRINITY_DN18421_c6_g3	5.43133791148744	5.17151396202601	30.3170636425522	2.62132975820365e-11	6.88689354423566e-11	16.4142143959386
Tpr_TRINITY_DN30483_c0_g1|Tdu_TRINITY_DN9825_c0_g1	3.24932262533583	3.76368329314597	7.19988717243038	2.67474198462861e-05	2.80335887347525e-05	2.8858516600277
Tpr_TRINITY_DN515_c0_g1|Tdu_TRINITY_DN16868_c4_g5	5.96486833748931	6.09966384587962	19.4134761134132	2.2680810888726e-09	3.57482381879488e-09	12.2338957281894
Tpr_TRINITY_DN13052_c1_g1|Tdu_TRINITY_DN19025_c1_g1	8.57070410330878	8.42972087122646	69.4952125177806	5.92272884156847e-15	2.46146155638449e-13	23.8363799281147
Tpr_TRINITY_DN10426_c1_g11|Tdu_TRINITY_DN14901_c0_g1	4.19774209946252	3.73843114425877	16.1027141515109	1.43718637948729e-08	1.96148918663733e-08	10.3782411314527
Tpr_TRINITY_DN11118_c1_g2|Tdu_TRINITY_DN24387_c2_g2	4.40849253032687	4.69563418046641	18.2586414462706	4.16488354676941e-09	6.22443281696245e-09	11.5814987911435
Tpr_TRINITY_DN12437_c6_g1|Tdu_TRINITY_DN18152_c3_g1	5.47531521111662	6.05009829338939	30.7262409341327	2.2903087097952e-11	6.14605759828279e-11	16.5414786623468
