Tdu_4	Tdu_5	Tdu_6	Tpr_1	Tpr_2	Tpr_3
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	6.8863536875821	6.71372395076692	6.95062536700953	7.01394605495736	6.89786392428329	6.79228811019147
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	7.62331928174831	7.25467926924899	7.92365831940926	7.99641613039979	8.11191704470701	8.18066194498152
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	5.594587563205	5.03936236499266	5.59566847173469	4.74672385216013	4.13149741367653	4.70712072692879
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	6.48256094547088	6.83253138080695	6.78736409584822	7.46511734028992	7.10653049815995	7.39853416928059
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	9.81253133765883	9.97042364890043	9.8689487745151	9.8740883913744	9.78268983499661	9.94990860173066
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	4.98453408152101	5.44945064829977	5.32959361158085	5.47020621696272	6.34781532060329	6.29208322764995
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	4.43704628621852	5.8607650615359	5.50154629437014	6.03470461512416	5.42485635636712	5.56375655175761
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	6.18506706889372	5.59100479251379	5.68402434615554	6.3091437842302	5.99045353222134	6.29208322764995
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	5.26016852413444	5.07835649660853	5.62572570559087	4.74672385216013	4.96686671190373	3.74559487474343
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	5.72149967568721	6.26739032099854	6.26421760272882	4.27465540784491	4.79892207458966	4.14152355107457
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	6.61924961743926	5.88296080765009	6.71929982090307	3.56838661090162	4.34171512106687	5.2790270748245
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	8.78645511752798	9.43543925580342	9.36677562765544	8.76132826506891	9.05246319449677	9.12520124577263
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	5.75155690954339	6.77435030971843	6.16536421580254	5.62423984563514	5.53588766875586	6.48635204807201
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	4.7062329190339	4.52196314808414	4.15509588034871	3.7127765202368	5.11728355445683	5.2790270748245
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	5.30139118686095	5.83822249288481	5.89617758298715	5.97867058020983	5.59862342410382	5.05225621297748
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	4.19603818671472	4.68242782027739	3.78070036556721	4.60586131632029	4.24043178522969	4.70712072692879
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	6.74410110462435	7.51131590388463	6.77400571299321	6.70416338993209	6.68307374590314	6.34315741224422
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	4.93300378088093	5.96847887883615	4.90845591276559	4.74672385216013	4.24043178522969	4.35564835642741
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	4.43704628621852	4.52196314808414	3.88379385853132	3.7127765202368	4.38980940926792	4.35564835642741
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	6.65148995443947	5.96847887883615	4.45207761810584	4.60586131632029	4.43635199520495	4.78306958016209
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	5.62737749832266	4.82681772961256	4.69823820537524	4.67801110207612	3.88533682640713	4.54206148065829
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	4.64349716368594	4.46424765022785	4.31121508226599	4.449742114403	4.48143988473349	4.98952045762952
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	4.19603818671472	4.13494002497489	4.38336486802183	3.96431528723276	4.5251612621628	4.78306958016209
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	5.03428711671811	4.95806226289081	5.92063062671169	5.1018188109827	5.57801314442854	5.60619181807801
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	4.10584037774314	5.03936236499266	5.50154629437014	5.04837955202124	4.99823088281306	5.64741448080452
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	4.50919607197435	4.34139090244232	5.62572570559087	6.19082381704144	6.33558901827003	6.46345164596193
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	5.34146862623628	5.03936236499266	4.75373331796694	4.93516894157325	5.49249507324248	5.64741448080452
