FUSION_ID,BOTH_EXACT,BOTH_INEXACT_EQUAL,SAM_A_ONLY_EXACT,SAM_B_ONLY_EXACT,SAM_A_EXACT_SAM_B_INEXACT,SAM_B_EXACT_SAM_A_INEXACT,SAM_A_ONLY_SINGLE_INEXACT,SAM_B_ONLY_SINGLE_INEXACT,SAM_A_INEXACT_BETTER,SAM_B_INEXACT_BETTER
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1,112,17,81,5,2,12,4,4,17,13
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5,280,46,6,4,23,23,0,15,12,18
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1,18,3,0,5,0,0,0,1,0,4
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1,109,1,16,3,10,67,0,19,5,8
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3,859,63,0,153,7,190,2,133,121,41
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3,99,15,53,4,3,0,21,11,0,1
Tpr_TRINITY_DN21120_c0_g1|Tdu_TRINITY_DN19044_c2_g2,0,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1,46,14,0,1,0,2,0,3,0,0
Tpr_TRINITY_DN38363_c0_g1|Tdu_TRINITY_DN14954_c0_g1,0,0,0,0,0,0,1,0,0,0
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1,43,7,18,1,36,2,1,3,4,0
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1,12,0,0,12,0,5,1,4,2,6
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7,29,10,13,6,1,2,1,0,0,3
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1,30,5,0,0,0,0,0,3,3,2
Tpr_TRINITY_DN8521_c0_g1|Tdu_TRINITY_DN16367_c0_g1,4,0,0,12,0,0,0,8,0,0
Tpr_TRINITY_DN11904_c1_g9|Tdu_TRINITY_DN22597_c5_g2,4,0,0,0,0,0,0,0,0,0
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2,40,7,9,233,0,9,0,79,2,12
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1,14,2,0,51,0,8,0,16,3,2
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1,398,82,37,17,23,54,6,48,135,80
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1,47,19,58,0,1,0,3,1,0,0
