logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	0.394915775711375	6.86093282402217	2.07441873643621	0.0636126432513202	0.243296575284501	-5.00202022260883
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	0.599411418033799	7.8810736703513	3.14686995618257	0.00986268113297721	0.0813088751671428	-3.2631429486726
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	-0.993318122928004	5.04853345141068	-2.68155040432885	0.0222286261092824	0.130364547043124	-3.71592622687611
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	0.592962574874656	6.9216710581661	2.5290122553941	0.0290170102830973	0.153729587685783	-4.28093877317001
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	0.234149051498253	9.71737207586413	1.29876868456891	0.221949220211452	0.490973263337868	-6.23799454407159
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	0.513428932139941	5.81562651642015	0.960710029358552	0.358399162312149	0.627271061999724	-6.35145524690373
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	-0.415441397187447	5.65612478441588	-1.55806732183959	0.148963092315831	0.398122163764326	-5.6544084707297
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	0.324356827449757	6.04756792235831	1.25482967491369	0.236877400168926	0.506920057183168	-6.07332438936729
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	0.128185428091285	3.93121710662394	0.314315470980915	0.759466907637854	0.895945862236114	-6.42188573143685
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	-0.415556133472831	5.11590058265003	-0.858618893132949	0.409812607562567	0.668360168322405	-6.2279484171689
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	-1.45619859323542	4.91815446689369	-1.85200330480108	0.0924540958984982	0.302144169818892	-5.06410524699938
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	2.90343903920267	5.13672917061932	3.76517558555802	0.00341681518421031	0.0446588547749776	-1.75824268600267
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	-0.824096045712126	4.99496400052472	-1.71410441981371	0.115968099445352	0.34629190764858	-5.21715565207776
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	-0.0226768658624383	8.75229387371702	-0.121456001032742	0.905633661494695	0.966932765924738	-7.06982317630607
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	-0.618579862454824	6.04483737936823	-1.72107173053459	0.114660791349308	0.343859215303188	-5.46571712634948
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	-0.287922353922219	4.55380115373732	-0.76380174673567	0.461881802669328	0.709857243882255	-6.27528419542584
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	0.845255464011121	4.21766762949693	1.68969688023765	0.120654358656144	0.353728004236562	-5.15611237598909
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	0.0789363877081355	5.51288305783958	0.298236016867341	0.771368746887021	0.902220530636451	-6.73137647949532
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	0.532199967997567	4.10444422883058	1.61076666353932	0.136991628389732	0.380297469797829	-5.26188395300098
Tpr_TRINITY_DN10598_c0_g4|Tdu_TRINITY_DN13963_c0_g1	-0.0111432036306156	3.64682943552829	-0.0216737026127524	0.983116512645329	0.993794823789196	-6.23183434414492
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	-0.526601938054721	6.88333192553384	-1.47557282862257	0.169540890965368	0.426989088274337	-5.88906278485353
Tpr_TRINITY_DN12542_c1_g1|Tdu_TRINITY_DN21845_c1_g1	0.998765238023072	2.77031353461535	1.16750298408197	0.268954963194622	0.545596214995919	-5.38331439041228
Tpr_TRINITY_DN10379_c2_g1|Tdu_TRINITY_DN23200_c5_g2	0.41468494537974	3.42178536295176	0.642840588097835	0.534177330015275	0.758513048682548	-5.96702101908113
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	0.338760932851879	3.54794764644342	0.621912969303973	0.547326867189241	0.76645295740985	-6.04828870848344
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	-0.544729266248386	4.97409384904606	-1.62114854570068	0.134736039531515	0.378073389318583	-5.3427422221755
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	-0.041173041669353	4.1984350972711	-0.0657734461382568	0.948799530069756	0.982115797077396	-6.48451765776275
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	-2.37198258069433	3.86055345273829	-4.41293353459309	0.00117673423409681	0.0227104284442279	-0.67594355543755
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	-0.110976106283424	4.60515643703616	-0.330343358391917	0.747668031407223	0.890060749156751	-6.53942739913517
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	-0.747007527195721	4.62391575730326	-2.23518438040963	0.0483091160585158	0.205399571627476	-4.40766349213381
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	-1.26795153911824	3.86795953058832	-2.58595706029279	0.0262712822285974	0.145534563456833	-3.56117402085454
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	-0.215200172985774	4.68338248998961	-0.478809395240277	0.641935144715144	0.83096503592503	-6.48983525857264
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	0.435485803418652	3.39960575536211	0.343973472726391	0.737687301968936	0.883799143993531	-6.15037462317829
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	0.347907918760487	4.32163046106021	1.0575676109481	0.314086422388303	0.588329977752775	-5.93425169425972
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	-0.11508879907227	5.44585285453348	-0.408652755421401	0.691043114476744	0.857017016270699	-6.68320880058571
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	-0.00490115853327477	5.39086556847556	-0.0143926778435714	0.988787783466079	0.995991815257483	-6.71957711841846
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	1.16339356322585	5.65724597409239	4.91500020144866	0.000535356161738501	0.0136296146222544	-0.112490256099139
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	0.0687953030916439	5.26499294103026	0.157416259070898	0.877916893760097	0.95390900958895	-6.73051640205164
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	0.10735985037513	6.01078792158053	0.238786701272405	0.8158887110358	0.92472190268599	-6.88393389187436
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	-0.630046828990936	7.73568485331858	-3.10785531129136	0.0105552047799612	0.084241294962767	-3.32445446881207
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	-0.521911611205588	3.91818418618932	-1.61990816037849	0.135003785655268	0.378086494384992	-5.14055492665624
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	3.54716898030221	5.1733545181572	6.97560858532058	3.0543807199196e-05	0.00281602970554427	2.85923716455487
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	1.0693904838437	6.14820895667644	2.68199001489899	0.0222115417787566	0.130364547043124	-3.95145830357989
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	-1.01748884848206	3.81087323338747	-1.15948797337857	0.272063840156757	0.549187040307177	-5.59617195762842
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	0.378720566591539	5.79532149295638	0.918641638062286	0.378997986039766	0.642214009284776	-6.48255008533508
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	1.05241338780195	5.96921657320436	2.40584817614287	0.0359574995995264	0.171906402194996	-4.36114446816151
