,logFC,AveExpr,t,P.Value,adj.P.Val,B
Tpr_TRINITY_DN10872_c5_g10|Tdu_TRINITY_DN23727_c2_g3,-2.6724470190555696,2.14092583897036,-5.40848276853891,0.00025562536811149,0.0454603985675677,0.2887945605615561
Tpr_TRINITY_DN12061_c3_g11|Tdu_TRINITY_DN16136_c0_g1,-1.83198990244353,8.157323129703421,-5.59489361935367,0.000195096610477574,0.0412829337693826,0.9502854568873492
Tpr_TRINITY_DN11227_c1_g2|Tdu_TRINITY_DN19919_c2_g1,-2.91410275662164,2.27153523083527,-6.15218393881563,8.95267865821848e-05,0.0318177111840755,1.10422576014442
Tpr_TRINITY_DN12041_c4_g1|Tdu_TRINITY_DN13441_c0_g1,1.44096637860154,10.780932571008599,6.656613417367259,4.5854423973407785e-05,0.0262028968349255,2.3967793763065
Tpr_TRINITY_DN14731_c0_g1|Tdu_TRINITY_DN17915_c2_g5,-2.96152518456424,4.20042391712912,-6.6387903962035715,4.6924958515267795e-05,0.0262028968349255,1.97622888977804
Tpr_TRINITY_DN12945_c1_g3|Tdu_TRINITY_DN21281_c2_g1,2.27808007343929,5.7312607237446915,5.306505114162451,0.000296967607275377,0.0487725623242854,0.6192720513979261
Tpr_TRINITY_DN11854_c1_g1|Tdu_TRINITY_DN22020_c5_g1,-1.32193700164867,8.27536873810878,-5.3563521338144495,0.0002759339882370641,0.0471678180708908,0.601033235736192
Tpr_TRINITY_DN15205_c2_g6|Tdu_TRINITY_DN19071_c3_g1,1.29817509958008,7.67866140083504,5.76058080874176,0.000154072089654423,0.0403283694670452,1.26228136563681
Tpr_TRINITY_DN12207_c0_g1|Tdu_TRINITY_DN43039_c0_g1,-3.73353953590088,3.80680354540078,-6.89674110312142,3.37318259158589e-05,0.0235448144892695,2.2225533709715
Tpr_TRINITY_DN8294_c0_g1|Tdu_TRINITY_DN24190_c4_g1,1.66775590089717,7.20514411745888,5.65310608095701,0.000179489157338701,0.0412829337693826,1.14897134385908
