logFC	AveExpr	t	P.Value	adj.P.Val	B
Tpr_TRINITY_DN11257_c2_g1|Tdu_TRINITY_DN16696_c0_g1	-0.0539193068394797	6.89537863010659	-0.281252792962479	0.784155771845983	0.886999498798001	-7.09542448838873
Tpr_TRINITY_DN10844_c2_g7|Tdu_TRINITY_DN25328_c2_g5	-0.498145896356511	7.86802044605729	-2.41215556434921	0.0361657439308036	0.145918225386809	-4.72798907385999
Tpr_TRINITY_DN15383_c4_g16|Tdu_TRINITY_DN14160_c0_g1	0.946122211568581	4.98873851309111	2.95255287304146	0.0142239826175352	0.0803054211956117	-3.37014558145884
Tpr_TRINITY_DN1451_c0_g1|Tdu_TRINITY_DN16990_c3_g1	-0.602889585209371	7.03168485261756	-2.93327790395014	0.0147048652872936	0.0821143464395766	-3.75673158626628
Tpr_TRINITY_DN10853_c1_g4|Tdu_TRINITY_DN21860_c3_g3	0.0158681504711176	9.89601021250415	0.098798531981107	0.923218461516009	0.959451572837391	-7.29615773742288
Tpr_TRINITY_DN12798_c2_g2|Tdu_TRINITY_DN24179_c2_g3	-0.798414952021343	5.66519229874441	-2.61790857592898	0.0253603989490306	0.115840410005794	-4.08655488289414
Tpr_TRINITY_DN15495_c0_g2|Tdu_TRINITY_DN17403_c2_g1	-0.349149896231924	5.49002430853705	-0.952757833210124	0.362807461380283	0.576709997568619	-6.42781188200963
Tpr_TRINITY_DN15572_c3_g1|Tdu_TRINITY_DN22002_c1_g1	-0.365098419851956	6.02820790625223	-1.48029115439197	0.169094257622181	0.367363228707345	-5.92372803289247
Tpr_TRINITY_DN13699_c1_g3|Tdu_TRINITY_DN13669_c0_g1	-0.620974938869383	3.88715536676764	-1.51114184872419	0.161182126511827	0.357632596611719	-5.34661803836408
Tpr_TRINITY_DN11223_c1_g1|Tdu_TRINITY_DN21812_c3_g7	0.722041170010681	4.923484475165	2.02831540843174	0.0695300548496828	0.217766720011443	-4.88408484427535
Tpr_TRINITY_DN14551_c1_g11|Tdu_TRINITY_DN21735_c3_g1	1.60869911202812	5.26427988646209	5.06310051432764	0.000464792896452851	0.00963334321046076	0.0698930702625438
Tpr_TRINITY_DN11678_c3_g2|Tdu_TRINITY_DN24143_c2_g2	-3.85602351679	4.54982478781847	-4.74755532504584	0.000747426636923494	0.0129204936525072	-0.177865437736918
Tpr_TRINITY_DN13298_c1_g1|Tdu_TRINITY_DN18431_c4_g1	2.03879527467768	5.42135162310571	4.97462784492156	0.000530248593592924	0.0105536574918334	-0.0736492341154893
Tpr_TRINITY_DN11712_c1_g8|Tdu_TRINITY_DN19492_c0_g1	0.218229637385168	9.107522232029	1.01861962196186	0.332002809138927	0.548618568624502	-6.75689624240193
Tpr_TRINITY_DN13660_c2_g3|Tdu_TRINITY_DN19486_c2_g1	0.417011825631766	6.0758702805627	1.2452646101277	0.240961278719773	0.455945113623828	-6.22654119052544
Tpr_TRINITY_DN11346_c1_g2|Tdu_TRINITY_DN14468_c0_g1	-0.58243158072358	4.21730718750319	-1.26388556307932	0.234471024331308	0.44819877314551	-5.76787869245796
Tpr_TRINITY_DN11644_c3_g2|Tdu_TRINITY_DN21579_c2_g4	-0.297897012922067	4.60164163047229	-0.692530044307513	0.504109664708356	0.696220426154431	-6.42896128466945
Tpr_TRINITY_DN15001_c5_g3|Tdu_TRINITY_DN22098_c2_g2	0.127608334731683	5.63046869431215	0.428685287420611	0.677090139781131	0.822869698664311	-6.83108329515291
Tpr_TRINITY_DN9794_c0_g1|Tdu_TRINITY_DN20912_c0_g2	-0.224825846111265	4.38834181448116	-0.622792482547886	0.54713098194393	0.729630232109714	-6.41578340848919
Tpr_TRINITY_DN13642_c2_g1|Tdu_TRINITY_DN21365_c1_g4	0.430613757525946	6.81288132590508	1.67149756193424	0.125063225313454	0.308181914051986	-5.77875583041705
Tpr_TRINITY_DN30976_c0_g1|Tdu_TRINITY_DN6594_c0_g1	0.261078766632576	3.68890524695262	0.38230134721573	0.710105383266327	0.844110126008362	-6.31973456162799
Tpr_TRINITY_DN14803_c3_g1|Tdu_TRINITY_DN23572_c6_g1	0.881977305949768	4.87836887535813	2.30313934078134	0.0436081905468074	0.164216571068518	-4.4352700225428
Tpr_TRINITY_DN13683_c4_g1|Tdu_TRINITY_DN22426_c1_g1	0.0935692686928133	4.23641804410249	0.252121886154545	0.805968845279976	0.897885940468768	-6.54083053558566
Tpr_TRINITY_DN10334_c5_g3|Tdu_TRINITY_DN16861_c0_g1	2.02812996763633	4.40450446583231	3.11026385223004	0.0108426415111595	0.0678830053808606	-2.90522441217793
Tpr_TRINITY_DN11732_c3_g2|Tdu_TRINITY_DN17099_c2_g2	1.10915214157985	5.16913333815294	2.0586642818181	0.0660704203274844	0.212320048656552	-4.88330290977803
Tpr_TRINITY_DN13697_c1_g2|Tdu_TRINITY_DN16915_c6_g1	0.760103202042856	4.72921892138348	2.01964181416385	0.0705498392326736	0.219256833126101	-4.85461962680484
Tpr_TRINITY_DN10107_c0_g1|Tdu_TRINITY_DN19986_c5_g1	1.2674003754865	3.71456974612208	2.48062261589981	0.0321431441418762	0.134843179478028	-3.81068574843579
Tpr_TRINITY_DN13082_c0_g7|Tdu_TRINITY_DN20860_c5_g5	-0.133119466749777	4.57618883979911	-0.423891389595932	0.680470883870491	0.824853704023758	-6.57988837597164
Tpr_TRINITY_DN15171_c0_g7|Tdu_TRINITY_DN23860_c1_g4	0.0885139530580199	3.40803347338312	0.134331334451727	0.89576178389636	0.944512326624517	-6.29260413195377
Tpr_TRINITY_DN11605_c4_g2|Tdu_TRINITY_DN11233_c0_g1	-0.194371491307166	4.35072664918633	-0.564243798547165	0.584816092077755	0.759153564420727	-6.44220405395002
Tpr_TRINITY_DN9291_c0_g1|Tdu_TRINITY_DN15472_c0_g1	-0.141620745284869	5.38607907760978	-0.441377575639573	0.668175628434658	0.815715382738033	-6.77525756094955
Tpr_TRINITY_DN11804_c0_g9|Tdu_TRINITY_DN21590_c2_g1	-0.282479308282239	5.07637410643227	-0.752731340569154	0.468676314068932	0.668192803972077	-6.50614795887898
Tpr_TRINITY_DN10219_c6_g1|Tdu_TRINITY_DN19995_c0_g1	-1.50956123029125	5.5972746411883	-4.58506006279102	0.000959881470656363	0.0154537917039155	-0.741503860998217
Tpr_TRINITY_DN11290_c2_g2|Tdu_TRINITY_DN19466_c5_g2	-0.328812493665441	5.2211855817775	-1.10611322046665	0.294154939528925	0.511932700166028	-6.21440983370244
Tpr_TRINITY_DN11779_c3_g2|Tdu_TRINITY_DN16840_c3_g3	-0.0630754952669417	6.40324005348855	-0.25178924746719	0.806218972585239	0.897885940468768	-7.03431028306248
Tpr_TRINITY_DN10516_c1_g3|Tdu_TRINITY_DN19561_c1_g1	0.73512896178438	7.83860794617198	4.22746327489554	0.00168640846620741	0.0212016964066609	-1.61731074497027
Tpr_TRINITY_DN12927_c1_g1|Tdu_TRINITY_DN22980_c2_g1	0.335957653057924	3.82780983950345	0.764609075197342	0.461876715224676	0.662502348500917	-6.13778072384508
Tpr_TRINITY_DN11462_c1_g3|Tdu_TRINITY_DN18955_c5_g2	-2.5894115006116	5.50400129228495	-5.93276982967207	0.000135053179097338	0.00429865694261805	1.33606471813344
Tpr_TRINITY_DN14614_c1_g6|Tdu_TRINITY_DN1401_c0_g1	-0.604922377850566	6.657995473729	-2.24299693260215	0.0483307345095734	0.174621991667247	-4.8767776334243
Tpr_TRINITY_DN13868_c2_g1|Tdu_TRINITY_DN24297_c1_g3	0.645244189685155	3.38432653527491	0.909527995548561	0.384119507332786	0.597200494517404	-5.86720808070881
Tpr_TRINITY_DN15138_c2_g2|Tdu_TRINITY_DN19397_c1_g1	-0.101836190576043	6.57849542543361	-0.286497554638615	0.780248594262629	0.885266066716532	-7.05057700091889
Tpr_TRINITY_DN12667_c4_g3|Tdu_TRINITY_DN18652_c6_g1	-0.921610305702209	6.02410901581232	-3.31670134426789	0.00761723417793608	0.0538504121248111	-2.94796301606746
Tpr_TRINITY_DN11436_c1_g7|Tdu_TRINITY_DN21318_c0_g1	-0.309841844804119	5.71191851831153	-1.11895563401787	0.288890417351424	0.506268306221493	-6.30328254040482
Tpr_TRINITY_DN12744_c2_g1|Tdu_TRINITY_DN24940_c1_g1	0.467089812682893	6.99657010879765	1.93403893558255	0.0813978878363002	0.239991056283068	-5.411415057912
