gene_id	length
TRINITY_DN4621_c0_g1	233
TRINITY_DN31201_c0_g1	314
TRINITY_DN42844_c0_g1	221
TRINITY_DN25100_c0_g3	2440
TRINITY_DN21974_c1_g1	2322
TRINITY_DN23472_c4_g5	951
TRINITY_DN18716_c1_g2	447
TRINITY_DN18969_c0_g1	1484
TRINITY_DN18969_c0_g2	1572
TRINITY_DN52204_c0_g1	314
TRINITY_DN20240_c0_g3	1536
TRINITY_DN20240_c0_g2	376
TRINITY_DN20240_c0_g1	2456
TRINITY_DN23472_c4_g3	3197
TRINITY_DN22470_c1_g4	2147
TRINITY_DN18264_c13_g1	240
TRINITY_DN23472_c4_g2	837
TRINITY_DN16799_c0_g1	2204
TRINITY_DN957_c0_g1	563
TRINITY_DN20621_c1_g4	241
TRINITY_DN36_c0_g1	334
TRINITY_DN21122_c11_g2	254
TRINITY_DN12185_c0_g1	379
TRINITY_DN576_c0_g1	229
TRINITY_DN21122_c11_g1	2624
TRINITY_DN17833_c3_g1	716
TRINITY_DN17833_c3_g2	2701
TRINITY_DN17833_c3_g3	2826
TRINITY_DN17833_c3_g4	1604
TRINITY_DN32042_c0_g1	328
TRINITY_DN17141_c1_g1	268
TRINITY_DN51035_c0_g1	242
TRINITY_DN8400_c0_g1	264
TRINITY_DN22816_c0_g1	267
TRINITY_DN40141_c0_g1	222
TRINITY_DN39184_c0_g1	212
TRINITY_DN24204_c1_g9	1656
TRINITY_DN18262_c1_g2	208
TRINITY_DN18262_c1_g1	666
TRINITY_DN20171_c2_g1	208
TRINITY_DN16273_c0_g1	2010
TRINITY_DN12351_c0_g1	289
TRINITY_DN22592_c1_g1	1748
TRINITY_DN20240_c0_g5	242
TRINITY_DN4194_c0_g1	554
TRINITY_DN24495_c2_g5	486
TRINITY_DN20198_c7_g1	245
TRINITY_DN52809_c0_g1	202
TRINITY_DN34342_c0_g1	202
TRINITY_DN20932_c3_g3	486
TRINITY_DN20932_c3_g1	1399
TRINITY_DN33440_c0_g1	434
TRINITY_DN22022_c0_g1	223
TRINITY_DN25512_c4_g1	236
TRINITY_DN12013_c0_g1	812
TRINITY_DN25502_c2_g3	396
TRINITY_DN25502_c2_g2	4982
TRINITY_DN25502_c2_g1	7006
TRINITY_DN739_c0_g1	435
TRINITY_DN24401_c5_g1	4789
TRINITY_DN25502_c2_g5	853
TRINITY_DN54875_c0_g1	226
TRINITY_DN29645_c0_g1	276
TRINITY_DN29883_c0_g1	324
TRINITY_DN11060_c0_g1	357
TRINITY_DN20885_c10_g1	225
TRINITY_DN17740_c2_g4	247
TRINITY_DN20388_c0_g1	242
TRINITY_DN17740_c2_g2	2456
TRINITY_DN17740_c2_g3	1206
TRINITY_DN103_c0_g1	252
TRINITY_DN17740_c2_g1	797
TRINITY_DN18293_c2_g2	364
TRINITY_DN18293_c2_g3	340
TRINITY_DN18293_c2_g1	5572
TRINITY_DN28444_c0_g1	632
TRINITY_DN24720_c8_g2	4812
TRINITY_DN18293_c2_g4	874
TRINITY_DN19201_c2_g1	282
TRINITY_DN23789_c4_g2	272
TRINITY_DN40839_c0_g1	239
TRINITY_DN49411_c0_g1	203
TRINITY_DN18403_c0_g1	489
TRINITY_DN18436_c2_g2	1573
TRINITY_DN18436_c2_g1	3144
TRINITY_DN31115_c0_g1	726
TRINITY_DN18935_c2_g1	4628
TRINITY_DN22946_c0_g5	660
TRINITY_DN18935_c2_g3	1061
TRINITY_DN18935_c2_g2	2034
TRINITY_DN6089_c0_g1	477
TRINITY_DN22946_c0_g1	3091
TRINITY_DN22946_c0_g2	209
TRINITY_DN22946_c0_g3	1077
TRINITY_DN23845_c1_g1	231
TRINITY_DN37716_c0_g1	272
TRINITY_DN37472_c0_g1	399
TRINITY_DN24096_c4_g4	247
TRINITY_DN18798_c6_g2	531
TRINITY_DN25104_c0_g1	234
TRINITY_DN24096_c4_g1	295
TRINITY_DN24096_c4_g2	495
TRINITY_DN43577_c0_g1	507
TRINITY_DN15885_c0_g1	229
TRINITY_DN15885_c0_g2	325
TRINITY_DN37755_c0_g1	350
TRINITY_DN6525_c0_g1	208
TRINITY_DN25561_c3_g1	365
TRINITY_DN20926_c5_g2	541
TRINITY_DN18509_c7_g1	220
TRINITY_DN7280_c0_g1	222
TRINITY_DN42205_c0_g1	274
TRINITY_DN41638_c0_g1	263
TRINITY_DN48671_c0_g1	226
TRINITY_DN51917_c0_g1	332
TRINITY_DN15474_c1_g1	2736
TRINITY_DN33973_c0_g1	395
TRINITY_DN19572_c6_g5	422
TRINITY_DN19572_c6_g4	2946
TRINITY_DN19572_c6_g7	301
TRINITY_DN45891_c0_g1	333
TRINITY_DN6117_c0_g1	712
TRINITY_DN50405_c0_g1	222
TRINITY_DN19572_c6_g2	1165
TRINITY_DN24718_c2_g3	407
TRINITY_DN19572_c6_g9	458
TRINITY_DN19572_c6_g8	329
